enzymes	enzyme	complexes	reactions	direction	compartment	complexes_keff	complex_keff	enzyme_keff
enzyme_CYTB5ASCBR_fwd_pc	enzyme_CYTB5ASCBR_fwd	cplx_COMPLEX_CYB5R3_B5A_pc;cplx_COMPLEX_CYB5R3_B5B_pc	CYTB5ASCBR	forward	pc	cplx_COMPLEX_CYB5R3_B5A_pc(135310.99365450782);cplx_COMPLEX_CYB5R3_B5B_pc(155183.4697183303)	135310.99365450782;155183.4697183303	234000.0
enzyme_CYTB5ASCBR_rev_pc	enzyme_CYTB5ASCBR_rev	cplx_COMPLEX_CYB5R3_B5A_pc;cplx_COMPLEX_CYB5R3_B5B_pc	CYTB5ASCBR	reverse	pc	cplx_COMPLEX_CYB5R3_B5A_pc(0);cplx_COMPLEX_CYB5R3_B5B_pc(0)	0;0	234000.0
enzyme_FCYTOB5OXR_fwd_pc	enzyme_FCYTOB5OXR_fwd	cplx_COMPLEX_CYB5R3_B5A_pc;cplx_COMPLEX_CYB5R3_B5B_pc	FCYTOB5OXR	forward	pc	cplx_COMPLEX_CYB5R3_B5A_pc(135310.99365450782);cplx_COMPLEX_CYB5R3_B5B_pc(155183.4697183303)	135310.99365450782;155183.4697183303	234000.0
enzyme_FCYTOB5OXR_rev_pc	enzyme_FCYTOB5OXR_rev	cplx_COMPLEX_CYB5R3_B5A_pc;cplx_COMPLEX_CYB5R3_B5B_pc	FCYTOB5OXR	reverse	pc	cplx_COMPLEX_CYB5R3_B5A_pc(0);cplx_COMPLEX_CYB5R3_B5B_pc(0)	0;0	234000.0
enzyme_ADRNCHR1ERx_fwd_pc	enzyme_ADRNCHR1ERx_fwd	cplx_COMPLEX_CYB5R3_B5A_pc;cplx_COMPLEX_CYB5R3_B5B_pc;cplx_MONOMER_CYB5R3_pc	ADRNCHR1ERx	forward	pc	cplx_COMPLEX_CYB5R3_B5A_pc(135310.99365450782);cplx_COMPLEX_CYB5R3_B5B_pc(155183.4697183303);cplx_MONOMER_CYB5R3_pc(90411.35028515445)	135310.99365450782;155183.4697183303;90411.35028515445	234000.0
enzyme_ADRNCHR1ERx_rev_pc	enzyme_ADRNCHR1ERx_rev	cplx_COMPLEX_CYB5R3_B5A_pc;cplx_COMPLEX_CYB5R3_B5B_pc;cplx_MONOMER_CYB5R3_pc	ADRNCHR1ERx	reverse	pc	cplx_COMPLEX_CYB5R3_B5A_pc(0);cplx_COMPLEX_CYB5R3_B5B_pc(0);cplx_MONOMER_CYB5R3_pc(0)	0;0;0	234000.0
enzyme_ADRNLQ1ERx_L_fwd_pc	enzyme_ADRNLQ1ERx_L_fwd	cplx_COMPLEX_CYB5R3_B5A_pc;cplx_COMPLEX_CYB5R3_B5B_pc;cplx_MONOMER_CYB5R3_pc	ADRNLQ1ERx_L	forward	pc	cplx_COMPLEX_CYB5R3_B5A_pc(135310.99365450782);cplx_COMPLEX_CYB5R3_B5B_pc(155183.4697183303);cplx_MONOMER_CYB5R3_pc(90411.35028515445)	135310.99365450782;155183.4697183303;90411.35028515445	234000.0
enzyme_ADRNLQ1ERx_L_rev_pc	enzyme_ADRNLQ1ERx_L_rev	cplx_COMPLEX_CYB5R3_B5A_pc;cplx_COMPLEX_CYB5R3_B5B_pc;cplx_MONOMER_CYB5R3_pc	ADRNLQ1ERx_L	reverse	pc	cplx_COMPLEX_CYB5R3_B5A_pc(0);cplx_COMPLEX_CYB5R3_B5B_pc(0);cplx_MONOMER_CYB5R3_pc(0)	0;0;0	234000.0
enzyme_DOPAQ1ERx_L_fwd_pc	enzyme_DOPAQ1ERx_L_fwd	cplx_COMPLEX_CYB5R3_B5A_pc;cplx_COMPLEX_CYB5R3_B5B_pc;cplx_MONOMER_CYB5R3_pc	DOPAQ1ERx_L	forward	pc	cplx_COMPLEX_CYB5R3_B5A_pc(135310.99365450782);cplx_COMPLEX_CYB5R3_B5B_pc(155183.4697183303);cplx_MONOMER_CYB5R3_pc(90411.35028515445)	135310.99365450782;155183.4697183303;90411.35028515445	234000.0
enzyme_DOPAQ1ERx_L_rev_pc	enzyme_DOPAQ1ERx_L_rev	cplx_COMPLEX_CYB5R3_B5A_pc;cplx_COMPLEX_CYB5R3_B5B_pc;cplx_MONOMER_CYB5R3_pc	DOPAQ1ERx_L	reverse	pc	cplx_COMPLEX_CYB5R3_B5A_pc(0);cplx_COMPLEX_CYB5R3_B5B_pc(0);cplx_MONOMER_CYB5R3_pc(0)	0;0;0	234000.0
enzyme_DPAMCHR1ERx_fwd_pc	enzyme_DPAMCHR1ERx_fwd	cplx_COMPLEX_CYB5R3_B5A_pc;cplx_COMPLEX_CYB5R3_B5B_pc;cplx_MONOMER_CYB5R3_pc	DPAMCHR1ERx	forward	pc	cplx_COMPLEX_CYB5R3_B5A_pc(135310.99365450782);cplx_COMPLEX_CYB5R3_B5B_pc(155183.4697183303);cplx_MONOMER_CYB5R3_pc(90411.35028515445)	135310.99365450782;155183.4697183303;90411.35028515445	234000.0
enzyme_DPAMCHR1ERx_rev_pc	enzyme_DPAMCHR1ERx_rev	cplx_COMPLEX_CYB5R3_B5A_pc;cplx_COMPLEX_CYB5R3_B5B_pc;cplx_MONOMER_CYB5R3_pc	DPAMCHR1ERx	reverse	pc	cplx_COMPLEX_CYB5R3_B5A_pc(0);cplx_COMPLEX_CYB5R3_B5B_pc(0);cplx_MONOMER_CYB5R3_pc(0)	0;0;0	234000.0
