complex	subunits	compartment	reactions	genes	coefficients	cofactors	notes
cplx_HOMOHEXAMER_ACOT7	protein_ACOT7	c	FACOAE_10_0;FACOAE_11_0;FACOAE_12_0;FACOAE_13_0;FACOAE_14_0;FACOAE_14_5Z;FACOAE_14_7Z;FACOAE_14_9Z;FACOAE_15_0;FACOAE_16_0;FACOAE_16_7Z;FACOAE_16_9Z;FACOAE_17_0;FACOAE_17_10Z;FACOAE_17_9Z;FACOAE_18_0;FACOAE_18_11Z;FACOAE_18_13Z;FACOAE_18_6Z9Z;FACOAE_18_6Z9Z12Z;FACOAE_18_6Z9Z12Z15Z;FACOAE_18_7Z;FACOAE_18_9E;FACOAE_18_9Z;FACOAE_18_9Z12Z;FACOAE_18_9Z12Z15Z;FACOAE_19_0;FACOAE_20_0;FACOAE_20_11Z;FACOAE_20_11Z14Z;FACOAE_20_11Z14Z17Z;FACOAE_20_13Z;FACOAE_20_5Z8Z11Z;FACOAE_20_5Z8Z11Z14Z;FACOAE_20_5Z8Z11Z14Z17Z;FACOAE_20_8Z11Z;FACOAE_20_8Z11Z14Z;FACOAE_20_8Z11Z14Z17Z;FACOAE_20_9Z;FACOAE_8_0;FACOAE_9_0	ACOT7	6
cplx_MONOMER_ACP1	protein_ACP1	c	FMNPH;PROTKRU5PPP;PROTYPP;THMMPP	ACP1	1		ASSUMED MONOMER
cplx_MONOMER_ACSL1	protein_ACSL1	c	FACOAL_16_0;FACOAL_18_9Z;FACOAL_18_9Z12Z;FACOAL_12_0;FACOAL_13_0;FACOAL_14_0;FACOAL_14_5Z;FACOAL_14_7Z;FACOAL_14_9Z;FACOAL_15_0;FACOAL_16_7Z;FACOAL_16_9Z;FACOAL_17_0;FACOAL_17_10Z;FACOAL_17_9Z;FACOAL_18_0;FACOAL_18_11Z;FACOAL_18_13Z;FACOAL_18_6Z9Z;FACOAL_18_6Z9Z12Z;FACOAL_18_6Z9Z12Z15Z;FACOAL_18_7Z;FACOAL_18_9E;FACOAL_18_9Z12Z15Z;FACOAL_19_0;FACOAL_20_0;FACOAL_20_11Z;FACOAL_20_11Z14Z;FACOAL_20_11Z14Z17Z;FACOAL_20_13Z;FACOAL_20_5Z8Z11Z;FACOAL_20_5Z8Z11Z14Z;FACOAL_20_5Z8Z11Z14Z17Z;FACOAL_20_8Z11Z;FACOAL_20_8Z11Z14Z;FACOAL_20_8Z11Z14Z17Z;FACOAL_20_9Z;FACOAL_21_0;FACOAL_22_0;FACOAL_22_10Z13Z16Z;FACOAL_22_10Z13Z16Z19Z;FACOAL_22_11Z;FACOAL_22_13Z;FACOAL_22_13Z16Z;FACOAL_22_13Z16Z19Z;FACOAL_22_4Z7Z10Z13Z16Z;FACOAL_22_4Z7Z10Z13Z16Z19Z;FACOAL_22_7Z10Z13Z16Z;FACOAL_22_7Z10Z13Z16Z19Z;FACOAL_23_0;FACOAL_24_0;FACOAL_24_12Z15Z18Z21Z;FACOAL_24_15Z;FACOAL_24_6Z9Z12Z15Z18Z;FACOAL_24_6Z9Z12Z15Z18Z21Z;FACOAL_24_9Z12Z15Z18Z;FACOAL_24_9Z12Z15Z18Z21Z;FACOAL_26_0;FACOAL_26_17Z	ACSL1	1
cplx_MONOMER_ACSL3	protein_ACSL3	c	FACOAL_16_0;FACOAL_18_9Z;FACOAL_18_9Z12Z;FACOAL_12_0;FACOAL_13_0;FACOAL_14_0;FACOAL_14_5Z;FACOAL_14_7Z;FACOAL_14_9Z;FACOAL_15_0;FACOAL_16_7Z;FACOAL_16_9Z;FACOAL_17_0;FACOAL_17_10Z;FACOAL_17_9Z;FACOAL_18_0;FACOAL_18_11Z;FACOAL_18_13Z;FACOAL_18_6Z9Z;FACOAL_18_6Z9Z12Z;FACOAL_18_6Z9Z12Z15Z;FACOAL_18_7Z;FACOAL_18_9E;FACOAL_18_9Z12Z15Z;FACOAL_19_0;FACOAL_20_0;FACOAL_20_11Z;FACOAL_20_11Z14Z;FACOAL_20_11Z14Z17Z;FACOAL_20_13Z;FACOAL_20_5Z8Z11Z;FACOAL_20_5Z8Z11Z14Z;FACOAL_20_5Z8Z11Z14Z17Z;FACOAL_20_8Z11Z;FACOAL_20_8Z11Z14Z;FACOAL_20_8Z11Z14Z17Z;FACOAL_20_9Z;FACOAL_21_0;FACOAL_22_0;FACOAL_22_10Z13Z16Z;FACOAL_22_10Z13Z16Z19Z;FACOAL_22_11Z;FACOAL_22_13Z;FACOAL_22_13Z16Z;FACOAL_22_13Z16Z19Z;FACOAL_22_4Z7Z10Z13Z16Z;FACOAL_22_4Z7Z10Z13Z16Z19Z;FACOAL_22_7Z10Z13Z16Z;FACOAL_22_7Z10Z13Z16Z19Z;FACOAL_23_0;FACOAL_24_0;FACOAL_24_12Z15Z18Z21Z;FACOAL_24_15Z;FACOAL_24_6Z9Z12Z15Z18Z;FACOAL_24_6Z9Z12Z15Z18Z21Z;FACOAL_24_9Z12Z15Z18Z;FACOAL_24_9Z12Z15Z18Z21Z;FACOAL_26_0;FACOAL_26_17Z	ACSL3	1
cplx_MONOMER_ACSL4	protein_ACSL4	c	FACOAL_16_0;FACOAL_18_9Z;FACOAL_18_9Z12Z;FACOAL_12_0;FACOAL_13_0;FACOAL_14_0;FACOAL_14_5Z;FACOAL_14_7Z;FACOAL_14_9Z;FACOAL_15_0;FACOAL_16_7Z;FACOAL_16_9Z;FACOAL_17_0;FACOAL_17_10Z;FACOAL_17_9Z;FACOAL_18_0;FACOAL_18_11Z;FACOAL_18_13Z;FACOAL_18_6Z9Z;FACOAL_18_6Z9Z12Z;FACOAL_18_6Z9Z12Z15Z;FACOAL_18_7Z;FACOAL_18_9E;FACOAL_18_9Z12Z15Z;FACOAL_19_0;FACOAL_20_0;FACOAL_20_11Z;FACOAL_20_11Z14Z;FACOAL_20_11Z14Z17Z;FACOAL_20_13Z;FACOAL_20_5Z8Z11Z;FACOAL_20_5Z8Z11Z14Z;FACOAL_20_5Z8Z11Z14Z17Z;FACOAL_20_8Z11Z;FACOAL_20_8Z11Z14Z;FACOAL_20_8Z11Z14Z17Z;FACOAL_20_9Z;FACOAL_21_0;FACOAL_22_0;FACOAL_22_10Z13Z16Z;FACOAL_22_10Z13Z16Z19Z;FACOAL_22_11Z;FACOAL_22_13Z;FACOAL_22_13Z16Z;FACOAL_22_13Z16Z19Z;FACOAL_22_4Z7Z10Z13Z16Z;FACOAL_22_4Z7Z10Z13Z16Z19Z;FACOAL_22_7Z10Z13Z16Z;FACOAL_22_7Z10Z13Z16Z19Z;FACOAL_23_0;FACOAL_24_0;FACOAL_24_12Z15Z18Z21Z;FACOAL_24_15Z;FACOAL_24_6Z9Z12Z15Z18Z;FACOAL_24_6Z9Z12Z15Z18Z21Z;FACOAL_24_9Z12Z15Z18Z;FACOAL_24_9Z12Z15Z18Z21Z;FACOAL_26_0;FACOAL_26_17Z	ACSL4	1
cplx_MONOMER_ACSL6	protein_ACSL6	c	FACOAL_16_0;FACOAL_18_9Z;FACOAL_18_9Z12Z;FACOAL_12_0;FACOAL_13_0;FACOAL_14_0;FACOAL_14_5Z;FACOAL_14_7Z;FACOAL_14_9Z;FACOAL_15_0;FACOAL_16_7Z;FACOAL_16_9Z;FACOAL_17_0;FACOAL_17_10Z;FACOAL_17_9Z;FACOAL_18_0;FACOAL_18_11Z;FACOAL_18_13Z;FACOAL_18_6Z9Z;FACOAL_18_6Z9Z12Z;FACOAL_18_6Z9Z12Z15Z;FACOAL_18_7Z;FACOAL_18_9E;FACOAL_18_9Z12Z15Z;FACOAL_19_0;FACOAL_20_0;FACOAL_20_11Z;FACOAL_20_11Z14Z;FACOAL_20_11Z14Z17Z;FACOAL_20_13Z;FACOAL_20_5Z8Z11Z;FACOAL_20_5Z8Z11Z14Z;FACOAL_20_5Z8Z11Z14Z17Z;FACOAL_20_8Z11Z;FACOAL_20_8Z11Z14Z;FACOAL_20_8Z11Z14Z17Z;FACOAL_20_9Z;FACOAL_21_0;FACOAL_22_0;FACOAL_22_10Z13Z16Z;FACOAL_22_10Z13Z16Z19Z;FACOAL_22_11Z;FACOAL_22_13Z;FACOAL_22_13Z16Z;FACOAL_22_13Z16Z19Z;FACOAL_22_4Z7Z10Z13Z16Z;FACOAL_22_4Z7Z10Z13Z16Z19Z;FACOAL_22_7Z10Z13Z16Z;FACOAL_22_7Z10Z13Z16Z19Z;FACOAL_23_0;FACOAL_24_0;FACOAL_24_12Z15Z18Z21Z;FACOAL_24_15Z;FACOAL_24_6Z9Z12Z15Z18Z;FACOAL_24_6Z9Z12Z15Z18Z21Z;FACOAL_24_9Z12Z15Z18Z;FACOAL_24_9Z12Z15Z18Z21Z;FACOAL_26_0;FACOAL_26_17Z	ACSL6	1
cplx_MONOMER_ACSS2	protein_ACSS2	c	FACOAL_2_0;FACOAL_3_0	ACSS2	1
cplx_MONOMER_ACTA1	protein_ACTA1	c	NTPA	ACTA1	1		ASSUMED MONOMER
cplx_MONOMER_ACTB	protein_ACTB	c	NTPA	ACTB	1		ASSUMED MONOMER
cplx_MONOMER_ACTC1	protein_ACTC1	c	NTPA	ACTC1	1		ASSUMED MONOMER
