	metabolites	metatlas	bigg.metabolite	vmhmetabolite
479	FAcoa_hs_21_2E_c	MAM00044c	M00044	M00044
480	FAcoa_hs_21_3OH__R_c	MAM00778c	M00778	M00778
481	FAcoa_hs_21_3O_c	MAM00873c	M00873	M00873
482	FAcoa_hs_22_0_c	MAM01725c	docoscoa	docoscoa
483	FAcoa_hs_22_10Z13Z16Z19Z3OH__R_c	MAM00711c	CE4848	CE4848
484	FAcoa_hs_22_10Z13Z16Z19Z3O_c	MAM00861c	CE4850	CE4850
485	FAcoa_hs_22_10Z13Z16Z19Z_c	MAM00262c	CE4854	CE4854
486	FAcoa_hs_22_10Z13Z16Z3OH__R_c	MAM00698c	CE4844	CE4844
487	FAcoa_hs_22_10Z13Z16Z3O_c	MAM00865c	CE4845	CE4845
488	FAcoa_hs_22_10Z13Z16Z_c	MAM00264c	CE4847	CE4847
489	FAcoa_hs_22_11Z3OH__R_c	MAM00699c	M00699	M00699
490	FAcoa_hs_22_11Z3O_c	MAM00839c	M00839	M00839
491	FAcoa_hs_22_11Z_c	MAM00006c	M00006	M00006
492	FAcoa_hs_22_13Z16Z19Z3OH__R_c	MAM00712c	M00712	M00712
493	FAcoa_hs_22_13Z16Z19Z3O_c	MAM00862c	M00862	M00862
494	FAcoa_hs_22_13Z16Z19Z_c	MAM00343c	M00343	M00343
495	FAcoa_hs_22_13Z16Z3OH__R_c	MAM00085c	M00085	M00085
496	FAcoa_hs_22_13Z16Z3O_c	MAM00860c	M00860	M00860
497	FAcoa_hs_22_13Z16Z_c	MAM00023c	M00023	M00023
498	FAcoa_hs_22_13Z3OH__R_c	MAM00701c	CE5153	CE5153
499	FAcoa_hs_22_13Z3O_c	MAM00842c	CE5152	CE5152
500	FAcoa_hs_22_13Z_c	MAM00016c	CE5155	CE5155
501	FAcoa_hs_22_2E10Z13Z16Z19Z_c	MAM03002c	CE4852	CE4852
502	FAcoa_hs_22_2E10Z13Z16Z_c	MAM03004c	CE4846	CE4846
503	FAcoa_hs_22_2E11Z_c	MAM03011c	M03011	M03011
504	FAcoa_hs_22_2E13Z16Z19Z_c	MAM03006c	M03006	M03006
505	FAcoa_hs_22_2E13Z16Z_c	MAM03008c	M03008	M03008
506	FAcoa_hs_22_2E13Z_c	MAM03013c	CE5154	CE5154
507	FAcoa_hs_22_2E7Z10Z13Z16Z19Z_c	MAM00679c	CE4821	CE4821
508	FAcoa_hs_22_2E7Z10Z13Z16Z_c	MAM00074c	CE4835	CE4835
509	FAcoa_hs_22_2E_c	MAM00040c	CE2242	CE2242
510	FAcoa_hs_22_3OH__R_c	MAM00776c	CE2246	CE2246
511	FAcoa_hs_22_3O_c	MAM00866c	CE2250	CE2250
512	FAcoa_hs_22_4Z7Z10Z13Z16Z19Z_c	MAM00095c	c226coa	"['c226coa', 'CE4827']"
513	FAcoa_hs_22_4Z7Z10Z13Z16Z_c	MAM00093c	dcsptn1coa	dcsptn1coa
514	FAcoa_hs_22_7Z10Z13Z16Z19Z3OH__R_c	MAM00713c	CE4817	CE4817
515	FAcoa_hs_22_7Z10Z13Z16Z19Z3O_c	MAM00863c	CE4819	CE4819
516	FAcoa_hs_22_7Z10Z13Z16Z19Z_c	MAM00121c	clpndcoa	clpndcoa
517	FAcoa_hs_22_7Z10Z13Z16Z3OH__R_c	MAM00714c	CE4831	CE4831
518	FAcoa_hs_22_7Z10Z13Z16Z3O_c	MAM00864c	CE4833	CE4833
519	FAcoa_hs_22_7Z10Z13Z16Z_c	MAM00119c	adrncoa	adrncoa
520	FAcoa_hs_23_0_c	MAM03047c	M03047	M03047
521	FAcoa_hs_23_2E_c	MAM00067c	M00067	M00067
522	FAcoa_hs_23_3OH__R_c	MAM00802c	M00802	M00802
523	FAcoa_hs_23_3O_c	MAM00907c	M00907	M00907
524	FAcoa_hs_24_0_c	MAM02971c	lgnccoa	ttccoa
525	FAcoa_hs_24_12Z15Z18Z21Z3OH__R_c	MAM00716c	CE4849	CE4849
526	FAcoa_hs_24_12Z15Z18Z21Z3O_c	MAM00901c	CE4851	CE4851
527	FAcoa_hs_24_12Z15Z18Z21Z_c	MAM00317c	CE4855	CE4855
528	FAcoa_hs_24_15Z3OH__R_c	MAM00709c	CE5157	CE5157
529	FAcoa_hs_24_15Z3O_c	MAM00856c	CE5156	CE5156
530	FAcoa_hs_24_15Z_c	MAM00025c	nrvnccoa	nrvnccoa
531	FAcoa_hs_24_2E12Z15Z18Z21Z_c	MAM03003c	CE4853	CE4853
532	FAcoa_hs_24_2E15Z_c	MAM03015c	CE5158	CE5158
533	FAcoa_hs_24_2E9Z12Z15Z18Z21Z_c	MAM00680c		CE4816
534	FAcoa_hs_24_2E9Z12Z15Z18Z_c	MAM00681c		CE4830
535	FAcoa_hs_24_2E_c	MAM00064c	CE2245	CE2245
536	FAcoa_hs_24_3OH__R_c	MAM00800c	CE2249	CE2249
537	FAcoa_hs_24_3O_c	MAM00904c	CE2253	CE2253
538	FAcoa_hs_24_6Z9Z12Z15Z18Z21Z_c	MAM00113c	tethex3coa	tethex3coa
539	FAcoa_hs_24_6Z9Z12Z15Z18Z_c	MAM00110c	tetpent6coa	tetpent6coa
540	FAcoa_hs_24_9Z12Z15Z18Z21Z3OH__R_c	MAM00718c		CE4818
541	FAcoa_hs_24_9Z12Z15Z18Z21Z3O_c	MAM00853c		CE4820
542	FAcoa_hs_24_9Z12Z15Z18Z21Z_c	MAM00134c	tetpent3coa	tetpent3coa
543	FAcoa_hs_24_9Z12Z15Z18Z3OH__R_c
544	FAcoa_hs_24_9Z12Z15Z18Z3O_c	MAM00903c	CE4834	CE4834
545	FAcoa_hs_24_9Z12Z15Z18Z_c	MAM00131c	tettet6coa	"['CE4837', 'tettet6coa']"
546	FAcoa_hs_26_0_c	MAM02110c	hexccoa	hexccoa
547	FAcoa_hs_26_17Z3OH__R_c	MAM00715c	M00715	M00715
548	FAcoa_hs_26_17Z3O_c	MAM00879c	M00879	M00879
549	FAcoa_hs_26_17Z_c	MAM02112c	M02112	M02112
550	FAcoa_hs_26_2E17Z_c	MAM03016c	M03016	M03016
551	FAcoa_hs_26_2E_c	MAM00049c	M00049	M00049
552	FAcoa_hs_26_3OH__R_c	MAM00783c	M00783	M00783
553	FAcoa_hs_26_3O_c	MAM00878c	3ohxccoa	3ohxccoa
554	FAcoa_hs_3_2E_c
555	FAcoa_hs_3_3OH__S_c	MAM00799c	3hpcoa	3hpcoa
556	FAcoa_hs_4_2E_c
557	FAcoa_hs_4_3OH__R_c	MAM00159c	3hbcoa__R	3hbcoa_R
558	FAcoa_hs_5_0_c	MAM02694c	pentcoa	"['pentcoa', 'M02694']"
559	FAcoa_hs_6_0_c	MAM02122c	hxcoa	hxcoa
560	FAcoa_hs_6_2E_c
561	FAcoa_hs_6_3OH__S_c
562	FAcoa_hs_7_0_c	MAM02107c	hepcoa	"['hepcoa', 'M02107']"
563	FAcoa_hs_7_3OH__S_c
564	FAcoa_hs_8_0_c	MAM02644c	occoa	occoa
565	FAcoa_hs_8_2E_c	MAM03500c	c81coa	c81coa
566	FAcoa_hs_8_3OH__S_c
567	FAcoa_hs_9_0_c	MAM02616c	noncoa	"['noncoa', 'M02616']"
568	FAcoa_hs_9_3OH__S_c
569	FAcoa_hs_c	MAM10007c	acoa
570	FAcrn_10_DC_c	MAM03489c	c10dc	c10dc
571	FAcrn_12_DC_c	MAM03490c	c12dc	c12dc
572	FAcrn_16_DC_c	MAM03493c	c16dc	c16dc
573	FAcrn_4_2M_c
574	FAcrn_4_DC_c	MAM03495c	c4dc	c4dc
575	FAcrn_5_2E2M_c	MAM03496c	c51crn	c51crn
576	FAcrn_5_2EDC_c
577	FAcrn_5_2M_c
578	FAcrn_5_3M3OH__S_c	MAM03243c	3ivcrn	3ivcrn
579	FAcrn_5_DC_c	MAM03497c	c5dc	c5dc
580	FAcrn_6_DC_c	MAM03499c	c6dc	c6dc
581	FAcrn_7_DC_c
582	FAcrn_8_DC_c	MAM03502c	c8dc	c8dc
583	FAcrn_hs_10_0_c	MAM03488c	c10crn	c10crn
584	FAcrn_hs_10_2E6Z_c	MAM03544c	decdicrn	decdicrn
585	FAcrn_hs_10_2E_c	MAM03487c	c101crn	c101crn
586	FAcrn_hs_10_3OH__S_c	MAM03204c	3deccrn	3deccrn
587	FAcrn_hs_11_0_c
588	FAcrn_hs_12_0_c	MAM01729c	M01729	M01729
589	FAcrn_hs_12_2E_c	MAM03541c	ddece1crn	ddece1crn
590	FAcrn_hs_12_3OH__S_c	MAM03202c	3ddcrn	3ddcrn
591	FAcrn_hs_13_0_c	MAM03049c		M03049
592	FAcrn_hs_14_0_c	MAM02973c	M02973	M02973
593	FAcrn_hs_14_2E_c	MAM03980c	tetdece1crn	tetdece1crn
594	FAcrn_hs_14_3OH__S_c	MAM03262c	3tdcrn	3tdcrn
595	FAcrn_hs_14_5E8Z3OH__S_c	MAM03268c	3ttetddcoacrn	3ttetddcoacrn
596	FAcrn_hs_14_5E8Z_c	MAM03975c	tetdec2crn	tetdec2crn
597	FAcrn_hs_14_5Z_c	MAM02976c	M02976	M02976
598	FAcrn_hs_14_7Z3OH__S_c	MAM03264c	3tetd7ecoacrn	3tetd7ecoacrn
599	FAcrn_hs_14_7Z_c	MAM02975c		M02975
600	FAcrn_hs_14_9Z_c	MAM02974c	ttdcrn	ttdcrn
601	FAcrn_hs_15_0_c	MAM02688c	ptdcacrn	ptdcacrn
602	FAcrn_hs_16_0_c	MAM02411c	pmtcrn	pmtcrn
603	FAcrn_hs_16_2E_c	MAM02117c	hdd2crn	hdd2crn
604	FAcrn_hs_16_3OH__S_c
605	FAcrn_hs_16_7E10Z3OH__S_c	MAM03266c	3thexddcoacrn	3thexddcoacrn
606	FAcrn_hs_16_7Z_c
607	FAcrn_hs_16_9Z3OH__S_c	MAM03217c	3hdececrn	3hdececrn
608	FAcrn_hs_16_9Z_c	MAM02676c	hdcecrn	hdcecrn
609	FAcrn_hs_17_0_c	MAM02100c	hpdcacrn	hpdcacrn
610	FAcrn_hs_17_10Z_c	MAM02102c	M02102	M02102
611	FAcrn_hs_17_9Z_c	MAM02103c	M02103	M02103
612	FAcrn_hs_18_0_c	MAM02940c	stcrn	stcrn
613	FAcrn_hs_18_11Z_c	MAM02640c	vacccrn	vacccrn
614	FAcrn_hs_18_13Z_c
615	FAcrn_hs_18_2E_c	MAM00126c	elaidcrn	elaidcrn
616	FAcrn_hs_18_3OH__S_c	MAM03251c	3octdeccrn	3octdeccrn
617	FAcrn_hs_18_6Z9Z12Z15Z_c	MAM00107c	strdnccrn	strdnccrn
618	FAcrn_hs_18_6Z9Z12Z_c	MAM01933c	lnlncgcrn	lnlncgcrn
619	FAcrn_hs_18_6Z9Z_c	MAM00105c	lneldccrn	lneldccrn
620	FAcrn_hs_18_7Z_c	MAM02638c	M02638	M02638
621	FAcrn_hs_18_9E_c
622	FAcrn_hs_18_9Z12Z15Z_c	MAM03727c	lnlncacrn	lnlncacrn
623	FAcrn_hs_18_9Z12Z3OH__S_c	MAM03250c	3octdec2crn	3octdec2crn
624	FAcrn_hs_18_9Z12Z_c	MAM02388c	lnlccrn	lnlccrn
625	FAcrn_hs_18_9Z3OH__S_c	MAM03253c	3octdece1crn	3octdece1crn
626	FAcrn_hs_18_9Z_c	MAM02639c	odecrn	odecrn
627	FAcrn_hs_19_0_c	MAM02611c	M02611	M02611
628	FAcrn_hs_20_0_c	MAM01772c	arachcrn	arachcrn
629	FAcrn_hs_20_11Z14Z17Z_c	MAM00011c	M00011	M00011
630	FAcrn_hs_20_11Z14Z_c	MAM01770c	M01770	M01770
631	FAcrn_hs_20_11Z_c	MAM01777c	M01777	M01777
632	FAcrn_hs_20_13Z_c	MAM01776c	M01776	M01776
633	FAcrn_hs_20_5Z8Z11Z14Z17Z_c	MAM00102c	tmndnccrn	tmndnccrn
634	FAcrn_hs_20_5Z8Z11Z14Z_c	MAM01363c	arachdcrn	arachdcrn
635	FAcrn_hs_20_5Z8Z11Z_c	MAM00100c	M00100	M00100
636	FAcrn_hs_20_8Z11Z14Z17Z_c	MAM00124c	eicostetcrn	eicostetcrn
637	FAcrn_hs_20_8Z11Z14Z_c	MAM01774c	dlnlcgcrn	dlnlcgcrn
638	FAcrn_hs_20_8Z11Z_c	MAM00122c	M00122	M00122
639	FAcrn_hs_20_9Z_c	MAM01775c	M01775	M01775
640	FAcrn_hs_21_0_c	MAM02051c	M02051	M02051
641	FAcrn_hs_22_0_c	MAM01724c	M01724	M01724
642	FAcrn_hs_22_10Z13Z16Z19Z_c	MAM00261c	M00261	M00261
643	FAcrn_hs_22_10Z13Z16Z_c	MAM00263c	M00263	M00263
644	FAcrn_hs_22_11Z_c	MAM01726c	M01726	M01726
645	FAcrn_hs_22_13Z16Z19Z_c	MAM00342c	M00342	M00342
646	FAcrn_hs_22_13Z16Z_c	MAM00022c	M00022	M00022
647	FAcrn_hs_22_13Z_c	MAM01727c	M01727	M01727
648	FAcrn_hs_22_4Z7Z10Z13Z16Z19Z_c	MAM01723c	c226crn	c226crn
649	FAcrn_hs_22_4Z7Z10Z13Z16Z_c	MAM00092c	dcsptn1crn	dcsptn1crn
650	FAcrn_hs_22_7Z10Z13Z16Z19Z_c	MAM00120c	clpndcrn	clpndcrn
651	FAcrn_hs_22_7Z10Z13Z16Z_c	MAM02636c	adrncrn	adrncrn
652	FAcrn_hs_23_0_c	MAM03046c		M03046
653	FAcrn_hs_24_0_c	MAM02970c	lgnccrn	lgnccrn
654	FAcrn_hs_24_12Z15Z18Z21Z_c	MAM00316c		M00316
655	FAcrn_hs_24_15Z_c	MAM00024c	nrvnccrn	nrvnccrn
656	FAcrn_hs_24_6Z9Z12Z15Z18Z21Z_c	MAM00112c		M00112
657	FAcrn_hs_24_6Z9Z12Z15Z18Z_c	MAM00109c	tetpent6crn	tetpent6crn
658	FAcrn_hs_24_9Z12Z15Z18Z21Z_c	MAM00133c	tetpent3crn	tetpent3crn
659	FAcrn_hs_24_9Z12Z15Z18Z_c	MAM00130c	tettet6crn	tettet6crn
660	FAcrn_hs_26_0_c	MAM02109c	hexccrn	hexccrn
661	FAcrn_hs_26_17Z_c	MAM02111c		M02111
662	FAcrn_hs_3_0_c	MAM02657c	pcrn	pcrn
663	FAcrn_hs_3_2E_c
664	FAcrn_hs_3_3OH__S_c
665	FAcrn_hs_4_0_c	MAM02635c	c4crn	c4crn
666	FAcrn_hs_4_2E_c
667	FAcrn_hs_4_3OH__R_c	MAM03201c	3bcrn	3bcrn
668	FAcrn_hs_5_0_c
669	FAcrn_hs_6_0_c	MAM03498c	c6crn	c6crn
670	FAcrn_hs_6_2E_c
671	FAcrn_hs_6_3OH__S_c
672	FAcrn_hs_7_0_c
673	FAcrn_hs_7_3OH__S_c
674	FAcrn_hs_8_0_c	MAM02409c	c8crn	c8crn
675	FAcrn_hs_8_2E_c	MAM03501c	c81crn	c81crn
676	FAcrn_hs_8_3OH__S_c
677	FAcrn_hs_9_0_c
678	FAcrn_hs_9_3OH__S_c
679	Lcyst_c	MAM02350c	Lcyst	Lcyst
680	M01958_c	MAM01958c		M01958
681	M02195_c	MAM02195c	M02195	M02195
682	M02196_c	MAM02196c		M02196
683	M03093_c	MAM03093c		M03093
684	M03094_c	MAM03094c		M03094
685	N1aspmd_c	MAM02503c	N1aspmd	N1aspmd
686	N1sprm_c	MAM02504c		N1sprm
687	PPP2CA_leu__L_c
688	PPP2CA_leumeo_c
689	aacACP_c	MAM01254c		HC01587
690	aacoa_c	MAM01255c	aacoa	aacoa
691	aappal_c	MAM01250c		CE4788
692	abt__L_c	MAM02338c	abt	abt
693	abt__L_e	MAM02338e	abt	abt
694	ac4oacnam_c
695	ac9oacnam_c	MAM02545c		M02545
696	acACP_c	MAM01258c	acACP	acACP
697	ac_c	MAM01252c	ac	ac
698	ac_e	MAM01252e	ac	ac
699	acac_c	MAM01253c	acac	acac
700	acac_e	MAM01253e	acac	acac
701	acald_c	MAM01249c	acald	acald
702	acald_e	MAM01249e	acald	acald
703	accoa_c	MAM01261c	accoa	accoa
704	acetol_c	MAM02148c	acetol	acetol
705	acgal1p_c	MAM02526c	acgal1p	acgal1p
706	acgal_c	MAM02525c	acgal	acgal
707	acgalfucgalacgalfuc12gal14acglcgalgluside_hs_c	MAM03096c	acgalfucgalacgalfuc12gal14acglcgalgluside_hs	acgalfucgalacgalfuc12gal14acglcgalgluside_hs
708	acgalfucgalacgalfucgalacglcgal14acglcgalgluside_hs_c	MAM03098c	acgalfucgalacgalfucgalacglcgal14acglcgalgluside_hs	acgalfucgalacgalfucgalacglcgal14acglcgalgluside_hs
709	acgalfucgalacglcgal14acglcgalgluside_hs_c	MAM01877c		acgalfucgalacglcgal14acglcgalgluside_hs
710	acgalfucgalacglcgalgluside_hs_c	MAM03090c	acgalfucgalacglcgalgluside_hs	acgalfucgalacglcgalgluside_hs
711	acgam1p_c	MAM02528c	acgam1p	acgam1p
712	acgam6p_c	MAM02529c	acgam6p	acgam6p
713	acgam_c	MAM02527c	acgam	acgam
714	ach_e	MAM01260e	ach	ach
715	acmana_c	MAM02524c	acmana	acmana
716	acmanap_c	MAM02539c	acmanap	acmanap
717	acmet__L_c
718	acmetala_c
719	acnam_c	MAM02543c	acnam	acnam
720	acnam_e	MAM02543e	acnam	acnam
721	acnamp_c	MAM02544c	acnamp	acnamp
722	acrn_c	MAM02634c	acrn	acrn
723	actp_c
724	ade_c	MAM01279c	ade	ade
725	ade_e	MAM01279e	ade	ade
726	admarg__L_c	MAM02577c		dmlarg
727	admarg__L_e
728	adn_c	MAM01280c	adn	adn
729	adn_e	MAM01280e	adn	adn
730	adp_c	MAM01285c	adp	adp
731	adp_e	MAM01285e	adp	adp
732	adpglc_c	MAM01286c	adpglc	adpglc
733	adpman_c	MAM01287c	adpman	adpman
734	adprbp_c	MAM01289c	adprbp	adprbp
735	adprbp_e	MAM01289e	adprbp	adprbp
736	adprib_c	MAM01288c	adprib	adprib
737	adprib_e	MAM01288e	adprib	adprib
738	adpribu_c
739	adrnchrm_c	MAM01292c		CE5536
740	adrnchrmsqn_c	MAM01293c		CE5541
741	adrnl__L_c	MAM01290c	adrnl	adrnl
742	adrnl__L_e	MAM01290e	adrnl	adrnl
743	adrnlqn__L_c
744	adrnlsqn__L_c
745	ag1_c
746	ag1_e
747	ahcys__L_c	MAM02871c	ahcys	ahcys
748	ahdt_c	MAM01155c	ahdt	ahdt
749	aic_c
750	aic_e
751	aica_c
752	aica_e
753	aicar_c	MAM01304c	aicar	aicar
754	aicar_e	MAM01304e	aicar	aicar
755	air_c	MAM01305c	air	air
756	akg_c	MAM01306c	akg	akg
757	akg_e	MAM01306e	akg	akg
758	ala_B_c	MAM01383c	ala_B	ala_B
759	ala_B_e	MAM01383e	ala_B	ala_B
760	ala__L_c	MAM01307c	ala__L	ala_L
761	ala__L_e	MAM01307e	ala__L	ala_L
762	alapro_c
763	alatrna_c	MAM02335c		M02335
764	alltn_c	MAM01313c	alltn	alltn
765	alltt_c	MAM01312c		alltt
766	amet__L_c	MAM02877c	amet	amet
767	ametam_c	MAM02870c	ametam	ametam
768	amp_c	MAM01334c	amp	amp
769	amp_e	MAM01334e	amp	amp
770	anad_c
771	andrstndn_c	MAM00971c	andrstndn	andrstndn
772	andrstndn_e	MAM00971e	andrstndn	andrstndn
773	andrstrn_c	MAM01338c	andrstrn	andrstrn
774	angiotensin17_c
775	angiotensin1_c
776	angiotensin2_c
777	angiotensin3_c
778	angiotensin4_c
779	angiotensin57_c
780	angiotensin58_c
781	ap4a_c	MAM02670c	ap4a	ap4a
782	ap5a_c
783	ap6a_c
784	apoACP_c	MAM01349c		HC01161
785	aprgstrn_c	MAM00580c	aprgstrn	aprgstrn
786	aprgstrn_e	MAM00580e	aprgstrn	aprgstrn
787	aps_c	MAM01283c	aps	aps
788	arab__L_c	MAM02337c	arab__L	arab_L
789	arab__L_e	MAM02337e	arab__L	arab_L
790	arg__L_c	MAM01365c	arg__L	arg_L
791	arg__L_e	MAM01365e	arg__L	arg_L
792	argpropro_c
793	argsuc_c	MAM01366c	argsuc	argsuc
794	argtrna_c	MAM02340c		M02340
795	arsdigth_c
796	arsgth_c
797	arsna_c
798	arsna_e
799	arsni_c
800	arsni_e
801	arsseldigth_c
802	arsseldigth_e
803	ascb__L_c	MAM01368c	ascb__L	ascb_L
804	ascb__L_e	MAM01368e	ascb__L	ascb_L
805	asn__L_c	MAM01369c	asn__L	asn_L
806	asn__L_e	MAM01369e	asn__L	asn_L
807	asntrna_c	MAM02341c		M02341
808	asp__L_c	MAM01370c	asp__L	asp_L
809	asp__L_e	MAM01370e	asp__L	asp_L
810	asparg_c
811	asptrna_c	MAM02342c		M02342
812	atp_c	MAM01371c	atp	atp
813	atp_e	MAM01371e	atp	atp
814	avite1_c	MAM01327c	avite1	avite1
815	avite1qn_c	MAM01329c	CE5022	CE5022
816	avite1r_c
817	bamppald_c	MAM00760c	bamppald	bamppald
818	betald_c	MAM01394c	betald	betald
819	bhbACP_c	MAM00158c		HC01321
820	bilirub_c	MAM01396c	bilirub	bilirub
821	biliverd_c	MAM01399c	biliverd	biliverd
822	btcoa_c	MAM01412c	btcoa	btcoa
823	butACP_c	MAM01411c		HC01588
824	but_c	MAM01410c	but	but
825	but_e	MAM01410e	but	but
826	buteACP_2E_c	MAM01409c		HC01255
827	bz_c	MAM01380c	bz	bz
828	bzal_c
829	ca2_c	MAM01413c	ca2	ca2
830	ca2_e	MAM01413e	ca2	ca2
831	cadprbp_c
832	cadprbp_e
833	cadprib_c
834	cadprib_e
835	carboxyhb_c
836	cbasp_c	MAM02559c	cbasp	cbasp
837	cbp_c	MAM01420c	cbp	cbp
838	cclglobin_c
839	cclmethb_c
840	cdp_c	MAM01424c	cdp	cdp
841	cdpchol_c	MAM01425c	cdpchol	cdpchol
842	cdpdag_hs_c	MAM01427c	cdpdag_hs	cdpdag_hs
843	cdpea_c	MAM01428c	cdpea	cdpea
844	ch4s_c	MAM03510c	ch4s	ch4s
845	chol_c	MAM01513c	chol	chol
846	chol_e	MAM01513e	chol	chol
847	cholp_c	MAM02738c	cholp	cholp
848	cholp_e	MAM02738e	cholp	cholp
849	chsterol_c	MAM01450c	chsterol	chsterol
850	chsterol_e	MAM01450e	chsterol	chsterol
851	cit_c	MAM01587c	cit	cit
852	cit_e	MAM01587e	cit	cit
853	citr__L_c	MAM01588c	citr__L	citr_L
854	citr__L_e	MAM01588e	citr__L	citr_L
855	cl_c	MAM01442c	cl	cl
856	cl_e	MAM01442e	cl	cl
857	cmp_c	MAM01590c	cmp	cmp
858	co2_c	MAM01596c	co2	co2
859	co2_e	MAM01596e	co2	co2
860	co3r_c
861	co_c	MAM01595c	co	co
862	co_e	MAM01595e	co	co
863	coa_c	MAM01597c	coa	coa
864	cobalt2_c
865	cobalt2_e
866	cppp1_c	MAM01603c	C05769	C05769
867	cppp1_e
868	cppp3_c	MAM01604c	C05770	C05770
869	cppp3_e
870	cpppg1_c	MAM01605c	cpppg1	cpppg1
871	cpppg3_c	MAM01606c	cpppg3	cpppg3
872	cpppg3_e
873	creat_c	MAM01619c	creat	creat
874	creat_e	MAM01619e	creat	creat
875	crm_hs_c	MAM01430c	crm_hs	crm_hs
876	crn_c	MAM02348c	crn	crn
877	crn_e	MAM02348e	crn	crn
878	crtn_c	MAM01621c	crtn	crtn
879	crtn_e	MAM01621e	crtn	crtn
880	crtsl_c	MAM01615c	crtsl	crtsl
881	crtsl_e	MAM01615e	crtsl	crtsl
882	crtstrn_c	MAM01614c	crtstrn	crtstrn
883	crtstrn_e	MAM01614e	crtstrn	crtstrn
884	csn_c	MAM01632c	csn	csn
885	ctp_c	MAM01623c	ctp	ctp
886	cu1_c
887	cu1_e
888	cu2_c	MAM01624c		cu2
889	cu2_e	MAM01624e		cu2
890	cynamd_c
891	cys__L_c	MAM01628c	cys__L	cys_L
892	cys__L_e	MAM01628e	cys__L	cys_L
893	cysgly_c	MAM01626c	cgly	cgly
894	cysi__L_c	MAM01629c	cysi__L	Lcystin
895	cysi__L_e	MAM01629e	cysi__L	Lcystin
896	cyst__L_c	MAM02349c	cyst__L	cyst_L
897	cystrna_c	MAM02351c		M02351
898	cytd_c	MAM01630c	cytd	cytd
899	cytd_e	MAM01630e	cytd	cytd
900	dadp_c	MAM01637c	dadp	dadp
901	dag_hs_c	MAM00240c	dag_hs	dag_hs
902	dago_hs_c	MAM00514c	ak2g_hs	ak2g_hs
903	dagoac_hs_c	MAM00513c		C03820
904	dagthrd_c
905	damp_c	MAM01639c	damp	damp
906	daophth_c
907	datp_c	MAM01642c	datp	datp
908	dcaACP_c	MAM01649c		HC01598
909	dcdp_c	MAM01643c	dcdp	dcdp
910	dceaACP_2E_c	MAM00038c		HC01597
911	dcmp_c	MAM01644c	dcmp	dcmp
912	dctp_c	MAM01645c	dctp	dctp
913	ddcaACP_c	MAM01728c	ddcaACP	ddcaACP
914	ddceaACP_2E_c	MAM00041c		HC01601
915	dgdp_c	MAM01680c	dgdp	dgdp
916	dgmp_c	MAM01686c	dgmp	dgmp
917	dgtp_c	MAM01688c	dgtp	dgtp
918	dh15kprostge1_c
919	dh15kprostge2_c
920	dh15kprostge3_c
921	dh15kprostgf1_c
922	dh15kprostgf2_c
923	dh15kprostgf3_c
924	dha_c	MAM01984c	dha	dha
925	dha_e	MAM01984e	dha	dha
926	dhap_c	MAM01690c	dhap	dhap
927	dhdascb__L_c	MAM01655c	dhdascb	dhdascb
928	dhdascb__L_e	MAM01655e	dhdascb	dhdascb
929	dhet1112_c	MAM00277c		M00277
930	dhet1112_e
931	dhet1415_c	MAM00364c		M00364
932	dhet1415_e
933	dhet56_c	MAM01051c		M01051
934	dhet56_e
935	dhet89_c	MAM01208c		M01208
936	dhet89_e
937	dhf_c	MAM01700c	dhf	dhf
938	dhlipoate_c	MAM01702c		C02147
939	dhlipoate_e
940	dhmtp_c	MAM00245c	dhmtp	"['dhmtp', 'M00245']"
941	dhnpt_c	MAM01704c	HC01361	HC01361
942	dhnpt_e	MAM01704e	HC01361	HC01361
943	dhor__S_c	MAM00180c	dhor__S	dhor_S
944	dhurate_c
945	diam6tpop4oxpyr_c	MAM00574c		HC01710
946	diampyrntp_c	MAM00575c		HC01652
947	didp_c	MAM01693c	didp	didp
948	dihdpa1011_c
949	dihdpa1011_e
950	dihdpa1314_c
951	dihdpa1314_e
952	dihdpa1617_c
953	dihdpa1617_e
954	dihdpa1920_c
955	dihdpa1920_e
956	dihdpa78_c
957	dihdpa78_e
958	dihete1112_c
959	dihete1112_e
960	dihete1415_c
961	dihete1415_e
962	dihete1718_c
963	dihete1718_e
964	dihete56_c
965	dihete56_e
966	dihete89_c
967	dihete89_e
968	dihome1213_c	MAM00314c	CE2049	CE2049
969	dihome1213_e	MAM00314e	CE2049	CE2049
970	dihome910_c	MAM01220c	CE2047	CE2047
971	dihome910_e	MAM01220e	CE2047	CE2047
972	dimp_c	MAM01709c	dimp	dimp
973	ditp_c	MAM01714c	ditp	ditp
974	dkmpp_c	MAM00572c	dkmpp	dkmpp
975	dmgly_c	MAM01708c	dmgly	dmgly
976	dmhptcoa_c	MAM00563c	dmhptcoa	CE4798
977	dmhptcrn_c	MAM00577c	dmhptcrn	dmhptcrn
978	dmnoncoa_c	MAM00933c	dmnoncoa	"['dmnoncoa', 'CE4805']"
979	dmnoncrn_c	MAM00950c	dmnoncrn	dmnoncrn
980	dnad_c	MAM01646c	dnad	dnad
981	dnadp_c
982	dnadp_e
983	dopa__D_c
984	dopa__L_c	MAM02354c	34dhphe	34dhphe
985	dopa__L_e	MAM02354e	34dhphe	34dhphe
986	dopaqn__L_c	MAM02356c	dopaqn	dopaqn
987	dopasqn__L_c
988	dpam__D_c
