	reactions	metatlas	bigg.reaction	vmhreaction
515	FACOA3OHDH_20_11Z3OH	MAR02309	RE3228C	RE3228C
516	FACOA3OHDH_20_13Z3OH	MAR02344	HMR_2344	HMR_2344
517	FACOA3OHDH_20_8Z11Z3OH	MAR02363	HMR_2363	HMR_2363
518	FACOA3OHDH_20_9Z3OH	MAR02349	HMR_2349	HMR_2349
519	FACOA3OHDH_22_11Z3OH	MAR02355	HMR_2355	HMR_2355
520	FACOA3OHDH_22_13Z3OH	MAR02319	RE3231C	RE3231C
521	FACOA3OHDH_24_15Z3OH	MAR02328	RE3235C	RE3235C
522	FACOA3OHDH_26_17Z3OH	MAR02336	HMR_2336	HMR_2336
523	CYTBFADSD5_20_8Z11Z14Z
524	CYTBFADSD5_20_8Z11Z14Z17Z
525	CYTBFADSD9_16_0	MAR02126	r0510	r0510
526	CYTBFADSD9_18_0	MAR02128	r0511	r0511
527	CYTBFADSD6_18_9Z
528	CYTBFADSD6_18_9Z12Z
529	CYTBFADSD6_18_9Z12Z15Z
530	CYTBFADSD6_20_11Z14Z
531	CYTBFADSD6_20_11Z14Z17Z
532	FACOA2ERy_16_2E
533	FACOA2ERy_18_2E	MAR02194		RE0583C
534	FACOA2ERy_20_2E	MAR02204	RE0568C	RE0568C
535	FACOA2ERy_22_2E	MAR02210	HMR_2210	HMR_2210
536	FACOA2ERy_24_2E	MAR02214		RE0576C
537	FACOA2ERy_26_2E	MAR02219	HMR_2219	HMR_2219
538	FACOA3ORy_16_3O
539	FACOA3ORy_18_3O	MAR02191	RE0581C	RE0581C
540	FACOA3ORy_20_3O	MAR02202	RE0566C	RE0566C
541	FACOA3ORy_22_3O	MAR02208	RE0570C	RE0570C
542	FACOA3ORy_24_3O	MAR02212	RE0574C	RE0574C
543	FACOA3ORy_26_3O	MAR02217	HMR_2217	HMR_2217
544	FACOA3OHDH_16_3OH
545	FACOA3OHDH_18_3OH	MAR02193	HMR_2193	HMR_2193
546	FACOA3OHDH_20_3OH	MAR02203	RE0567C	RE0567C
547	FACOA3OHDH_22_3OH	MAR02209	RE0571C	RE0571C
548	FACOA3OHDH_24_3OH	MAR02213	RE0575C	RE0575C
549	FACOA3OHDH_26_3OH	MAR02218	HMR_2218	HMR_2218
550	FACOA2ERy_17_2E
551	FACOA2ERy_19_2E	MAR02262	HMR_2262	HMR_2262
552	FACOA2ERy_21_2E	MAR02266	HMR_2266	HMR_2266
553	FACOA2ERy_23_2E	MAR02270	HMR_2270	HMR_2270
554	FACOA3ORy_17_3O
555	FACOA3ORy_19_3O	MAR02260	HMR_2260	HMR_2260
556	FACOA3ORy_21_3O	MAR02264	HMR_2264	HMR_2264
557	FACOA3ORy_23_3O	MAR02268	HMR_2268	HMR_2268
558	FACOA3OHDH_17_3OH
559	FACOA3OHDH_19_3OH	MAR02261	HMR_2261	HMR_2261
560	FACOA3OHDH_21_3OH	MAR02265	HMR_2265	HMR_2265
561	FACOA3OHDH_23_3OH	MAR02269	HMR_2269	HMR_2269
562	FAWOXx_10_10OH
563	FAWOXx_10_10OXO	MAR06376	FAOXOHMC10DC10c	FAOXOHMC10DC10c
564	FAWOXx_12_12OH
565	FAWOXx_12_12OXO
566	FAWOXx_14_14OH
567	FAWOXx_14_14OXO
568	FAWOXx_16_016OH
569	FAWOXx_16_016OXO	MAR06349	FAOXOHC16C16DCc	FAOXOHC16C16DCc
570	FAWOXx_20_5Z8Z11Z14Z20OH
571	FAWOXx_20_5Z8Z11Z14Z20OXO
572	FAWOXx_22_22OH
573	FAWOXx_22_22OXO	MAR06350	FAOXOHC22C22DCc	FAOXOHC22C22DCc
574	CRNAT_10_2E	MAR04462	C101CPT1	C101CPT1
575	CRNAT_10_2E6Z	MAR04475	C102CPT1	C102CPT1
576	CRNAT_10_3OH_S	MAR04504	C10OHc	C10OHc
577	CRNAT_10_DC	MAR04491	C10DCc	C10DCc
578	CRNAT_12_2E	MAR04508	C121CPT1	C121CPT1
579	CRNAT_12_3OH_S	MAR04522	C12OHc	C12OHc
580	CRNAT_12_DC	MAR05104	FAOXC12DCc	FAOXC12DCc
581	CRNAT_14_2E	MAR04569	C141CPT1	C141CPT1
582	CRNAT_14_3OH_S	MAR04610	C14OHc	C14OHc
583	CRNAT_14_5E8Z
584	CRNAT_14_5E8Z3OH_S	MAR04598	C142OHc	C142OHc
585	CRNAT_14_7Z3OH_S	MAR04571	C141OHc	C141OHc
586	CRNAT_16_2E	MAR00103	C161CPT12	C161CPT12
587	CRNAT_16_3OH_S	MAR04634	C16OHc	C16OHc
588	CRNAT_16_7E10Z3OH_S	MAR04620	C162OHc	C162OHc
589	CRNAT_16_9Z3OH_S	MAR04613	C161OHc	C161OHc
590	CRNAT_16_DC	MAR04624	C16DCc	C16DCc
591	CRNAT_18_2E	MAR00452	ELAIDCPT1	ELAIDCPT1
592	CRNAT_18_3OH_S	MAR04639	C18OHc	C18OHc
593	CRNAT_18_9Z12Z3OH_S	MAR04638	C182OHc	C182OHc
594	CRNAT_18_9Z3OH_S	MAR04636	C181OHc	C181OHc
595	CRNAT_6_2E
596	CRNAT_6_3OH_S
597	CRNAT_6_DC	MAR04745	C6DCc	C6DCc
598	CRNAT_7_3OH_S
599	CRNAT_7_DC
600	CRNAT_8_2E	MAR04749	C81CPT1	C81CPT1
601	CRNAT_8_3OH_S
602	CRNAT_8_DC	MAR04759	C8DCc	C8DCc
603	CRNAT_9_3OH_S
604	CRNAT_11_4M8M_c	MAR03521	DMNONCOACRNCPT1	DMNONCOACRNCPT1
605	CRNAT_3_2E
606	CRNAT_3_3OH_S
607	CRNAT_3_DC	MAR02599	FAOXC3DC	r0431
608	CRNAT_4_2E
609	CRNAT_4_2M
610	CRNAT_4_3OH_R	MAR04671	C4OHc	C4OHc
611	CRNAT_4_DC	MAR05456	FAOXC4C4DCc	FAOXC4C4DCc
612	CRNAT_5_2EDC
613	CRNAT_5_2M
614	CRNAT_5_2M2E	MAR04711	C51CPT1	C51CPT1
615	CRNAT_5_3M3OH__S	MAR06278	FAOXC5OHc	FAOXC5OHc
616	CRNAT_5_DC	MAR05991	FAOXC5C5DCc	FAOXC5C5DCc
617	CRNAT_9_2M6M_c	MAR08419	DMHPTCRNCPT1	DMHPTCRNCPT1
618	DHFRy	MAR07951	DHFR	DHEAStr
619	FTHFL	MAR08143	FTHFLi	FTHFCL
620	MTHFC	MAR04503	MTHFC	MTHFC
621	MTHFD	MAR04442	MTHFD	MTHFD
622	GHMT2	MAR03845	GHMT2r	GHMT2r
623	GHMT4
624	MPMOBDT
625	MPTAT	MAR07147		HMR_7147
626	MLTHFS	MAR03972	FldAct	FldAct
627	3DGDH
628	GMAND	MAR04399	GMAND	GMAND
629	MAN6PI	MAR04383	MAN6PI	MAN6PI
630	SBTD_D2	MAR04315	SBTD_D2	SBTD_D2
631	GFUCSx
632	GFUCSy
633	ADPMNDP	MAR08444	ADPMAN	ADPMAN
634	TRIOK	MAR00454	TRIOK	TRIOK
635	FRU3K	MAR04318		HMR_4318
636	F1PP
637	F6PP
638	FK	MAR04402	FK	FK
639	3DGRy
640	SBTRa
641	MAN1PT		MAN1PT
642	HEX4	MAR04490	HEX4	HEX4
643	HEX7	MAR04319	HEX7	HEX7
644	PMANM	MAR04385	PMANM	PMANM
645	F1PGT	MAR09153	F1PGT
648	UDPG4E	MAR04128	UDPG4E	UDPG4E
649	GALKa	MAR08191	GALKr	GALGT3
650	UGLT	MAR04132	UGLT	UGLT
651	GAL1PPa
652	GALT	MAR08205	GALT	GALSIDEtg
653	GALU	MAR03944	GALUi	GALU
654	GALM
655	GALORa
656	HMGTHDH	MAR03933	r1378	r1378
657	SFGTH	MAR03937	SFGTHi	SFGTH
658	GRDX2CGTHR
659	GRDX2CGTHRDG
660	GTHOx	MAR03868		r0021
661	GTHOy	MAR04118	GTHOr	GTHO
662	GTHS	MAR04326	GTHS	GTHS
663	DGSHAMID
664	DOPHAMID
665	GGLUCTC	MAR04708	r0568	r0568
666	GGCLUT2
667	GLUCYS	MAR04324	GLUCYS	GLUCYS
668	GTHGLXTA
669	GTHOXATA
670	GTHP	MAR04116	GTHPi	GTHP
671	AMPTASECG	MAR04328	AMPTASECG	AMPTASECG
672	HMGTHS
673	GLYALDD	MAR00456	GLYALDDr	r0392
674	ALKP	MAR00068	ALKP	ALKP
675	DAGOACK
676	DAGOK
677	MAGOK
678	PAPP	MAR00596	PPAP	PPAP
679	PAPPO
680	LPALPLB
681	DHAK
682	CDPCHOLPP
683	DAGOACAH
684	GAPP
685	G3PP
686	LPAAT
687	MAGL1
688	MAGL2
689	DAGK
690	ALCD19y	MAR00453	ALCD19y	r0245
691	DAGL1
692	DAGL2	MAR00604	DAGK_hs	DAGK_hs
693	TAGL		LPS
694	PAPLA2
695	CDPETHACPP
696	DGAT		DGAT
697	GPAT	MAR00493		r1185
698	ACHEe	MAR08421	ACHEe	ACHEe
699	PCETHTP
700	PCPLD
701	PETHCT	MAR00651	PETHCT	PETHCT
702	PIPLA2
703	CDS	MAR00121	CDS	CDS;HMR_0607
704	PENMT1
705	PENMT2
706	PENMT3
707	CDIPT	MAR08655	CDIPTr	CCA_D3tm
708	PSDC
709	GPDDA3
710	GPDDA5	MAR09537		HMR_9537
711	GPDDA1	MAR00635	GPDDA1	GPDDA1
712	LPIAT
713	CHLP	MAR08424	CHLP	CHLP
714	CHLPe
715	ETHP	MAR00649	ETHP	ETHP
716	ETHPe
717	LNAPELPLD
718	LPCLPLD
719	LPELPLD
720	PAFH	MAR08518	PAFH	PAFH
721	LPEAT
722	LPSAT
723	PAFS	MAR08521	PAFS	PAFS
724	LPCAT
725	LPELPLB
726	LPCLPLB		LPASE
727	LPSLPLB
728	LPILPLB
729	GPDDA6
730	GPDDA2	MAR00646		HMR_0646
731	PEPLA2
732	PSPLA2
733	PCPLA2		PLA2_2
734	CHLPCTD	MAR00638	CHLPCTD	CHLPCTD
735	BETALDDHx	MAR04697		r0552
736	PSP_L	MAR03843	PSP_L	PSP_L
737	THRA	MAR04284	THRA	HMR_4284
738	HPYRRx_R
739	HPYRRy_R
740	PSERT	MAR03841	PSERT	PSERT
741	2IMBUTDA
742	HPYRRx_S
743	SERPYRTA		SPTc
744	2ABUTENT
745	BHMT	MAR04699	BHMT	BHMT
746	CHOLD	MAR04696	CHOLD	HMR_4696
747	DMGDH2y	MAR04700	HMR_4700	HMR_4700
748	PGCD	MAR03839	PGCD	PGCD
749	SARCOX
750	ACYP	MAR04370	ACYP	ACYP
751	E14BPP
752	DPGase	MAR04372	DPGase	DPGase
753	E4PD
754	G6PM
755	PGI	MAR04381	PGI	PGI
756	G1PPa
757	4PERK
758	TPI	MAR04391	TPI	TPI
759	DPG3P
760	ADPGK	MAR07747		HMR_7747
761	ADPGKa
762	GLCM
763	ENO	MAR04363	ENO	ENO
764	FBA	MAR08946	FBA	FATP8t
765	GAPD	MAR08227	GAPD	GAO2
766	HEX1	MAR04394	HEX1	HEX1
767	HEX1a
768	LDH_L	MAR04388	LDH_L	LDH_L
769	PFK	MAR04379	PFK	PFK
770	PGK	MAR04368	PGK	PGK
771	PGMTa
772	PYK	MAR04358	PYK	PYK
773	DPGM	MAR04371	DPGM	DPGM
774	PGM	MAR04365	PGM	PGM
775	A4GALTc	MAR00801	A4GALTc	A4GALTc
776	ABO4A
777	ABO4B
778	HEXGA2	MAR00821	HMR_0821	HMR_0821
779	HEXGBSIDE	MAR00807	HMR_0807	HMR_0807
780	HEXGM2	MAR00828	HMR_0828	HMR_0828
781	ABO1A	MAR00867	HMR_0867	HMR_0867
782	ABO1B	MAR00868	HMR_0868	HMR_0868
783	ABO2A	MAR00884		HMR_0884
784	ABO2B	MAR00881		HMR_0881
785	ABO3A	MAR00887		HMR_0887
786	ABO3AB	MAR00905		HMR_0905
787	ABO5A	MAR00902		HMR_0902
788	ABO5B	MAR00901		HMR_0901
789	METHBCYTBR
790	CCLMETHBH
791	GLOBINRCCL
792	HB23DPGB
793	HBCOB
794	HBFE4OAR
795	HBFE4OCPP
796	HBFE4OPX
797	HBFE4ORPX
798	HBNO2R
799	HBNONT
800	HBNOOXDNT
801	HBO2B1
802	METHBFMNR
803	METHBHEMED
804	METHBNO2A
805	METHBONOOD1
806	METHBONOOD2
807	METHBONOOX
808	METHBPX
809	METHBRCCL
810	METHBRHEMED
811	OXYHBAOX
812	OXYHBNO2OX
813	OXYHBNOD
814	OXYHBONOOX
815	OXYHBPX
816	HISTANMT	MAR04429	SAMHISTA	SAMHISTA
817	MI1PP	MAR06540	MI1PP	MI1PP
818	MI3PP	MAR06571	MI3PP	MI3PP
819	MI4PP	MAR06562	MI4PP	MI4PP
820	PI345P5P	MAR06557	PI345P5P	PI345P5P
821	PI35P3P		PI35P3P
822	PI3K
823	PI34P5K	MAR06592	PI34P5K	PI34P5K
824	PI35P4K
825	PI3P4K	MAR08813	PI3P4K	PI3P4K
826	PI3P5K	MAR08815	PI3P5K	PI3P5K
827	PI4P5K	MAR06551	PI4P5K	PI4P5K
828	PI5K
829	MI13456P3PP
830	MI1456P6PP
831	5INS7P5PP	MAR07655	PMI12346PH	PMI12346PH
832	5PPINSP5P1K	MAR07652		HMR_7652
833	INS6P1K	MAR07656		HMR_7656
834	MI3PS		MI3PS
835	PI45P4P	MAR06553	PI45P4P	PI45P4P
836	MI14P4PP
837	MI14P1PP
838	MI1345P5PP	MAR06565	MI1345PP	MI1345PP
839	MI145P5PP	MAR06560	MI145PP	MI145PP
840	PI45P5P	MAR06552	PI45P5P	PI45P5P
841	PI3PP		PI3PP
842	PI4K	MAR06546	PIK4	PIK4
843	PI5P4KA	MAR06554	PI5P4K	PI5P4K
844	PI5P4KG
845	PI45PLC	MAR06559	PI45PLC	PI45PLC
846	PI4PLC	MAR08822	PI4PLC	PI4PLC
847	PIPLC	MAR00663	PIPLC	PIPLC;HMR_0663
848	MI1345P3PP		MITKP
849	PI4PP	MAR06547	PI4PP	PI4PP
850	MI145P3K	MAR06563	MI145PK	MI145PK
851	LTA4H	MAR01080	LTA4H	LTA4H
852	LTA5H
853	GTHLEUKTRA4
854	GTHLEUKTRA5	MAR01081	HMR_1081	HMR_1081
855	EPOME1213EPHX	MAR02465	RE3258C	RE3258C
856	EPOME910EPHX	MAR02459	RE3259C	RE3259C
857	HPODE13GTHR
858	HPODE9GTHR
859	LNLC1213MOXy	MAR02457	HMR_2457	HMR_2457
860	LNLC910MOXy	MAR02455	C14825c	C14825c
861	TMABADH	MAR06981	TMABADH	TMABADH
862	GHMT3	MAR06980	GHMT3	GHMT3
863	MALDHx
864	PPALDHx
865	MNDN2ERy
866	Q102ERz
867	6MERCPURSMT	MAR09504		HMR_9504
868	6THIOGSNSMT
869	Q102ERx	MAR01808	TRDR3	TRDR3
870	Q102ERy	MAR01801	TRDR2	TRDR2
871	NTD15
872	QMPNH
873	INSULINGTHOR	MAR09806		HMR_9806
874	4H2HXEAL2EDHx
875	4H2NNEAL2EDHx
876	BZALDHx
877	HPTALDHx
878	HPTEAL2EDHx
879	HXALDHx
880	HXEAL2EDHx
881	NONALDHx
882	NONEAL2EDHx
883	OCTALDHx
884	OCTEAL2EDHx
885	PEPTDPROI	MAR09492		HMR_9492
886	HCO3E	MAR03955	HCO3E	H2CO3D
887	HCO3Ee		HCO3Ee
888	NH4c
889	NH4e
890	A_MANASE	MAR00055	A_MANASE	A_MANASE
891	4PYRNK
892	NRHK
893	CADPRBPH
894	CADPRBPHe
895	CADPRIBH
896	CADPRIBHe
897	CADPRIBtec
898	DNADPL
899	DNADPLe
900	NADL
901	NADLe
902	NADN	MAR07143	NADN	NADN
903	NADNe	MAR07142	NADNe	NADNe
904	NADPL
905	NADPLe
906	NADPN	MAR07627	NADPN	NADPN
907	NADPNe	MAR08788	NADPNe	NADPNe
908	NMNN
909	NMNNe
910	PNP	MAR08791	PNP	PNP
911	PNP2	MAR04662	NP1	NP1
912	NMNS	MAR04262	NMNS	NMNS
913	4PYRNN
914	ADPRDACAC1
915	POLYADPRH
916	NADS2	MAR04260	NADS2	NADS2
917	NADHXD
918	NADPHXD
919	NAMNPP
920	NAPRT		NAPRT
921	NADHXE
922	NADPHXE
923	NADK	MAR04269	NADK	NADK
924	ADPRDACAC2
925	4PYRNMAT
926	NMNAT	MAR01542	NMNAT	NMNATr
927	NMNHAT
928	NNAT	MAR04257	NNATr	NNATr
929	NADPHPPS
930	FCYTOB5OXR	MAR03992	r0023	r0023
931	NICHYD	MAR04252	NT5C	NT5C
932	NMNHYD	MAR04264	NMNHYD	NTD5_a
933	NADHHR
934	NADHHS
935	NADN2
936	NADPHHR
937	NADPHHS
938	4PYRNDK
939	4PYRNMK
940	DADNK1
941	ADK3	MAR07800	ADK3	ADK3
942	ADK4
943	ADK5
944	ADK6
945	DADK3
946	DADK4
947	DADK5
948	DADK6
949	GP4AH1
952	23CN3PA
953	23CN3PC
954	23CN3PG
955	23CN3PU
956	DUMPK1
957	DUMPK2	MAR03968	URIDK2r	URIDK3
961	DAMPNH
962	DCMPNH
963	DGMPNH
964	DIMPNH
965	DTMPNH
966	DUMPNH
967	AP6AH2
968	ADPRDP	MAR07144	ADPRDP	ADPRDP
969	ADPRUDP
970	ATPR5PT
971	AP5AH1
972	AP6AH1
973	PPA2	MAR05363	PPA2	PPA2
974	ADPRPI
975	CMPINSPT
976	DTMPCYTDPT
977	DTMPURIPT
978	CYTK1	MAR08447	CYTK1	CYTDtn
979	CYTK13	MAR08454	CYTK13	CYTK13
980	CYTK2	MAR08458	CYTK2	CYTK1n
981	CYTK8	MAR08469	CYTK8	CYTK8
982	UMPK1	MAR04008	UMPK	UMPK
983	UMPK5	MAR07869	UMPK5	UMPK5
984	PPGPPDP
985	NDPK2	MAR04006	NDPK2	NDPK2
986	AP4AH1	MAR09570	AP4AH1	AP4AH1
987	2NTDA
988	2NTDC
989	2NTDG
990	2NTDU
991	PPA	MAR03977	PPA	PPA
992	P4AH
994	PPAe
995	FACOA2ERy_20_2E11Z14Z17Z	MAR02537	HMR_2537	HMR_2537
996	FACOA2ERy_20_2E5Z8Z11Z14Z	MAR02482	RE3106C	RE3106C
997	FACOA2ERy_22_2E10Z13Z16Z19Z	MAR02520	RE3169C	RE3169C
998	FACOA2ERy_22_2E13Z16Z19Z	MAR02543	HMR_2543	HMR_2543
999	FACOA2ERy_22_2E7Z10Z13Z16Z19Z	MAR02493	RE3119C	RE3119C
1000	FACOA2ERy_24_2E12Z15Z18Z21Z	MAR02528	RE3173C	RE3173C
1001	FACOA2ERy_24_2E9Z12Z15Z18Z21Z	MAR02503		RE3123C
1002	FACOA3ORy_20_11Z14Z17Z3O	MAR02533	HMR_2533	HMR_2533
1003	FACOA3ORy_20_5Z8Z11Z14Z3O	MAR02478	RE3112C	RE3112C
1004	FACOA3ORy_22_10Z13Z16Z19Z3O	MAR02516	RE3171C	RE3171C
1005	FACOA3ORy_22_13Z16Z19Z3O	MAR02541	HMR_2541	HMR_2541
1006	FACOA3ORy_22_7Z10Z13Z16Z19Z3O	MAR02489	RE3121C	RE3121C
1007	FACOA3ORy_24_12Z15Z18Z21Z3O	MAR02524	RE3175C	RE3175C
1008	FACOA3ORy_24_9Z12Z15Z18Z21Z3O	MAR02499		RE3125C
1009	FACOA3OHDH_20_11Z14Z17Z3OH	MAR02535	HMR_2535	HMR_2535
1010	FACOA3OHDH_20_5Z8Z11Z14Z3OH	MAR02480	RE3113C	RE3113C
1011	FACOA3OHDH_22_10Z13Z16Z19Z3OH	MAR02518	RE3172C	RE3172C
1012	FACOA3OHDH_22_13Z16Z19Z3OH	MAR02542	HMR_2542	HMR_2542
1013	FACOA3OHDH_22_7Z10Z13Z16Z19Z3OH	MAR02491	RE3122C	RE3122C
1014	FACOA3OHDH_24_12Z15Z18Z21Z3OH	MAR02526	RE3176C	RE3176C
1015	FACOA3OHDH_24_9Z12Z15Z18Z21Z3OH	MAR02501		RE3126C
1016	FACOA2ERy_20_2E11Z14Z	MAR02430	RE3164C	RE3164C
1017	FACOA2ERy_20_2E8Z11Z14Z	MAR02378	RE3104C	RE3104C
1018	FACOA2ERy_22_2E10Z13Z16Z	MAR02421	RE3168C	RE3168C
1019	FACOA2ERy_22_2E13Z16Z	MAR02436	HMR_2436	HMR_2436
1020	FACOA2ERy_22_2E7Z10Z13Z16Z	MAR02391	HMR_2391	HMR_2391
1021	FACOA2ERy_24_2E9Z12Z15Z18Z
1022	FACOA3ORy_20_11Z14Z3O	MAR02426	RE3162C	RE3162C
1023	FACOA3ORy_20_8Z11Z14Z3O	MAR02374	HMR_2374	HMR_2374
1024	FACOA3ORy_22_10Z13Z16Z3O	MAR02417	RE3166C	RE3166C
1025	FACOA3ORy_22_13Z16Z3O	MAR02434	HMR_2434	HMR_2434
1026	FACOA3ORy_22_7Z10Z13Z16Z3O	MAR02387	RE3152C	RE3152C
1027	FACOA3ORy_24_9Z12Z15Z18Z3O	MAR02397	RE3154C	RE3154C
1028	FACOA3OHDH_20_11Z14Z3OH
1029	FACOA3OHDH_20_8Z11Z14Z3OH	MAR02376	HMR_2376	HMR_2376
1030	FACOA3OHDH_22_10Z13Z16Z3OH	MAR02419	RE3167C	RE3167C
1031	FACOA3OHDH_22_13Z16Z3OH	MAR02428	RE3163C	RE3163C
1032	FACOA3OHDH_22_7Z10Z13Z16Z3OH	MAR02389	RE3153C	RE3153C
1033	FACOA3OHDH_24_9Z12Z15Z18Z3OH	MAR02399		RE3155C
1034	PAN4PP	MAR08792	PAN4PP	PAN4PP
1035	EMCD
1036	MMCD	MAR01521	MMCD	MMCD
1037	PPCDC	MAR04725	PPCDC	PPCDC
1038	AASDHPPT	MAR04500		r0368
1039	PPNCL3	MAR11416	PPNCL3	PPNCL3
1040	4PCYSK	MAR04730		r0679
1041	PNTOK	MAR04718	PNTK	PNTK
1042	PTTHK	MAR04714	APNPT	r0578
1043	DPCOAK	MAR03871	DPCOAK	DPCOAK
1044	PTPAT	MAR04727	PTPATi	PTPAT
1045	ACPPDE	MAR04498		r0366
1046	BTCOAC
1047	PPCOAC
1048	RBTDG_Dx	MAR04841	r0796	r0796
1049	XYLR_Dy	MAR04592	XYLR	HMR_4592
1050	ERTHSD_Dy
1051	RBTDG2_Dx
1052	THRTLD_Lx
1053	XYLTD_Dx	MAR04593	XYLTD_D	XYLTD_Dr;r0784
1054	XYLK	MAR04595	XYLK	XYLK
1055	GULND	MAR06537	GULND	RE0383C
1056	XYLUR_Ly	MAR04590	XYLUR	XYLUR
1057	E4PP
1058	R5PP
1059	ARABR_Ly	MAR08341	ARABR	ARABR
1060	DGULND	MAR08353	DGULND	DGULND
1061	GULN3D	MAR08352	GULN3D	GULN3D
1062	G6PDH2	MAR08971	G6PDH2r	G6PDH2c;G6PDH2r
1063	GND	MAR04474	GND	GND
1064	RPE	MAR04477	RPE	RPE
1065	TALA	MAR04565	TALA	TALA
1066	TKT1	MAR04501	TKT1	TKT1
1067	TKT2	MAR04404	TKT2	TKT2
1068	RPI	MAR04352	RPI	RPI
1069	SHPK	MAR09799		HMR_9799
1070	PGL	MAR04625	PGL	PGL
1071	DRPA	MAR08074	DRPA	DRBK
1072	PPM	MAR04354	PPM	PPM
1073	PPM2		PPM2
1074	RBK	MAR04350	RBK	RBK
1075	4PERP
1076	FBA2	MAR08947	FBA2	FATP9t
1077	FBA3	MAR04355	r0407	r0407
1078	FBA6
1079	PRPPS	MAR04052	PRPPS	PRPPS
1080	ACMAH
1081	LGFTPAP
1082	LGGTPAP
1083	LLLTPAP
1084	YYYTPAP
1085	RPPTPAP
1086	GFDPP
1087	GGDPP	MAR06898	GLYGLYCNc	GLYGLYCNc
1088	GLDPP
1089	GWDPP
1090	LADPP
1091	LGDPP
1092	LLDPP
1093	VLDPP
1094	APDPP
1095	FPDPP
1096	GPDPP	MAR11414	GLYPROPRO1c	GLYPROPRO1c
1097	LPDPP	MAR11092	LEUPROr	LEUPROr
1098	MPDPP
1099	PPDPP
1100	VPDPP
1101	FLDPP
1102	FYDPP
1103	KLDPP
1104	PFDPP
1105	PLDPP
1106	ACMDAC
1107	YYDPP
1108	34DHALDDx	MAR06760		34DHPLACOX
1109	34DHALDDy		34DHPLACOX_NADP
1110	3M4HDXPACx	MAR06766	3M4HDXPAC	3M4HDXPAC
1111	3M4HDXPACy		4HALDD
1112	ALDD19x	MAR04683	ALDD19xr	r0545
1113	ALDD19y	MAR04686	ALDD19x_P	r0547
1114	5HOXINDACTOX	MAR04559	5HOXINDACTOX	r0758
1115	34DHPHAMT	MAR06762	34DHPHAMT	34DHPHAMT
1116	LDOPAMT	MAR06730	RE2122C	RE2122C
1117	LDPAMMT	MAR06763	DOPAMT	DOPAMT
1118	SALMCOM	MAR06750	SALMCOM	SALMCOM
1119	SALMCOM2	MAR06746	SALMCOM2	SALMCOM2
1120	DOPACHRMDC_D
1121	FUMAC	MAR08875	FUMAC	FUCtly
1122	FUMAC2
1123	KYNAKGAT		KYNAKGAT
1124	VANILPYR	MAR11467	VANILPYRc	VANILPYRc
1125	MACACI	MAR06776	MACACI	MACACI
1126	34HPLDH	MAR06782	HMR_6782	HMR_6782
1127	PHLAC	MAR09936	PHLAC	PHLAC
1128	34HPPT	MAR06771		HMR_6771
1129	DCT	MAR06888	DCT	DCT
1130	PHPYRT	MAR06727		HMR_6727
1131	ADRNCHR2ERz
1132	ADRNLQ2ERz_L
1133	DOPAQ2ERz_L
1134	DPAMCHR2ERz
1135	DPAMQ2ERz_L
1136	DPCHR2ERz_L
1137	IND56Q2ERz
1138	NRPPHRCHR2ERz
1139	NRPPHRQ2ERz_L
1140	ADRNCHR1ERx
1141	ADRNLQ1ERx_L
1142	DOPAQ1ERx_L
1143	DPAMCHR1ERx
1144	DPAMQ1ERx_L
1145	DPCHR1ERx_L
1146	IND56Q1ERx
1147	NRPPHRCHR1ERx
1148	NRPPHRQ1ERx_L
1149	PHETA1	MAR06725	PHETA1	PHETA1
1150	TYRTA	MAR06768	TYRTA	TYRTA
1151	ADRNCHRGST	MAR06820		RE2522C
1152	ADRNLQGST_L
1153	DOPAQGST_L	MAR06883	RE1916C	RE1916C
1154	DPAMCHRGST	MAR12023	DACGST	DACGST
1155	DPAMQGST_L	MAR06811	RE2296C	RE2296C
1156	DPCHRGST_L	MAR06886		RE2524C
1157	IND56QNGST
1158	NRPPHRCHRGST	MAR06824		RE2523C
1159	NRPPHRQGST_L
1160	56DHIPX
1161	ADRNLPX_L
1162	DOPAPX_L
1163	DPAMPX_L
1164	LADRNCHRPX
1165	LDPAMCHRPX
1166	LDPCHRPX_L
1167	LNRPPHRCHRPX
1168	NRPPHRPX_L
1169	ADRNCHR2ERy
1170	ADRNLQ2ERy_L
1171	DOPAQ2ERy_L
1172	DPAMCHR2ERy
1173	DPAMQ2ERy_L
1174	DPCHR2ERy_L
1175	IND56Q2ERy
1176	NRPPHRCHR2ERy
1177	NRPPHRQ2ERy_L
1178	34HPPOR	MAR06772	34HPPOR	34HPPOR
1179	3MOXTYROX	MAR06764	3MOXTYROX	3MOXTYROX
1180	42A12BOOX	MAR06758	42A12BOOX	42A12BOOX
1181	HGNTOR	MAR06774	HGNTOR	HGNTOR
1182	PHETHPTOX2	MAR08539	PHETHPTOX2	PHETHPTOX2
1183	SUCACETAT	MAR11462	SUCACETATc	SUCACETATc
1184	SUCACETATALT	MAR11463	SUCACETATALTc	SUCACETATALTc
1185	SUCACETO	MAR11464	SUCACETOc	SUCACETOc
1186	TYR3MO2	MAR08537	TYR3MO2	TYR3MO2
1187	VANILLAC	MAR11468	VANILLACc	VANILLACc
1188	56DHIO2SX
1189	56DHISQDP
1190	ADRNCHRSQOX
1191	ADRNLO2SX_L
1192	ADRNLQC_L
1193	ADRNLSQDP_L
1194	ADRNLSQOX_L
1195	DOPAO2SX_L
