#TCID	Subfamily	Family	Fam_abbreviation	Superfamily
1.A.1.1.1	1.A.1.1	1.A.1	VIC	VIC Superfamily
1.A.1.10.1	1.A.1.10	1.A.1	VIC	VIC Superfamily
1.A.1.10.10	1.A.1.10	1.A.1	VIC	VIC Superfamily
1.A.1.10.11	1.A.1.10	1.A.1	VIC	VIC Superfamily
1.A.1.10.12	1.A.1.10	1.A.1	VIC	VIC Superfamily
1.A.1.10.13	1.A.1.10	1.A.1	VIC	VIC Superfamily
1.A.1.10.14	1.A.1.10	1.A.1	VIC	VIC Superfamily
1.A.1.10.15	1.A.1.10	1.A.1	VIC	VIC Superfamily
1.A.1.10.16	1.A.1.10	1.A.1	VIC	VIC Superfamily
1.A.1.10.17	1.A.1.10	1.A.1	VIC	VIC Superfamily
1.A.1.10.18	1.A.1.10	1.A.1	VIC	VIC Superfamily
1.A.1.10.19	1.A.1.10	1.A.1	VIC	VIC Superfamily
1.A.1.10.2	1.A.1.10	1.A.1	VIC	VIC Superfamily
1.A.1.10.20	1.A.1.10	1.A.1	VIC	VIC Superfamily
1.A.1.10.21	1.A.1.10	1.A.1	VIC	VIC Superfamily
1.A.1.10.22	1.A.1.10	1.A.1	VIC	VIC Superfamily
1.A.1.10.3	1.A.1.10	1.A.1	VIC	VIC Superfamily
1.A.1.10.4	1.A.1.10	1.A.1	VIC	VIC Superfamily
1.A.1.10.5	1.A.1.10	1.A.1	VIC	VIC Superfamily
1.A.1.10.6	1.A.1.10	1.A.1	VIC	VIC Superfamily
1.A.1.10.7	1.A.1.10	1.A.1	VIC	VIC Superfamily
1.A.1.10.8	1.A.1.10	1.A.1	VIC	VIC Superfamily
1.A.1.10.9	1.A.1.10	1.A.1	VIC	VIC Superfamily
1.A.1.11.1	1.A.1.11	1.A.1	VIC	VIC Superfamily
1.A.1.11.10	1.A.1.11	1.A.1	VIC	VIC Superfamily
1.A.1.11.11	1.A.1.11	1.A.1	VIC	VIC Superfamily
1.A.1.11.12	1.A.1.11	1.A.1	VIC	VIC Superfamily
1.A.1.11.13	1.A.1.11	1.A.1	VIC	VIC Superfamily
1.A.1.11.14	1.A.1.11	1.A.1	VIC	VIC Superfamily
1.A.1.11.15	1.A.1.11	1.A.1	VIC	VIC Superfamily
1.A.1.11.16	1.A.1.11	1.A.1	VIC	VIC Superfamily
1.A.1.11.17	1.A.1.11	1.A.1	VIC	VIC Superfamily
1.A.1.11.18	1.A.1.11	1.A.1	VIC	VIC Superfamily
1.A.1.11.19	1.A.1.11	1.A.1	VIC	VIC Superfamily
1.A.1.11.2	1.A.1.11	1.A.1	VIC	VIC Superfamily
1.A.1.11.20	1.A.1.11	1.A.1	VIC	VIC Superfamily
1.A.1.11.21	1.A.1.11	1.A.1	VIC	VIC Superfamily
1.A.1.11.22	1.A.1.11	1.A.1	VIC	VIC Superfamily
1.A.1.11.23	1.A.1.11	1.A.1	VIC	VIC Superfamily
1.A.1.11.24	1.A.1.11	1.A.1	VIC	VIC Superfamily
1.A.1.11.25	1.A.1.11	1.A.1	VIC	VIC Superfamily
1.A.1.11.26	1.A.1.11	1.A.1	VIC	VIC Superfamily
1.A.1.11.27	1.A.1.11	1.A.1	VIC	VIC Superfamily
1.A.1.11.28	1.A.1.11	1.A.1	VIC	VIC Superfamily
1.A.1.11.29	1.A.1.11	1.A.1	VIC	VIC Superfamily
1.A.1.11.3	1.A.1.11	1.A.1	VIC	VIC Superfamily
1.A.1.11.30	1.A.1.11	1.A.1	VIC	VIC Superfamily
1.A.1.11.31	1.A.1.11	1.A.1	VIC	VIC Superfamily
1.A.1.11.32	1.A.1.11	1.A.1	VIC	VIC Superfamily
1.A.1.11.33	1.A.1.11	1.A.1	VIC	VIC Superfamily
1.A.1.11.34	1.A.1.11	1.A.1	VIC	VIC Superfamily
1.A.1.11.35	1.A.1.11	1.A.1	VIC	VIC Superfamily
1.A.1.11.36	1.A.1.11	1.A.1	VIC	VIC Superfamily
1.A.1.11.4	1.A.1.11	1.A.1	VIC	VIC Superfamily
1.A.1.11.5	1.A.1.11	1.A.1	VIC	VIC Superfamily
1.A.1.11.6	1.A.1.11	1.A.1	VIC	VIC Superfamily
1.A.1.11.7	1.A.1.11	1.A.1	VIC	VIC Superfamily
1.A.1.11.8	1.A.1.11	1.A.1	VIC	VIC Superfamily
1.A.1.11.9	1.A.1.11	1.A.1	VIC	VIC Superfamily
1.A.1.12.1	1.A.1.12	1.A.1	VIC	VIC Superfamily
1.A.1.12.2	1.A.1.12	1.A.1	VIC	VIC Superfamily
1.A.1.12.3	1.A.1.12	1.A.1	VIC	VIC Superfamily
1.A.1.12.4	1.A.1.12	1.A.1	VIC	VIC Superfamily
1.A.1.12.5	1.A.1.12	1.A.1	VIC	VIC Superfamily
1.A.1.12.6	1.A.1.12	1.A.1	VIC	VIC Superfamily
1.A.1.13.1	1.A.1.13	1.A.1	VIC	VIC Superfamily
1.A.1.13.10	1.A.1.13	1.A.1	VIC	VIC Superfamily
1.A.1.13.2	1.A.1.13	1.A.1	VIC	VIC Superfamily
1.A.1.13.3	1.A.1.13	1.A.1	VIC	VIC Superfamily
1.A.1.13.4	1.A.1.13	1.A.1	VIC	VIC Superfamily
1.A.1.13.5	1.A.1.13	1.A.1	VIC	VIC Superfamily
1.A.1.13.6	1.A.1.13	1.A.1	VIC	VIC Superfamily
1.A.1.13.7	1.A.1.13	1.A.1	VIC	VIC Superfamily
1.A.1.13.8	1.A.1.13	1.A.1	VIC	VIC Superfamily
1.A.1.13.9	1.A.1.13	1.A.1	VIC	VIC Superfamily
1.A.1.14.1	1.A.1.14	1.A.1	VIC	VIC Superfamily
1.A.1.14.2	1.A.1.14	1.A.1	VIC	VIC Superfamily
1.A.1.14.3	1.A.1.14	1.A.1	VIC	VIC Superfamily
1.A.1.14.4	1.A.1.14	1.A.1	VIC	VIC Superfamily
1.A.1.14.5	1.A.1.14	1.A.1	VIC	VIC Superfamily
1.A.1.14.6	1.A.1.14	1.A.1	VIC	VIC Superfamily
1.A.1.14.7	1.A.1.14	1.A.1	VIC	VIC Superfamily
1.A.1.14.8	1.A.1.14	1.A.1	VIC	VIC Superfamily
1.A.1.14.9	1.A.1.14	1.A.1	VIC	VIC Superfamily
1.A.1.15.1	1.A.1.15	1.A.1	VIC	VIC Superfamily
1.A.1.15.2	1.A.1.15	1.A.1	VIC	VIC Superfamily
1.A.1.15.3	1.A.1.15	1.A.1	VIC	VIC Superfamily
1.A.1.15.4	1.A.1.15	1.A.1	VIC	VIC Superfamily
1.A.1.15.5	1.A.1.15	1.A.1	VIC	VIC Superfamily
1.A.1.15.6	1.A.1.15	1.A.1	VIC	VIC Superfamily
1.A.1.15.7	1.A.1.15	1.A.1	VIC	VIC Superfamily
1.A.1.15.8	1.A.1.15	1.A.1	VIC	VIC Superfamily
1.A.1.16.1	1.A.1.16	1.A.1	VIC	VIC Superfamily
1.A.1.16.2	1.A.1.16	1.A.1	VIC	VIC Superfamily
1.A.1.16.3	1.A.1.16	1.A.1	VIC	VIC Superfamily
1.A.1.16.4	1.A.1.16	1.A.1	VIC	VIC Superfamily
1.A.1.16.5	1.A.1.16	1.A.1	VIC	VIC Superfamily
1.A.1.16.6	1.A.1.16	1.A.1	VIC	VIC Superfamily
1.A.1.16.7	1.A.1.16	1.A.1	VIC	VIC Superfamily
1.A.1.16.8	1.A.1.16	1.A.1	VIC	VIC Superfamily
1.A.1.17.1	1.A.1.17	1.A.1	VIC	VIC Superfamily
1.A.1.17.2	1.A.1.17	1.A.1	VIC	VIC Superfamily
1.A.1.18.1	1.A.1.18	1.A.1	VIC	VIC Superfamily
1.A.1.18.2	1.A.1.18	1.A.1	VIC	VIC Superfamily
1.A.1.19.1	1.A.1.19	1.A.1	VIC	VIC Superfamily
1.A.1.19.2	1.A.1.19	1.A.1	VIC	VIC Superfamily
1.A.1.19.3	1.A.1.19	1.A.1	VIC	VIC Superfamily
1.A.1.2.1	1.A.1.2	1.A.1	VIC	VIC Superfamily
1.A.1.2.10	1.A.1.2	1.A.1	VIC	VIC Superfamily
1.A.1.2.11	1.A.1.2	1.A.1	VIC	VIC Superfamily
1.A.1.2.12	1.A.1.2	1.A.1	VIC	VIC Superfamily
1.A.1.2.13	1.A.1.2	1.A.1	VIC	VIC Superfamily
1.A.1.2.14	1.A.1.2	1.A.1	VIC	VIC Superfamily
1.A.1.2.15	1.A.1.2	1.A.1	VIC	VIC Superfamily
1.A.1.2.16	1.A.1.2	1.A.1	VIC	VIC Superfamily
1.A.1.2.17	1.A.1.2	1.A.1	VIC	VIC Superfamily
1.A.1.2.18	1.A.1.2	1.A.1	VIC	VIC Superfamily
1.A.1.2.19	1.A.1.2	1.A.1	VIC	VIC Superfamily
1.A.1.2.2	1.A.1.2	1.A.1	VIC	VIC Superfamily
1.A.1.2.20	1.A.1.2	1.A.1	VIC	VIC Superfamily
1.A.1.2.21	1.A.1.2	1.A.1	VIC	VIC Superfamily
1.A.1.2.22	1.A.1.2	1.A.1	VIC	VIC Superfamily
1.A.1.2.23	1.A.1.2	1.A.1	VIC	VIC Superfamily
1.A.1.2.24	1.A.1.2	1.A.1	VIC	VIC Superfamily
1.A.1.2.25	1.A.1.2	1.A.1	VIC	VIC Superfamily
1.A.1.2.26	1.A.1.2	1.A.1	VIC	VIC Superfamily
1.A.1.2.27	1.A.1.2	1.A.1	VIC	VIC Superfamily
1.A.1.2.28	1.A.1.2	1.A.1	VIC	VIC Superfamily
1.A.1.2.29	1.A.1.2	1.A.1	VIC	VIC Superfamily
1.A.1.2.3	1.A.1.2	1.A.1	VIC	VIC Superfamily
1.A.1.2.30	1.A.1.2	1.A.1	VIC	VIC Superfamily
1.A.1.2.31	1.A.1.2	1.A.1	VIC	VIC Superfamily
1.A.1.2.4	1.A.1.2	1.A.1	VIC	VIC Superfamily
1.A.1.2.5	1.A.1.2	1.A.1	VIC	VIC Superfamily
1.A.1.2.6	1.A.1.2	1.A.1	VIC	VIC Superfamily
1.A.1.2.7	1.A.1.2	1.A.1	VIC	VIC Superfamily
1.A.1.2.8	1.A.1.2	1.A.1	VIC	VIC Superfamily
1.A.1.2.9	1.A.1.2	1.A.1	VIC	VIC Superfamily
1.A.1.20.1	1.A.1.20	1.A.1	VIC	VIC Superfamily
1.A.1.20.10	1.A.1.20	1.A.1	VIC	VIC Superfamily
1.A.1.20.2	1.A.1.20	1.A.1	VIC	VIC Superfamily
1.A.1.20.3	1.A.1.20	1.A.1	VIC	VIC Superfamily
1.A.1.20.4	1.A.1.20	1.A.1	VIC	VIC Superfamily
1.A.1.20.5	1.A.1.20	1.A.1	VIC	VIC Superfamily
1.A.1.20.6	1.A.1.20	1.A.1	VIC	VIC Superfamily
1.A.1.20.7	1.A.1.20	1.A.1	VIC	VIC Superfamily
1.A.1.20.9	1.A.1.20	1.A.1	VIC	VIC Superfamily
1.A.1.21.1	1.A.1.21	1.A.1	VIC	VIC Superfamily
1.A.1.21.2	1.A.1.21	1.A.1	VIC	VIC Superfamily
1.A.1.21.3	1.A.1.21	1.A.1	VIC	VIC Superfamily
1.A.1.22.1	1.A.1.22	1.A.1	VIC	VIC Superfamily
1.A.1.23.1	1.A.1.23	1.A.1	VIC	VIC Superfamily
1.A.1.23.2	1.A.1.23	1.A.1	VIC	VIC Superfamily
1.A.1.23.3	1.A.1.23	1.A.1	VIC	VIC Superfamily
1.A.1.23.4	1.A.1.23	1.A.1	VIC	VIC Superfamily
1.A.1.24.1	1.A.1.24	1.A.1	VIC	VIC Superfamily
1.A.1.24.2	1.A.1.24	1.A.1	VIC	VIC Superfamily
1.A.1.24.3	1.A.1.24	1.A.1	VIC	VIC Superfamily
1.A.1.24.4	1.A.1.24	1.A.1	VIC	VIC Superfamily
1.A.1.24.5	1.A.1.24	1.A.1	VIC	VIC Superfamily
1.A.1.24.6	1.A.1.24	1.A.1	VIC	VIC Superfamily
1.A.1.25.1	1.A.1.25	1.A.1	VIC	VIC Superfamily
1.A.1.26.1	1.A.1.26	1.A.1	VIC	VIC Superfamily
1.A.1.26.2	1.A.1.26	1.A.1	VIC	VIC Superfamily
1.A.1.26.3	1.A.1.26	1.A.1	VIC	VIC Superfamily
1.A.1.27.1	1.A.1.27	1.A.1	VIC	VIC Superfamily
1.A.1.27.2	1.A.1.27	1.A.1	VIC	VIC Superfamily
1.A.1.27.3	1.A.1.27	1.A.1	VIC	VIC Superfamily
1.A.1.27.4	1.A.1.27	1.A.1	VIC	VIC Superfamily
1.A.1.28.1	1.A.1.28	1.A.1	VIC	VIC Superfamily
1.A.1.28.2	1.A.1.28	1.A.1	VIC	VIC Superfamily
1.A.1.28.3	1.A.1.28	1.A.1	VIC	VIC Superfamily
1.A.1.28.4	1.A.1.28	1.A.1	VIC	VIC Superfamily
1.A.1.28.5	1.A.1.28	1.A.1	VIC	VIC Superfamily
1.A.1.28.6	1.A.1.28	1.A.1	VIC	VIC Superfamily
1.A.1.28.7	1.A.1.28	1.A.1	VIC	VIC Superfamily
1.A.1.28.8	1.A.1.28	1.A.1	VIC	VIC Superfamily
1.A.1.29.1	1.A.1.29	1.A.1	VIC	VIC Superfamily
1.A.1.29.2	1.A.1.29	1.A.1	VIC	VIC Superfamily
1.A.1.29.3	1.A.1.29	1.A.1	VIC	VIC Superfamily
1.A.1.29.4	1.A.1.29	1.A.1	VIC	VIC Superfamily
1.A.1.29.5	1.A.1.29	1.A.1	VIC	VIC Superfamily
1.A.1.29.6	1.A.1.29	1.A.1	VIC	VIC Superfamily
1.A.1.29.7	1.A.1.29	1.A.1	VIC	VIC Superfamily
1.A.1.3.1	1.A.1.3	1.A.1	VIC	VIC Superfamily
1.A.1.3.10	1.A.1.3	1.A.1	VIC	VIC Superfamily
1.A.1.3.2	1.A.1.3	1.A.1	VIC	VIC Superfamily
1.A.1.3.3	1.A.1.3	1.A.1	VIC	VIC Superfamily
1.A.1.3.4	1.A.1.3	1.A.1	VIC	VIC Superfamily
1.A.1.3.5	1.A.1.3	1.A.1	VIC	VIC Superfamily
1.A.1.3.6	1.A.1.3	1.A.1	VIC	VIC Superfamily
1.A.1.3.7	1.A.1.3	1.A.1	VIC	VIC Superfamily
1.A.1.3.8	1.A.1.3	1.A.1	VIC	VIC Superfamily
1.A.1.3.9	1.A.1.3	1.A.1	VIC	VIC Superfamily
1.A.1.30.1	1.A.1.30	1.A.1	VIC	VIC Superfamily
1.A.1.4.1	1.A.1.4	1.A.1	VIC	VIC Superfamily
1.A.1.4.10	1.A.1.4	1.A.1	VIC	VIC Superfamily
1.A.1.4.11	1.A.1.4	1.A.1	VIC	VIC Superfamily
1.A.1.4.12	1.A.1.4	1.A.1	VIC	VIC Superfamily
1.A.1.4.13	1.A.1.4	1.A.1	VIC	VIC Superfamily
1.A.1.4.2	1.A.1.4	1.A.1	VIC	VIC Superfamily
1.A.1.4.3	1.A.1.4	1.A.1	VIC	VIC Superfamily
1.A.1.4.4	1.A.1.4	1.A.1	VIC	VIC Superfamily
1.A.1.4.5	1.A.1.4	1.A.1	VIC	VIC Superfamily
1.A.1.4.6	1.A.1.4	1.A.1	VIC	VIC Superfamily
1.A.1.4.7	1.A.1.4	1.A.1	VIC	VIC Superfamily
1.A.1.4.8	1.A.1.4	1.A.1	VIC	VIC Superfamily
1.A.1.4.9	1.A.1.4	1.A.1	VIC	VIC Superfamily
1.A.1.5.1	1.A.1.5	1.A.1	VIC	VIC Superfamily
1.A.1.5.10	1.A.1.5	1.A.1	VIC	VIC Superfamily
1.A.1.5.11	1.A.1.5	1.A.1	VIC	VIC Superfamily
1.A.1.5.12	1.A.1.5	1.A.1	VIC	VIC Superfamily
1.A.1.5.13	1.A.1.5	1.A.1	VIC	VIC Superfamily
1.A.1.5.14	1.A.1.5	1.A.1	VIC	VIC Superfamily
1.A.1.5.15	1.A.1.5	1.A.1	VIC	VIC Superfamily
1.A.1.5.16	1.A.1.5	1.A.1	VIC	VIC Superfamily
1.A.1.5.17	1.A.1.5	1.A.1	VIC	VIC Superfamily
1.A.1.5.18	1.A.1.5	1.A.1	VIC	VIC Superfamily
1.A.1.5.19	1.A.1.5	1.A.1	VIC	VIC Superfamily
1.A.1.5.2	1.A.1.5	1.A.1	VIC	VIC Superfamily
1.A.1.5.20	1.A.1.5	1.A.1	VIC	VIC Superfamily
1.A.1.5.21	1.A.1.5	1.A.1	VIC	VIC Superfamily
1.A.1.5.22	1.A.1.5	1.A.1	VIC	VIC Superfamily
1.A.1.5.23	1.A.1.5	1.A.1	VIC	VIC Superfamily
1.A.1.5.24	1.A.1.5	1.A.1	VIC	VIC Superfamily
1.A.1.5.26	1.A.1.5	1.A.1	VIC	VIC Superfamily
1.A.1.5.27	1.A.1.5	1.A.1	VIC	VIC Superfamily
1.A.1.5.28	1.A.1.5	1.A.1	VIC	VIC Superfamily
1.A.1.5.29	1.A.1.5	1.A.1	VIC	VIC Superfamily
1.A.1.5.3	1.A.1.5	1.A.1	VIC	VIC Superfamily
1.A.1.5.30	1.A.1.5	1.A.1	VIC	VIC Superfamily
1.A.1.5.31	1.A.1.5	1.A.1	VIC	VIC Superfamily
1.A.1.5.32	1.A.1.5	1.A.1	VIC	VIC Superfamily
1.A.1.5.33	1.A.1.5	1.A.1	VIC	VIC Superfamily
1.A.1.5.34	1.A.1.5	1.A.1	VIC	VIC Superfamily
1.A.1.5.35	1.A.1.5	1.A.1	VIC	VIC Superfamily
1.A.1.5.36	1.A.1.5	1.A.1	VIC	VIC Superfamily
1.A.1.5.37	1.A.1.5	1.A.1	VIC	VIC Superfamily
1.A.1.5.4	1.A.1.5	1.A.1	VIC	VIC Superfamily
1.A.1.5.5	1.A.1.5	1.A.1	VIC	VIC Superfamily
1.A.1.5.6	1.A.1.5	1.A.1	VIC	VIC Superfamily
1.A.1.5.7	1.A.1.5	1.A.1	VIC	VIC Superfamily
1.A.1.5.8	1.A.1.5	1.A.1	VIC	VIC Superfamily
1.A.1.5.9	1.A.1.5	1.A.1	VIC	VIC Superfamily
1.A.1.6.1	1.A.1.6	1.A.1	VIC	VIC Superfamily
1.A.1.7.1	1.A.1.7	1.A.1	VIC	VIC Superfamily
1.A.1.7.10	1.A.1.7	1.A.1	VIC	VIC Superfamily
1.A.1.7.2	1.A.1.7	1.A.1	VIC	VIC Superfamily
1.A.1.7.3	1.A.1.7	1.A.1	VIC	VIC Superfamily
1.A.1.7.4	1.A.1.7	1.A.1	VIC	VIC Superfamily
1.A.1.7.5	1.A.1.7	1.A.1	VIC	VIC Superfamily
1.A.1.7.6	1.A.1.7	1.A.1	VIC	VIC Superfamily
1.A.1.7.7	1.A.1.7	1.A.1	VIC	VIC Superfamily
1.A.1.7.8	1.A.1.7	1.A.1	VIC	VIC Superfamily
1.A.1.7.9	1.A.1.7	1.A.1	VIC	VIC Superfamily
1.A.1.8.1	1.A.1.8	1.A.1	VIC	VIC Superfamily
1.A.1.8.2	1.A.1.8	1.A.1	VIC	VIC Superfamily
1.A.1.8.3	1.A.1.8	1.A.1	VIC	VIC Superfamily
1.A.1.9.1	1.A.1.9	1.A.1	VIC	VIC Superfamily
1.A.1.9.10	1.A.1.9	1.A.1	VIC	VIC Superfamily
1.A.1.9.11	1.A.1.9	1.A.1	VIC	VIC Superfamily
1.A.1.9.12	1.A.1.9	1.A.1	VIC	VIC Superfamily
1.A.1.9.13	1.A.1.9	1.A.1	VIC	VIC Superfamily
1.A.1.9.14	1.A.1.9	1.A.1	VIC	VIC Superfamily
1.A.1.9.2	1.A.1.9	1.A.1	VIC	VIC Superfamily
1.A.1.9.3	1.A.1.9	1.A.1	VIC	VIC Superfamily
1.A.1.9.4	1.A.1.9	1.A.1	VIC	VIC Superfamily
1.A.1.9.5	1.A.1.9	1.A.1	VIC	VIC Superfamily
1.A.1.9.6	1.A.1.9	1.A.1	VIC	VIC Superfamily
1.A.1.9.7	1.A.1.9	1.A.1	VIC	VIC Superfamily
1.A.1.9.8	1.A.1.9	1.A.1	VIC	VIC Superfamily
1.A.1.9.9	1.A.1.9	1.A.1	VIC	VIC Superfamily
1.A.10.1.1	1.A.10.1	1.A.10	GIC	VIC Superfamily
1.A.10.1.10	1.A.10.1	1.A.10	GIC	VIC Superfamily
1.A.10.1.11	1.A.10.1	1.A.10	GIC	VIC Superfamily
1.A.10.1.12	1.A.10.1	1.A.10	GIC	VIC Superfamily
1.A.10.1.13	1.A.10.1	1.A.10	GIC	VIC Superfamily
1.A.10.1.14	1.A.10.1	1.A.10	GIC	VIC Superfamily
1.A.10.1.15	1.A.10.1	1.A.10	GIC	VIC Superfamily
1.A.10.1.16	1.A.10.1	1.A.10	GIC	VIC Superfamily
1.A.10.1.17	1.A.10.1	1.A.10	GIC	VIC Superfamily
1.A.10.1.18	1.A.10.1	1.A.10	GIC	VIC Superfamily
1.A.10.1.19	1.A.10.1	1.A.10	GIC	VIC Superfamily
1.A.10.1.2	1.A.10.1	1.A.10	GIC	VIC Superfamily
1.A.10.1.20	1.A.10.1	1.A.10	GIC	VIC Superfamily
1.A.10.1.21	1.A.10.1	1.A.10	GIC	VIC Superfamily
1.A.10.1.22	1.A.10.1	1.A.10	GIC	VIC Superfamily
1.A.10.1.23	1.A.10.1	1.A.10	GIC	VIC Superfamily
1.A.10.1.24	1.A.10.1	1.A.10	GIC	VIC Superfamily
1.A.10.1.25	1.A.10.1	1.A.10	GIC	VIC Superfamily
1.A.10.1.26	1.A.10.1	1.A.10	GIC	VIC Superfamily
1.A.10.1.27	1.A.10.1	1.A.10	GIC	VIC Superfamily
1.A.10.1.28	1.A.10.1	1.A.10	GIC	VIC Superfamily
1.A.10.1.29	1.A.10.1	1.A.10	GIC	VIC Superfamily
1.A.10.1.3	1.A.10.1	1.A.10	GIC	VIC Superfamily
1.A.10.1.30	1.A.10.1	1.A.10	GIC	VIC Superfamily
1.A.10.1.31	1.A.10.1	1.A.10	GIC	VIC Superfamily
1.A.10.1.33	1.A.10.1	1.A.10	GIC	VIC Superfamily
1.A.10.1.34	1.A.10.1	1.A.10	GIC	VIC Superfamily
1.A.10.1.4	1.A.10.1	1.A.10	GIC	VIC Superfamily
1.A.10.1.5	1.A.10.1	1.A.10	GIC	VIC Superfamily
1.A.10.1.6	1.A.10.1	1.A.10	GIC	VIC Superfamily
1.A.10.1.7	1.A.10.1	1.A.10	GIC	VIC Superfamily
1.A.10.1.8	1.A.10.1	1.A.10	GIC	VIC Superfamily
1.A.10.1.9	1.A.10.1	1.A.10	GIC	VIC Superfamily
1.A.10.2.1	1.A.10.2	1.A.10	GIC	VIC Superfamily
1.A.10.2.2	1.A.10.2	1.A.10	GIC	VIC Superfamily
1.A.10.2.3	1.A.10.2	1.A.10	GIC	VIC Superfamily
1.A.10.2.4	1.A.10.2	1.A.10	GIC	VIC Superfamily
1.A.10.2.5	1.A.10.2	1.A.10	GIC	VIC Superfamily
1.A.10.3.1	1.A.10.3	1.A.10	GIC	VIC Superfamily
1.A.10.3.2	1.A.10.3	1.A.10	GIC	VIC Superfamily
1.A.100.1.1	1.A.100.1	1.A.100	RV-U5	Phospholemman/SIMP/Viroporin (PSV) Superfamily
1.A.100.1.2	1.A.100.1	1.A.100	RV-U5	Phospholemman/SIMP/Viroporin (PSV) Superfamily
1.A.100.1.3	1.A.100.1	1.A.100	RV-U5	Phospholemman/SIMP/Viroporin (PSV) Superfamily
1.A.100.1.4	1.A.100.1	1.A.100	RV-U5	Phospholemman/SIMP/Viroporin (PSV) Superfamily
1.A.100.1.5	1.A.100.1	1.A.100	RV-U5	Phospholemman/SIMP/Viroporin (PSV) Superfamily
1.A.101.1.1	1.A.101.1	1.A.101	Pex11	Peroxisomal Peroxin/Unnexin (Pex/Unx) Superfamily
1.A.101.1.2	1.A.101.1	1.A.101	Pex11	Peroxisomal Peroxin/Unnexin (Pex/Unx) Superfamily
1.A.101.1.3	1.A.101.1	1.A.101	Pex11	Peroxisomal Peroxin/Unnexin (Pex/Unx) Superfamily
1.A.101.1.4	1.A.101.1	1.A.101	Pex11	Peroxisomal Peroxin/Unnexin (Pex/Unx) Superfamily
1.A.101.1.5	1.A.101.1	1.A.101	Pex11	Peroxisomal Peroxin/Unnexin (Pex/Unx) Superfamily
1.A.101.1.6	1.A.101.1	1.A.101	Pex11	Peroxisomal Peroxin/Unnexin (Pex/Unx) Superfamily
1.A.101.1.7	1.A.101.1	1.A.101	Pex11	Peroxisomal Peroxin/Unnexin (Pex/Unx) Superfamily
1.A.101.2.1	1.A.101.2	1.A.101	Pex11	Peroxisomal Peroxin/Unnexin (Pex/Unx) Superfamily
1.A.101.2.2	1.A.101.2	1.A.101	Pex11	Peroxisomal Peroxin/Unnexin (Pex/Unx) Superfamily
1.A.101.2.3	1.A.101.2	1.A.101	Pex11	Peroxisomal Peroxin/Unnexin (Pex/Unx) Superfamily
1.A.101.2.4	1.A.101.2	1.A.101	Pex11	Peroxisomal Peroxin/Unnexin (Pex/Unx) Superfamily
1.A.101.2.5	1.A.101.2	1.A.101	Pex11	Peroxisomal Peroxin/Unnexin (Pex/Unx) Superfamily
1.A.101.3.1	1.A.101.3	1.A.101	Pex11	Peroxisomal Peroxin/Unnexin (Pex/Unx) Superfamily
1.A.101.3.2	1.A.101.3	1.A.101	Pex11	Peroxisomal Peroxin/Unnexin (Pex/Unx) Superfamily
1.A.101.3.3	1.A.101.3	1.A.101	Pex11	Peroxisomal Peroxin/Unnexin (Pex/Unx) Superfamily
1.A.101.3.4	1.A.101.3	1.A.101	Pex11	Peroxisomal Peroxin/Unnexin (Pex/Unx) Superfamily
1.A.101.4.1	1.A.101.4	1.A.101	Pex11	Peroxisomal Peroxin/Unnexin (Pex/Unx) Superfamily
1.A.101.4.2	1.A.101.4	1.A.101	Pex11	Peroxisomal Peroxin/Unnexin (Pex/Unx) Superfamily
1.A.101.4.3	1.A.101.4	1.A.101	Pex11	Peroxisomal Peroxin/Unnexin (Pex/Unx) Superfamily
1.A.101.5.1	1.A.101.5	1.A.101	Pex11	Peroxisomal Peroxin/Unnexin (Pex/Unx) Superfamily
1.A.101.5.2	1.A.101.5	1.A.101	Pex11	Peroxisomal Peroxin/Unnexin (Pex/Unx) Superfamily
1.A.101.5.3	1.A.101.5	1.A.101	Pex11	Peroxisomal Peroxin/Unnexin (Pex/Unx) Superfamily
1.A.101.6.1	1.A.101.6	1.A.101	Pex11	Peroxisomal Peroxin/Unnexin (Pex/Unx) Superfamily
1.A.101.6.2	1.A.101.6	1.A.101	Pex11	Peroxisomal Peroxin/Unnexin (Pex/Unx) Superfamily
1.A.101.6.3	1.A.101.6	1.A.101	Pex11	Peroxisomal Peroxin/Unnexin (Pex/Unx) Superfamily
1.A.101.6.4	1.A.101.6	1.A.101	Pex11	Peroxisomal Peroxin/Unnexin (Pex/Unx) Superfamily
1.A.101.7.1	1.A.101.7	1.A.101	Pex11	Peroxisomal Peroxin/Unnexin (Pex/Unx) Superfamily
1.A.101.7.2	1.A.101.7	1.A.101	Pex11	Peroxisomal Peroxin/Unnexin (Pex/Unx) Superfamily
1.A.101.7.3	1.A.101.7	1.A.101	Pex11	Peroxisomal Peroxin/Unnexin (Pex/Unx) Superfamily
1.A.101.8.1	1.A.101.8	1.A.101	Pex11	Peroxisomal Peroxin/Unnexin (Pex/Unx) Superfamily
1.A.101.8.2	1.A.101.8	1.A.101	Pex11	Peroxisomal Peroxin/Unnexin (Pex/Unx) Superfamily
1.A.101.8.3	1.A.101.8	1.A.101	Pex11	Peroxisomal Peroxin/Unnexin (Pex/Unx) Superfamily
1.A.105.1.1	1.A.105.1	1.A.105	MLKL	Ankyrin Repeat Domain-containing (Ank) Superfamily
1.A.105.1.2	1.A.105.1	1.A.105	MLKL	Ankyrin Repeat Domain-containing (Ank) Superfamily
