enzyme	enzyme_keff	reactions	direction
enzyme_LEUALANaEx_fwd	234000.0	LEUALANaEx	ala__L_c + leu__L_e + na1_e --> ala__L_e + leu__L_c + na1_c
enzyme_LEUALANaEx_rev	234000.0	LEUALANaEx	ala__L_c + leu__L_e + na1_e <-- ala__L_e + leu__L_c + na1_c
enzyme_LEUARGNaEx_fwd	234000.0	LEUARGNaEx	arg__L_c + leu__L_e + na1_e --> arg__L_e + leu__L_c + na1_c
enzyme_LEUARGNaEx_rev	234000.0	LEUARGNaEx	arg__L_c + leu__L_e + na1_e <-- arg__L_e + leu__L_c + na1_c
enzyme_LEUCITRNaEx_fwd	234000.0	LEUCITRNaEx	citr__L_c + leu__L_e + na1_e --> citr__L_e + leu__L_c + na1_c
enzyme_LEUCITRNaEx_rev	234000.0	LEUCITRNaEx	citr__L_c + leu__L_e + na1_e <-- citr__L_e + leu__L_c + na1_c
enzyme_LEUKTRB4ABCte_fwd	234000.0	LEUKTRB4ABCte	atp_c + h2o_c + leuktrB4_c --> adp_c + h_c + leuktrB4_e + pi_c
enzyme_LEUKTRB4ABCte_rev	234000.0	LEUKTRB4ABCte	atp_c + h2o_c + leuktrB4_c <-- adp_c + h_c + leuktrB4_e + pi_c
enzyme_LEUKTRB5ABCte_fwd	234000.0	LEUKTRB5ABCte	atp_c + h2o_c + leuktrB5_c --> adp_c + h_c + leuktrB5_e + pi_c
enzyme_LEUKTRB5ABCte_rev	234000.0	LEUKTRB5ABCte	atp_c + h2o_c + leuktrB5_c <-- adp_c + h_c + leuktrB5_e + pi_c
enzyme_LEUKTRC4ABCte_fwd	234000.0	LEUKTRC4ABCte	atp_c + h2o_c + leuktrC4_c --> adp_c + h_c + leuktrC4_e + pi_c
enzyme_LEUKTRC4ABCte_rev	234000.0	LEUKTRC4ABCte	atp_c + h2o_c + leuktrC4_c <-- adp_c + h_c + leuktrC4_e + pi_c
enzyme_LEUKTRC5ABCte_fwd	234000.0	LEUKTRC5ABCte	atp_c + h2o_c + leuktrC5_c --> adp_c + h_c + leuktrC5_e + pi_c
enzyme_LEUKTRC5ABCte_rev	234000.0	LEUKTRC5ABCte	atp_c + h2o_c + leuktrC5_c <-- adp_c + h_c + leuktrC5_e + pi_c
enzyme_LEULDOPAex_fwd	234000.0	LEULDOPAex	dopa__L_e + leu__L_c --> dopa__L_c + leu__L_e
enzyme_LEULDOPAex_rev	234000.0	LEULDOPAex	dopa__L_e + leu__L_c <-- dopa__L_c + leu__L_e
enzyme_LEULYSNaEx_fwd	234000.0	LEULYSNaEx	leu__L_e + lys__L_c + na1_e --> leu__L_c + lys__L_e + na1_c
enzyme_LEULYSNaEx_rev	234000.0	LEULYSNaEx	leu__L_e + lys__L_c + na1_e <-- leu__L_c + lys__L_e + na1_c
enzyme_LEUMETex_fwd	234000.0	LEUMETex	leu__L_c + met__L_e --> leu__L_e + met__L_c
enzyme_LEUMETex_rev	234000.0	LEUMETex	leu__L_c + met__L_e <-- leu__L_e + met__L_c
enzyme_LEUMMARGNaEx_fwd	234000.0	LEUMMARGNaEx	leu__L_e + mmarg__L_c + na1_e --> leu__L_c + mmarg__L_e + na1_c
enzyme_LEUMMARGNaEx_rev	234000.0	LEUMMARGNaEx	leu__L_e + mmarg__L_c + na1_e <-- leu__L_c + mmarg__L_e + na1_c
enzyme_LEUORNNaEx_fwd	234000.0	LEUORNNaEx	leu__L_e + na1_e + orn__L_c --> leu__L_c + na1_c + orn__L_e
enzyme_LEUORNNaEx_rev	234000.0	LEUORNNaEx	leu__L_e + na1_e + orn__L_c <-- leu__L_c + na1_c + orn__L_e
