enzyme	complex	complex_keff	compartment	reactions	direction
enzyme_NRPPHRCHR1ERx_rev	cplx_COMPLEX_CYB5R3_B5A	0	pc	NRPPHRCHR1ERx	h_c + nadh_c + 2.0 nrpphrchrm_c <-- nad_c + 2.0 nrpphrchrmsqn_c
enzyme_NRPPHRCHR1ERx_rev	cplx_COMPLEX_CYB5R3_B5B	0	pc	NRPPHRCHR1ERx	h_c + nadh_c + 2.0 nrpphrchrm_c <-- nad_c + 2.0 nrpphrchrmsqn_c
enzyme_NRPPHRCHR1ERx_rev	cplx_MONOMER_CYB5R3	0	pc	NRPPHRCHR1ERx	h_c + nadh_c + 2.0 nrpphrchrm_c <-- nad_c + 2.0 nrpphrchrmsqn_c
enzyme_NRPPHRCHR2ERy_fwd	cplx_MONOMER_CBR1	87707.24022931617	pc	NRPPHRCHR2ERy	h_c + nadph_c + nrpphrchrm_c --> leunrpphrchrm_c + nadp_c
enzyme_NRPPHRCHR2ERy_fwd	cplx_MONOMER_CBR3	88719.30620050283	pc	NRPPHRCHR2ERy	h_c + nadph_c + nrpphrchrm_c --> leunrpphrchrm_c + nadp_c
enzyme_NRPPHRCHR2ERy_rev	cplx_MONOMER_CBR1	0	pc	NRPPHRCHR2ERy	h_c + nadph_c + nrpphrchrm_c <-- leunrpphrchrm_c + nadp_c
enzyme_NRPPHRCHR2ERy_rev	cplx_MONOMER_CBR3	0	pc	NRPPHRCHR2ERy	h_c + nadph_c + nrpphrchrm_c <-- leunrpphrchrm_c + nadp_c
enzyme_NRPPHRCHR2ERz_fwd	cplx_HOMODIMER_NQO2	130932.19587268801	pc	NRPPHRCHR2ERz	h_c + nrpphrchrm_c + rnamh_c --> leunrpphrchrm_c + rnam_c
enzyme_NRPPHRCHR2ERz_rev	cplx_HOMODIMER_NQO2	0	pc	NRPPHRCHR2ERz	h_c + nrpphrchrm_c + rnamh_c <-- leunrpphrchrm_c + rnam_c
enzyme_NRPPHRCHRGST_fwd	cplx_HOMODIMER_GSTM1	130155.68408445724	pc	NRPPHRCHRGST	gthrd_c + nrpphrchrm_c --> 5sgthleunrpphrchrm_c
enzyme_NRPPHRCHRGST_fwd	cplx_HOMODIMER_GSTM2	130280.32409636454	pc	NRPPHRCHRGST	gthrd_c + nrpphrchrm_c --> 5sgthleunrpphrchrm_c
enzyme_NRPPHRCHRGST_fwd	cplx_HOMODIMER_GSTM3	133350.1586761585	pc	NRPPHRCHRGST	gthrd_c + nrpphrchrm_c --> 5sgthleunrpphrchrm_c
enzyme_NRPPHRCHRGST_fwd	cplx_HOMODIMER_GSTM4	129572.49194990216	pc	NRPPHRCHRGST	gthrd_c + nrpphrchrm_c --> 5sgthleunrpphrchrm_c
enzyme_NRPPHRCHRGST_fwd	cplx_HOMODIMER_GSTM5	130022.51919128819	pc	NRPPHRCHRGST	gthrd_c + nrpphrchrm_c --> 5sgthleunrpphrchrm_c
