	genes	ec-code	uniprot	class	class.description	subclass	subclass.description	subsubclass	subsubclass.description	ec-code.description	alternate	catalytic activity	comments
0	A4GALT	2.4.1.228	Q9NPC4	2.-.-.-	Transferases	2.4.-.-	Glycosyltransferases	2.4.1.-	Hexosyltransferases	lactosylceramide 4-alpha-galactosyltransferase	Galbeta1-4Glcbeta1-Cer alpha1,4-galactosyltransferase;globotriaosylceramide/CD77 synthase;histo-blood group P(k) UDP-galactose	a beta-D-Gal-(1->4)-beta-D-Glc-(1<->1)-Cer(d18:1(4E)) + UDP-alpha-D-;galactose = a globoside Gb3Cer (d18:1(4E)) + H(+) + UDP	
1	AARS1	6.1.1.7	P49588	6.-.-.-	Ligases	6.1.-.-	Forming carbon-oxygen bonds	6.1.1.-	Ligases forming aminoacyl-tRNA and related compounds	alanine--tRNA ligase	alanine translase;alanyl-tRNA synthetase	ATP + L-alanine + tRNA(Ala) = AMP + diphosphate + L-alanyl-tRNA(Ala)	
2	AASDHPPT	2.7.8.7	Q9NRN7	2.-.-.-	Transferases	2.7.-.-	Transferring phosphorus-containing groups	2.7.8.-	Transferases for other substituted phosphate groups	holo-[acyl-carrier-protein] synthase	4'-phosphopantetheinyl transferase;ACPS;acyl carrier protein holoprotein (holo-ACP) synthetase;acyl carrier protein synthase;acyl carrier protein synthetase;alphaaminoadipic semialdehyde dehydrogenase-phosphopantetheinyl;transferase;holo-ACP synthase;holo-ACP synthetase;holosynthase;L-aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl;transferase;P-pant transferase;PPTase	apo-[ACP] + CoA = adenosine 3',5'-bisphosphate + H(+) + holo-[ACP]	-!- All polyketide synthases, fatty-acid synthases and non-ribosomal;    peptide synthases require post-translational modification of their;    constituent acyl-carrier-protein (ACP) domains to become;    catalytically active;-!- The inactive apo-proteins are converted into their active holo-forms;    by transfer of the 4'-phosphopantetheinyl moiety of CoA to the;    sidechain hydroxy group of a conserved serine residue in each ACP;    domain;-!- The enzyme from human can activate both the ACP domain of the human;    cytosolic multifunctional fatty acid synthase system (EC 2.3.1.85);    and that associated with human mitochondria as well as peptidyl-;    carrier and acyl-carrier-proteins from prokaryotes;-!- Removal of the 4-phosphopantetheinyl moiety from holo-ACP is carried;    out by EC 3.1.4.14
3	ABCA1	7.6.2.1	O95477	7.-.-.-	Translocases	7.6.-.-	Catalysing the translocation of other compounds	7.6.2.-	Linked to the hydrolysis of a nucleoside triphosphate	P-type phospholipid transporter	flippase;phospholipid-transporting ATPase	ATP + H2O + phospholipidSide 1 = ADP + phosphate + phospholipidSide 2	-!- A P-type ATPase that undergoes covalent phosphorylation during the;    transport cycle;-!- Different forms of the enzyme move phospholipids such as;    phosphatidylcholine, lyso-phosphatidylcholine, phosphatidylserine,;    phosphatidylethanolamine, phosphatidyglycerol, sphingomyelin and;    glucosylceramide from one membrane face to the other ('flippase');-!- Formerly EC 3.6.3.1
4	ABCA7	7.6.2.1	Q8IZY2	7.-.-.-	Translocases	7.6.-.-	Catalysing the translocation of other compounds	7.6.2.-	Linked to the hydrolysis of a nucleoside triphosphate	P-type phospholipid transporter	flippase;phospholipid-transporting ATPase	ATP + H2O + phospholipidSide 1 = ADP + phosphate + phospholipidSide 2	-!- A P-type ATPase that undergoes covalent phosphorylation during the;    transport cycle;-!- Different forms of the enzyme move phospholipids such as;    phosphatidylcholine, lyso-phosphatidylcholine, phosphatidylserine,;    phosphatidylethanolamine, phosphatidyglycerol, sphingomyelin and;    glucosylceramide from one membrane face to the other ('flippase');-!- Formerly EC 3.6.3.1
5	ABCB1	7.6.2.1	P08183	7.-.-.-	Translocases	7.6.-.-	Catalysing the translocation of other compounds	7.6.2.-	Linked to the hydrolysis of a nucleoside triphosphate	P-type phospholipid transporter	flippase;phospholipid-transporting ATPase	ATP + H2O + phospholipidSide 1 = ADP + phosphate + phospholipidSide 2	-!- A P-type ATPase that undergoes covalent phosphorylation during the;    transport cycle;-!- Different forms of the enzyme move phospholipids such as;    phosphatidylcholine, lyso-phosphatidylcholine, phosphatidylserine,;    phosphatidylethanolamine, phosphatidyglycerol, sphingomyelin and;    glucosylceramide from one membrane face to the other ('flippase');-!- Formerly EC 3.6.3.1
6	ABCB1	7.6.2.2	P08183	7.-.-.-	Translocases	7.6.-.-	Catalysing the translocation of other compounds	7.6.2.-	Linked to the hydrolysis of a nucleoside triphosphate	ABC-type xenobiotic transporter	ATP phosphohydrolase (steroid-exporting);MDR protein;multidrug-resistance protein;PDR protein;P-glycoprotein;pleiotropic-drug-resistance protein;steroid-transporting ATPase;xenobiotic-transporting ATPase	ATP + H2O + xenobioticSide 1 = ADP + phosphate + xenobioticSide 2	-!- An ATP-binding cassette (ABC) type transporter, characterized by the;    presence of two similar ATP-binding domains/proteins and two integral;    membrane domains/proteins;-!- Does not undergo phosphorylation during the transport process;-!- The enzymes from Gram-positive bacteria and eukaryotic cells export a;    number of drugs with unusual specificity, covering various groups of;    unrelated substances while ignoring some that are closely related;    structurally;-!- Several distinct enzymes may be present in a single eukaryotic cell;-!- Many of them also transport glutathione--drug conjugates (see;    EC 7.6.2.3) while others also show some 'flippase' activity (cf;    EC 7.6.2.1);-!- Formerly EC 3.6.3.44
7	ABCB4	7.6.2.1	P21439	7.-.-.-	Translocases	7.6.-.-	Catalysing the translocation of other compounds	7.6.2.-	Linked to the hydrolysis of a nucleoside triphosphate	P-type phospholipid transporter	flippase;phospholipid-transporting ATPase	ATP + H2O + phospholipidSide 1 = ADP + phosphate + phospholipidSide 2	-!- A P-type ATPase that undergoes covalent phosphorylation during the;    transport cycle;-!- Different forms of the enzyme move phospholipids such as;    phosphatidylcholine, lyso-phosphatidylcholine, phosphatidylserine,;    phosphatidylethanolamine, phosphatidyglycerol, sphingomyelin and;    glucosylceramide from one membrane face to the other ('flippase');-!- Formerly EC 3.6.3.1
8	ABCB6	7.6.2.5	Q9NP58	7.-.-.-	Translocases	7.6.-.-	Catalysing the translocation of other compounds	7.6.2.-	Linked to the hydrolysis of a nucleoside triphosphate	ABC-type heme transporter	heme-transporting ATPase	ATP + H2O + heme b(in) = ADP + H(+) + heme b(out) + phosphate	-!- An ATP-binding cassette (ABC) type transporter, characterized by the;    presence of two similar ATP-binding domains/proteins and two integral;    membrane domains/proteins;-!- Does not undergo phosphorylation during the transport process;-!- The enzyme has been described from Gram-negative bacteria and green;    plants;-!- Formerly EC 3.6.3.41
9	ABCC1	7.6.2.2	P33527	7.-.-.-	Translocases	7.6.-.-	Catalysing the translocation of other compounds	7.6.2.-	Linked to the hydrolysis of a nucleoside triphosphate	ABC-type xenobiotic transporter	ATP phosphohydrolase (steroid-exporting);MDR protein;multidrug-resistance protein;PDR protein;P-glycoprotein;pleiotropic-drug-resistance protein;steroid-transporting ATPase;xenobiotic-transporting ATPase	ATP + H2O + xenobioticSide 1 = ADP + phosphate + xenobioticSide 2	-!- An ATP-binding cassette (ABC) type transporter, characterized by the;    presence of two similar ATP-binding domains/proteins and two integral;    membrane domains/proteins;-!- Does not undergo phosphorylation during the transport process;-!- The enzymes from Gram-positive bacteria and eukaryotic cells export a;    number of drugs with unusual specificity, covering various groups of;    unrelated substances while ignoring some that are closely related;    structurally;-!- Several distinct enzymes may be present in a single eukaryotic cell;-!- Many of them also transport glutathione--drug conjugates (see;    EC 7.6.2.3) while others also show some 'flippase' activity (cf;    EC 7.6.2.1);-!- Formerly EC 3.6.3.44
10	ABCC1	7.6.2.3	P33527	7.-.-.-	Translocases	7.6.-.-	Catalysing the translocation of other compounds	7.6.2.-	Linked to the hydrolysis of a nucleoside triphosphate	ABC-type glutathione-S-conjugate transporter	glutathione-S-conjugate-translocating ATPase;multidrug resistance-associated protein 1;YBT1 (gene name);YCF1 (gene name)	an S-substituted glutathione(in) + ATP + H2O = ADP + an S-substituted;glutathione(out) + H(+) + phosphate	-!- A eukaryotic ATP-binding cassette (ABC) type transporter that;    mediates the transport of glutathione-S-conjugates;-!- The mammalian enzyme, which also transports some glucuronides,;    exports the substrates out of the cell, while plant and fungal;    transporters export them into the vacuole;-!- Over-expression confers resistance to anticancer drugs by their;    efficient exportation in glutathione-S-conjugate form
11	ABCC10	7.6.2.2	Q5T3U5	7.-.-.-	Translocases	7.6.-.-	Catalysing the translocation of other compounds	7.6.2.-	Linked to the hydrolysis of a nucleoside triphosphate	ABC-type xenobiotic transporter	ATP phosphohydrolase (steroid-exporting);MDR protein;multidrug-resistance protein;PDR protein;P-glycoprotein;pleiotropic-drug-resistance protein;steroid-transporting ATPase;xenobiotic-transporting ATPase	ATP + H2O + xenobioticSide 1 = ADP + phosphate + xenobioticSide 2	-!- An ATP-binding cassette (ABC) type transporter, characterized by the;    presence of two similar ATP-binding domains/proteins and two integral;    membrane domains/proteins;-!- Does not undergo phosphorylation during the transport process;-!- The enzymes from Gram-positive bacteria and eukaryotic cells export a;    number of drugs with unusual specificity, covering various groups of;    unrelated substances while ignoring some that are closely related;    structurally;-!- Several distinct enzymes may be present in a single eukaryotic cell;-!- Many of them also transport glutathione--drug conjugates (see;    EC 7.6.2.3) while others also show some 'flippase' activity (cf;    EC 7.6.2.1);-!- Formerly EC 3.6.3.44
12	ABCC10	7.6.2.3	Q5T3U5	7.-.-.-	Translocases	7.6.-.-	Catalysing the translocation of other compounds	7.6.2.-	Linked to the hydrolysis of a nucleoside triphosphate	ABC-type glutathione-S-conjugate transporter	glutathione-S-conjugate-translocating ATPase;multidrug resistance-associated protein 1;YBT1 (gene name);YCF1 (gene name)	an S-substituted glutathione(in) + ATP + H2O = ADP + an S-substituted;glutathione(out) + H(+) + phosphate	-!- A eukaryotic ATP-binding cassette (ABC) type transporter that;    mediates the transport of glutathione-S-conjugates;-!- The mammalian enzyme, which also transports some glucuronides,;    exports the substrates out of the cell, while plant and fungal;    transporters export them into the vacuole;-!- Over-expression confers resistance to anticancer drugs by their;    efficient exportation in glutathione-S-conjugate form
13	ABCC4	7.6.2.2	O15439	7.-.-.-	Translocases	7.6.-.-	Catalysing the translocation of other compounds	7.6.2.-	Linked to the hydrolysis of a nucleoside triphosphate	ABC-type xenobiotic transporter	ATP phosphohydrolase (steroid-exporting);MDR protein;multidrug-resistance protein;PDR protein;P-glycoprotein;pleiotropic-drug-resistance protein;steroid-transporting ATPase;xenobiotic-transporting ATPase	ATP + H2O + xenobioticSide 1 = ADP + phosphate + xenobioticSide 2	-!- An ATP-binding cassette (ABC) type transporter, characterized by the;    presence of two similar ATP-binding domains/proteins and two integral;    membrane domains/proteins;-!- Does not undergo phosphorylation during the transport process;-!- The enzymes from Gram-positive bacteria and eukaryotic cells export a;    number of drugs with unusual specificity, covering various groups of;    unrelated substances while ignoring some that are closely related;    structurally;-!- Several distinct enzymes may be present in a single eukaryotic cell;-!- Many of them also transport glutathione--drug conjugates (see;    EC 7.6.2.3) while others also show some 'flippase' activity (cf;    EC 7.6.2.1);-!- Formerly EC 3.6.3.44
14	ABCC4	7.6.2.3	O15439	7.-.-.-	Translocases	7.6.-.-	Catalysing the translocation of other compounds	7.6.2.-	Linked to the hydrolysis of a nucleoside triphosphate	ABC-type glutathione-S-conjugate transporter	glutathione-S-conjugate-translocating ATPase;multidrug resistance-associated protein 1;YBT1 (gene name);YCF1 (gene name)	an S-substituted glutathione(in) + ATP + H2O = ADP + an S-substituted;glutathione(out) + H(+) + phosphate	-!- A eukaryotic ATP-binding cassette (ABC) type transporter that;    mediates the transport of glutathione-S-conjugates;-!- The mammalian enzyme, which also transports some glucuronides,;    exports the substrates out of the cell, while plant and fungal;    transporters export them into the vacuole;-!- Over-expression confers resistance to anticancer drugs by their;    efficient exportation in glutathione-S-conjugate form
15	ABCC5	7.6.2.2	O15440	7.-.-.-	Translocases	7.6.-.-	Catalysing the translocation of other compounds	7.6.2.-	Linked to the hydrolysis of a nucleoside triphosphate	ABC-type xenobiotic transporter	ATP phosphohydrolase (steroid-exporting);MDR protein;multidrug-resistance protein;PDR protein;P-glycoprotein;pleiotropic-drug-resistance protein;steroid-transporting ATPase;xenobiotic-transporting ATPase	ATP + H2O + xenobioticSide 1 = ADP + phosphate + xenobioticSide 2	-!- An ATP-binding cassette (ABC) type transporter, characterized by the;    presence of two similar ATP-binding domains/proteins and two integral;    membrane domains/proteins;-!- Does not undergo phosphorylation during the transport process;-!- The enzymes from Gram-positive bacteria and eukaryotic cells export a;    number of drugs with unusual specificity, covering various groups of;    unrelated substances while ignoring some that are closely related;    structurally;-!- Several distinct enzymes may be present in a single eukaryotic cell;-!- Many of them also transport glutathione--drug conjugates (see;    EC 7.6.2.3) while others also show some 'flippase' activity (cf;    EC 7.6.2.1);-!- Formerly EC 3.6.3.44
16	ABCG2	7.6.2.2	Q9UNQ0	7.-.-.-	Translocases	7.6.-.-	Catalysing the translocation of other compounds	7.6.2.-	Linked to the hydrolysis of a nucleoside triphosphate	ABC-type xenobiotic transporter	ATP phosphohydrolase (steroid-exporting);MDR protein;multidrug-resistance protein;PDR protein;P-glycoprotein;pleiotropic-drug-resistance protein;steroid-transporting ATPase;xenobiotic-transporting ATPase	ATP + H2O + xenobioticSide 1 = ADP + phosphate + xenobioticSide 2	-!- An ATP-binding cassette (ABC) type transporter, characterized by the;    presence of two similar ATP-binding domains/proteins and two integral;    membrane domains/proteins;-!- Does not undergo phosphorylation during the transport process;-!- The enzymes from Gram-positive bacteria and eukaryotic cells export a;    number of drugs with unusual specificity, covering various groups of;    unrelated substances while ignoring some that are closely related;    structurally;-!- Several distinct enzymes may be present in a single eukaryotic cell;-!- Many of them also transport glutathione--drug conjugates (see;    EC 7.6.2.3) while others also show some 'flippase' activity (cf;    EC 7.6.2.1);-!- Formerly EC 3.6.3.44
17	ABHD16A	3.1.1.23	O95870	3.-.-.-	Hydrolases	3.1.-.-	Acting on ester bonds	3.1.1.-	Carboxylic ester hydrolases	acylglycerol lipase	monoacylglycerol lipase	Hydrolyzes glycerol monoesters of long-chain fatty acids	
18	ABHD17B	3.1.2.22	Q5VST6	3.-.-.-	Hydrolases	3.1.-.-	Acting on ester bonds	3.1.2.-	Thiolester hydrolases	palmitoyl-protein hydrolase	palmitoyl-protein thioesterase	H2O + S-hexadecanoyl-L-cysteinyl-[protein] = H(+) + hexadecanoate +;L-cysteinyl-[protein]	-!- Specific for long-chain thioesters of fatty acids;-!- Hydrolyzes fatty acids from S-acylated cysteine residues in proteins,;    palmitoyl cysteine and palmitoyl-CoA
19	ABO	2.4.1.37	P16442	2.-.-.-	Transferases	2.4.-.-	Glycosyltransferases	2.4.1.-	Hexosyltransferases	fucosylgalactoside 3-alpha-galactosyltransferase	[blood group substance] alpha-galactosyltransferase;blood-group substance alpha-dependent galactosyltransferase;blood-group substance B-dependent galactosyltransferase;B transferase;fucosylglycoprotein 3-alpha-galactosyltransferase;glycoprotein-fucosylgalactoside alpha-galactosyltransferase;histo-blood group B transferase;histo-blood substance alpha-dependent galactosyltransferase;UDPgalactose:glycoprotein-alpha-L-fucosyl-(1,2)-D-galactose 3-alpha-D-;galactosyltransferase;UDPgalactose:O-alpha-L-fucosyl(1->2)D-galactose alpha-D-;galactosyltransferase	an alpha-L-fucosyl-(1->2)-beta-D-galactosyl derivative + UDP-alpha-D-;galactose = an alpha-D-galactosyl-(1->3)-[alpha-L-fucosyl-(1->2)]-beta-D-;galactosyl derivative + H(+) + UDP	-!- Acts on blood group substance, and can use a number of 2-fucosyl-;    galactosides as acceptors
20	ABO	2.4.1.40	P16442	2.-.-.-	Transferases	2.4.-.-	Glycosyltransferases	2.4.1.-	Hexosyltransferases	glycoprotein-fucosylgalactoside alpha-N-acetylgalactosaminyltransferase	A transferase;fucosylgalactose alpha-N-acetylgalactosaminyltransferase;fucosylglycoprotein alpha-N-acetylgalactosaminyltransferase;histo-blood group A acetylgalactosaminyltransferase;histo-blood group A transferase	an alpha-L-fucosyl-(1->2)-beta-D-galactosyl derivative + UDP-N-acetyl-;alpha-D-galactosamine = an N-acetyl-alpha-D-galactosaminyl-(1->3)-[alpha-;L-fucosyl-(1->2)]-beta-D-galactosyl derivative + H(+) + UDP	-!- Acts on blood group substance H;-!- Can use a number of 2-fucosyl-galactosides as acceptors
21	ACAT2	2.3.1.9	Q9BWD1	2.-.-.-	Transferases	2.3.-.-	Acyltransferases	2.3.1.-	Transferring groups other than amino-acyl groups	acetyl-CoA C-acetyltransferase	acetoacetyl-CoA thiolase	2 acetyl-CoA = acetoacetyl-CoA + CoA	-!- The enzyme, found in both eukaryotes and prokaryotes, catalyzes the;    Claisen condensation of an acetyl-CoA and an acyl-CoA (often another;    acetyl-CoA), leading to the formation of an acyl-CoA that is longer;    by two carbon atoms;-!- The reaction starts with the acylation of a nucleophilic cysteine at;    the active site, usually by acetyl-CoA but potentially by a different;    acyl-CoA, with concomitant release of CoA;-!- In the second step the acyl group is transferred to an acetyl-CoA;    molecule. cf. EC 2.3.1.16
22	ACER2	3.5.1.23	Q5QJU3	3.-.-.-	Hydrolases	3.5.-.-	Acting on carbon-nitrogen bonds, other than peptide bonds	3.5.1.-	In linear amides	ceramidase	acylsphingosine deacylase	an N-acylsphing-4-enine + H2O = a fatty acid + sphing-4-enine	
23	ACHE	3.1.1.7	P22303	3.-.-.-	Hydrolases	3.1.-.-	Acting on ester bonds	3.1.1.-	Carboxylic ester hydrolases	acetylcholinesterase	choline esterase I;cholinesterase;true cholinesterase	acetylcholine + H2O = acetate + choline + H(+)	-!- Acts on a variety of acetic esters;-!- Also catalyzes transacetylations
24	ACLY	2.3.3.8	P53396	2.-.-.-	Transferases	2.3.-.-	Acyltransferases	2.3.3.-	Acyl groups converted into alkyl groups on transfer	ATP citrate synthase	acetyl-CoA:oxaloacetate acetyltransferase (isomerizing; ADP-;phosphorylating);adenosine triphosphate citrate lyase;ATP:citrate oxaloacetate-lyase [(pro-S)-CH2COO(-)->acetyl-CoA] (ATP-;dephosphorylating);ATP citrate (pro-S)-lyase;ATP-citrate (pro-S-)-lyase;ATP-citric lyase;citrate-ATP lyase;citrate cleavage enzyme;citric cleavage enzyme	acetyl-CoA + ADP + oxaloacetate + phosphate = ATP + citrate + CoA	-!- The enzyme can be dissociated into components, two of which are;    identical with EC 4.1.3.34 and EC 6.2.1.18;-!- Formerly EC 4.1.3.8
25	ACO1	4.2.1.3	P21399	4.-.-.-	Lyases	4.2.-.-	Carbon-oxygen lyases	4.2.1.-	Hydro-lyases	aconitate hydratase	aconitase;cis-aconitase;citrate(isocitrate) hydro-lyase;citrate hydro-lyase	citrate = D-threo-isocitrate	-!- Besides interconverting citrate and cis-aconitate, it also;    interconverts cis-aconitate with isocitrate and, hence, interconverts;    citrate and isocitrate;-!- The equilibrium mixture is 91% citrate, 6% isocitrate and 3%;    aconitate;-!- cis-aconitate is used to designate the isomer (Z)-prop-1-ene-1,2,3-;    tricarboxylate;-!- Formerly EC 4.2.1.4
26	ACOT7	3.1.2.2	O00154	3.-.-.-	Hydrolases	3.1.-.-	Acting on ester bonds	3.1.2.-	Thiolester hydrolases	palmitoyl-CoA hydrolase	long-chain fatty-acyl-CoA hydrolase	H2O + hexadecanoyl-CoA = CoA + H(+) + hexadecanoate	-!- Also hydrolyzes CoA thioesters of other long-chain fatty acids
27	ACP1	3.1.3.2	P24666	3.-.-.-	Hydrolases	3.1.-.-	Acting on ester bonds	3.1.3.-	Phosphoric monoester hydrolases	acid phosphatase	acid phosphomonoesterase;glycerophosphatase;phosphomonoesterase	a phosphate monoester + H2O = an alcohol + phosphate	-!- Wide specificity;-!- Also catalyzes transphosphorylations
28	ACP1	3.1.3.48	P24666	3.-.-.-	Hydrolases	3.1.-.-	Acting on ester bonds	3.1.3.-	Phosphoric monoester hydrolases	protein-tyrosine-phosphatase	phosphotyrosine phosphatase;PTPase	H2O + O-phospho-L-tyrosyl-[protein] = L-tyrosyl-[protein] + phosphate	-!- Dephosphorylates O-phosphotyrosine groups in phosphoproteins, such as;    the products of EC 2.7.10.2
29	ACSL1	6.2.1.15	P33121	6.-.-.-	Ligases	6.2.-.-	Forming carbon-sulfur bonds	6.2.1.-	Acid--thiol ligases	arachidonate--CoA ligase	arachidonoyl-CoA synthetase	(5Z,8Z,11Z,14Z)-eicosatetraenoate + ATP + CoA = (5Z,8Z,11Z,14Z)-;eicosatetraenoyl-CoA + AMP + diphosphate	-!- 8,11,14-icosatrienoate, but not the other long-chain fatty acids,;    can act in place of arachidonate;-!- Not identical with EC 6.2.1.3
30	ACSL1	6.2.1.24	P33121	6.-.-.-	Ligases	6.2.-.-	Forming carbon-sulfur bonds	6.2.1.-	Acid--thiol ligases	phytanate--CoA ligase		3,7,11,15-tetramethylhexadecanoate + ATP + CoA = AMP + diphosphate +;phytanoyl-CoA	-!- Not identical with EC 6.2.1.20
31	ACSL1	6.2.1.3	P33121	6.-.-.-	Ligases	6.2.-.-	Forming carbon-sulfur bonds	6.2.1.-	Acid--thiol ligases	long-chain-fatty-acid--CoA ligase	acyl-activating enzyme;acyl-CoA synthetase;fatty acid thiokinase (long chain);lignoceroyl-CoA synthase	a long-chain fatty acid + ATP + CoA = a long-chain fatty acyl-CoA + AMP +;diphosphate	-!- Acts on a wide range of long-chain saturated and unsaturated fatty;    acids, but the enzymes from different tissues show some variation in;    specificity;-!- The liver enzyme acts on acids from C6 to C20; that from brain shows;    high activity up to C24
32	ACSL3	6.2.1.15	O95573	6.-.-.-	Ligases	6.2.-.-	Forming carbon-sulfur bonds	6.2.1.-	Acid--thiol ligases	arachidonate--CoA ligase	arachidonoyl-CoA synthetase	(5Z,8Z,11Z,14Z)-eicosatetraenoate + ATP + CoA = (5Z,8Z,11Z,14Z)-;eicosatetraenoyl-CoA + AMP + diphosphate	-!- 8,11,14-icosatrienoate, but not the other long-chain fatty acids,;    can act in place of arachidonate;-!- Not identical with EC 6.2.1.3
33	ACSL3	6.2.1.2	O95573	6.-.-.-	Ligases	6.2.-.-	Forming carbon-sulfur bonds	6.2.1.-	Acid--thiol ligases	medium-chain acyl-CoA ligase	acyl-activating enzyme;butyryl-CoA synthetase;fatty acid thiokinase (medium chain)	a medium chain fatty acid + ATP + CoA = a medium-chain fatty acyl-CoA +;AMP + diphosphate	-!- Acts on fatty acids from C4 to C11 and on the corresponding 3-hydroxy;    and 2,3- or 3,4-unsaturated acids;-!- The enzyme from the bacterium Pseudomonas putida also acts on 4-oxo;    and 4-hydroxy derivatives
34	ACSL3	6.2.1.3	O95573	6.-.-.-	Ligases	6.2.-.-	Forming carbon-sulfur bonds	6.2.1.-	Acid--thiol ligases	long-chain-fatty-acid--CoA ligase	acyl-activating enzyme;acyl-CoA synthetase;fatty acid thiokinase (long chain);lignoceroyl-CoA synthase	a long-chain fatty acid + ATP + CoA = a long-chain fatty acyl-CoA + AMP +;diphosphate	-!- Acts on a wide range of long-chain saturated and unsaturated fatty;    acids, but the enzymes from different tissues show some variation in;    specificity;-!- The liver enzyme acts on acids from C6 to C20; that from brain shows;    high activity up to C24
35	ACSL4	6.2.1.15	O60488	6.-.-.-	Ligases	6.2.-.-	Forming carbon-sulfur bonds	6.2.1.-	Acid--thiol ligases	arachidonate--CoA ligase	arachidonoyl-CoA synthetase	(5Z,8Z,11Z,14Z)-eicosatetraenoate + ATP + CoA = (5Z,8Z,11Z,14Z)-;eicosatetraenoyl-CoA + AMP + diphosphate	-!- 8,11,14-icosatrienoate, but not the other long-chain fatty acids,;    can act in place of arachidonate;-!- Not identical with EC 6.2.1.3
36	ACSL4	6.2.1.3	O60488	6.-.-.-	Ligases	6.2.-.-	Forming carbon-sulfur bonds	6.2.1.-	Acid--thiol ligases	long-chain-fatty-acid--CoA ligase	acyl-activating enzyme;acyl-CoA synthetase;fatty acid thiokinase (long chain);lignoceroyl-CoA synthase	a long-chain fatty acid + ATP + CoA = a long-chain fatty acyl-CoA + AMP +;diphosphate	-!- Acts on a wide range of long-chain saturated and unsaturated fatty;    acids, but the enzymes from different tissues show some variation in;    specificity;-!- The liver enzyme acts on acids from C6 to C20; that from brain shows;    high activity up to C24
37	ACSL6	6.2.1.15	Q9UKU0	6.-.-.-	Ligases	6.2.-.-	Forming carbon-sulfur bonds	6.2.1.-	Acid--thiol ligases	arachidonate--CoA ligase	arachidonoyl-CoA synthetase	(5Z,8Z,11Z,14Z)-eicosatetraenoate + ATP + CoA = (5Z,8Z,11Z,14Z)-;eicosatetraenoyl-CoA + AMP + diphosphate	-!- 8,11,14-icosatrienoate, but not the other long-chain fatty acids,;    can act in place of arachidonate;-!- Not identical with EC 6.2.1.3
38	ACSL6	6.2.1.3	Q9UKU0	6.-.-.-	Ligases	6.2.-.-	Forming carbon-sulfur bonds	6.2.1.-	Acid--thiol ligases	long-chain-fatty-acid--CoA ligase	acyl-activating enzyme;acyl-CoA synthetase;fatty acid thiokinase (long chain);lignoceroyl-CoA synthase	a long-chain fatty acid + ATP + CoA = a long-chain fatty acyl-CoA + AMP +;diphosphate	-!- Acts on a wide range of long-chain saturated and unsaturated fatty;    acids, but the enzymes from different tissues show some variation in;    specificity;-!- The liver enzyme acts on acids from C6 to C20; that from brain shows;    high activity up to C24
39	ACSS2	6.2.1.1	Q9NR19	6.-.-.-	Ligases	6.2.-.-	Forming carbon-sulfur bonds	6.2.1.-	Acid--thiol ligases	acetate--CoA ligase	acetate thiokinase;Acetyl-activating enzyme;Acetyl-CoA synthase;acetyl-CoA synthetase;acyl-activating enzyme	acetate + ATP + CoA = acetyl-CoA + AMP + diphosphate	-!- Also acts on propanoate and propenoate
40	ACSS2	6.2.1.17	Q9NR19	6.-.-.-	Ligases	6.2.-.-	Forming carbon-sulfur bonds	6.2.1.-	Acid--thiol ligases	propionate--CoA ligase	propionyl-CoA synthetase	ATP + CoA + propanoate = AMP + diphosphate + propanoyl-CoA	-!- Propenoate can act instead of propanoate;-!- Not identical with EC 6.2.1.1 or EC 6.2.1.2
41	ACY1	3.5.1.14	Q03154	3.-.-.-	Hydrolases	3.5.-.-	Acting on carbon-nitrogen bonds, other than peptide bonds	3.5.1.-	In linear amides	N-acyl-aliphatic-L-amino acid amidohydrolase	acylase I;aminoacylase 1;aminoacylase I;benzamidase;dehydropeptidase II;hippuricase;histozyme;N-acyl-L-amino-acid amidohydrolase	(1) an N-acyl-L-amino acid + H2O = a carboxylate + an L-alpha-amino acid;(2) an N-acetyl-L-cysteine-S-conjugate + H2O = acetate + an S-substituted;L-cysteine	-!- The enzyme is found in animals and is involved in the hydrolysis of;    N-acylated or N-acetylated amino acids (except L-aspartate);-!- It acts on mercapturic acids (S-conjugates of N-acetyl-L-cysteine);    and neutral aliphatic N-acyl-alpha-amino acids;-!- Some bacterial aminoacylases demonstrate substrate specificity of;    both EC 3.5.1.14 and EC 3.5.1.114. cf. EC 3.5.1.15 and EC 3.5.1.114
42	ACYP1	3.6.1.7	P07311	3.-.-.-	Hydrolases	3.6.-.-	Acting on acid anhydrides	3.6.1.-	In phosphorus-containing anhydrides	acylphosphatase	acylphosphate phosphohydrolase	an acyl phosphate + H2O = a carboxylate + H(+) + phosphate	
43	ACYP2	3.6.1.7	P14621	3.-.-.-	Hydrolases	3.6.-.-	Acting on acid anhydrides	3.6.1.-	In phosphorus-containing anhydrides	acylphosphatase	acylphosphate phosphohydrolase	an acyl phosphate + H2O = a carboxylate + H(+) + phosphate	
44	ADA	3.5.4.4	P00813	3.-.-.-	Hydrolases	3.5.-.-	Acting on carbon-nitrogen bonds, other than peptide bonds	3.5.4.-	In cyclic amidines	adenosine deaminase	adenosine aminohydrolase	(1) adenosine + H(+) + H2O = inosine + NH4(+);(2) 2'-deoxyadenosine + H(+) + H2O = 2'-deoxyinosine + NH4(+)	
