	genes	ec-code	uniprot	class	class.description	subclass	subclass.description	subsubclass	subsubclass.description	ec-code.description	alternate	catalytic activity	comments
389	LYPLA2	3.1.2.22	O95372	3.-.-.-	Hydrolases	3.1.-.-	Acting on ester bonds	3.1.2.-	Thiolester hydrolases	palmitoyl-protein hydrolase	palmitoyl-protein thioesterase	H2O + S-hexadecanoyl-L-cysteinyl-[protein] = H(+) + hexadecanoate +;L-cysteinyl-[protein]	-!- Specific for long-chain thioesters of fatty acids;-!- Hydrolyzes fatty acids from S-acylated cysteine residues in proteins,;    palmitoyl cysteine and palmitoyl-CoA
390	LYPLAL1	3.1.2.22	Q5VWZ2	3.-.-.-	Hydrolases	3.1.-.-	Acting on ester bonds	3.1.2.-	Thiolester hydrolases	palmitoyl-protein hydrolase	palmitoyl-protein thioesterase	H2O + S-hexadecanoyl-L-cysteinyl-[protein] = H(+) + hexadecanoate +;L-cysteinyl-[protein]	-!- Specific for long-chain thioesters of fatty acids;-!- Hydrolyzes fatty acids from S-acylated cysteine residues in proteins,;    palmitoyl cysteine and palmitoyl-CoA
391	MAN2C1	3.2.1.24	Q9NTJ4	3.-.-.-	Hydrolases	3.2.-.-	Glycosylases	3.2.1.-	Glycosidases, i.e. enzymes hydrolyzing O- and S-glycosyl compounds	alpha-mannosidase		Hydrolysis of terminal, non-reducing alpha-D-mannose residues in alpha-D-;mannosides	-!- Also hydrolyzes alpha-D-lyxosides and heptopyranosides with the same;    configuration at C-2, C-3 and C-4 as mannose
392	MAP2K1	2.7.12.2	Q02750	2.-.-.-	Transferases	2.7.-.-	Transferring phosphorus-containing groups	2.7.12.-	Dual-specificity kinases (those acting on Ser/Thr and Tyr residues)	mitogen-activated protein kinase kinase	MAP2K;MAP kinase kinase;MAPKK;MEK;MKK	(1) ATP + L-seryl-[protein] = ADP + H(+) + O-phospho-L-seryl-[protein];(2) ATP + L-threonyl-[protein] = ADP + H(+) + O-phospho-L-threonyl-;[protein];(3) ATP + L-tyrosyl-[protein] = ADP + H(+) + O-phospho-L-tyrosyl-;[protein]	-!- A dual-specific protein kinase and requires mitogen-activated protein;    kinase kinase kinase (MAPKKK) for activation;-!- It is required for activation of EC 2.7.11.24;-!- Phosphorylation of MEK1 by Raf involves phosphorylation of two serine;    residues;-!- Mitogen-activated protein kinase (MAPK) signal transduction pathways;    are among the most widespread mechanisms of cellular regulation;-!- Mammalian MAPK pathways can be recruited by a wide variety of stimuli;    including hormones (e.g. insulin and growth hormone), mitogens (e.g;    epidermal growth factor and platelet-derived growth factor),;    vasoactive peptides (e.g. angiotensin-II and endothelin),;    inflammatory cytokines of the tumor necrosis factor (TNF) family and;    environmental stresses such as osmotic shock, ionizing radiation and;    ischemeic injury
393	MAP2K2	2.7.12.2	P36507	2.-.-.-	Transferases	2.7.-.-	Transferring phosphorus-containing groups	2.7.12.-	Dual-specificity kinases (those acting on Ser/Thr and Tyr residues)	mitogen-activated protein kinase kinase	MAP2K;MAP kinase kinase;MAPKK;MEK;MKK	(1) ATP + L-seryl-[protein] = ADP + H(+) + O-phospho-L-seryl-[protein];(2) ATP + L-threonyl-[protein] = ADP + H(+) + O-phospho-L-threonyl-;[protein];(3) ATP + L-tyrosyl-[protein] = ADP + H(+) + O-phospho-L-tyrosyl-;[protein]	-!- A dual-specific protein kinase and requires mitogen-activated protein;    kinase kinase kinase (MAPKKK) for activation;-!- It is required for activation of EC 2.7.11.24;-!- Phosphorylation of MEK1 by Raf involves phosphorylation of two serine;    residues;-!- Mitogen-activated protein kinase (MAPK) signal transduction pathways;    are among the most widespread mechanisms of cellular regulation;-!- Mammalian MAPK pathways can be recruited by a wide variety of stimuli;    including hormones (e.g. insulin and growth hormone), mitogens (e.g;    epidermal growth factor and platelet-derived growth factor),;    vasoactive peptides (e.g. angiotensin-II and endothelin),;    inflammatory cytokines of the tumor necrosis factor (TNF) family and;    environmental stresses such as osmotic shock, ionizing radiation and;    ischemeic injury
394	MAP2K3	2.7.12.2	P46734	2.-.-.-	Transferases	2.7.-.-	Transferring phosphorus-containing groups	2.7.12.-	Dual-specificity kinases (those acting on Ser/Thr and Tyr residues)	mitogen-activated protein kinase kinase	MAP2K;MAP kinase kinase;MAPKK;MEK;MKK	(1) ATP + L-seryl-[protein] = ADP + H(+) + O-phospho-L-seryl-[protein];(2) ATP + L-threonyl-[protein] = ADP + H(+) + O-phospho-L-threonyl-;[protein];(3) ATP + L-tyrosyl-[protein] = ADP + H(+) + O-phospho-L-tyrosyl-;[protein]	-!- A dual-specific protein kinase and requires mitogen-activated protein;    kinase kinase kinase (MAPKKK) for activation;-!- It is required for activation of EC 2.7.11.24;-!- Phosphorylation of MEK1 by Raf involves phosphorylation of two serine;    residues;-!- Mitogen-activated protein kinase (MAPK) signal transduction pathways;    are among the most widespread mechanisms of cellular regulation;-!- Mammalian MAPK pathways can be recruited by a wide variety of stimuli;    including hormones (e.g. insulin and growth hormone), mitogens (e.g;    epidermal growth factor and platelet-derived growth factor),;    vasoactive peptides (e.g. angiotensin-II and endothelin),;    inflammatory cytokines of the tumor necrosis factor (TNF) family and;    environmental stresses such as osmotic shock, ionizing radiation and;    ischemeic injury
395	MAP2K6	2.7.12.2	P52564	2.-.-.-	Transferases	2.7.-.-	Transferring phosphorus-containing groups	2.7.12.-	Dual-specificity kinases (those acting on Ser/Thr and Tyr residues)	mitogen-activated protein kinase kinase	MAP2K;MAP kinase kinase;MAPKK;MEK;MKK	(1) ATP + L-seryl-[protein] = ADP + H(+) + O-phospho-L-seryl-[protein];(2) ATP + L-threonyl-[protein] = ADP + H(+) + O-phospho-L-threonyl-;[protein];(3) ATP + L-tyrosyl-[protein] = ADP + H(+) + O-phospho-L-tyrosyl-;[protein]	-!- A dual-specific protein kinase and requires mitogen-activated protein;    kinase kinase kinase (MAPKKK) for activation;-!- It is required for activation of EC 2.7.11.24;-!- Phosphorylation of MEK1 by Raf involves phosphorylation of two serine;    residues;-!- Mitogen-activated protein kinase (MAPK) signal transduction pathways;    are among the most widespread mechanisms of cellular regulation;-!- Mammalian MAPK pathways can be recruited by a wide variety of stimuli;    including hormones (e.g. insulin and growth hormone), mitogens (e.g;    epidermal growth factor and platelet-derived growth factor),;    vasoactive peptides (e.g. angiotensin-II and endothelin),;    inflammatory cytokines of the tumor necrosis factor (TNF) family and;    environmental stresses such as osmotic shock, ionizing radiation and;    ischemeic injury
396	MAPK1	2.7.11.24	P28482	2.-.-.-	Transferases	2.7.-.-	Transferring phosphorus-containing groups	2.7.11.-	Protein-serine/threonine kinases	mitogen-activated protein kinase	c-Jun N-terminal kinase;ERK;extracellular signal-regulated kinase;JNK;MAPK;MAP kinase;MBP kinase I;MBP kinase II;microtubule-associated protein 2 kinase;microtubule-associated protein kinase;myelin basic protein kinase;SAPK;stress-activated protein kinase	(1) ATP + L-seryl-[protein] = ADP + H(+) + O-phospho-L-seryl-[protein];(2) ATP + L-threonyl-[protein] = ADP + H(+) + O-phospho-L-threonyl-;[protein]	-!- Phosphorylation of specific tyrosine and threonine residues in the;    activation loop of this enzyme by EC 2.7.12.2 is necessary for enzyme;    activation;-!- Once activated, the enzyme phosphorylates target substrates on serine;    or threonine residues followed by a proline;-!- A distinguishing feature of all MAPKs is the conserved sequence Thr-;    Xaa-Tyr (TXY);-!- Mitogen-activated protein kinase (MAPK) signal transduction pathways;    are among the most widespread mechanisms of cellular regulation;-!- Mammalian MAPK pathways can be recruited by a wide variety of stimuli;    including hormones (e.g. insulin and growth hormone), mitogens (e.g;    epidermal growth factor and platelet-derived growth factor),;    vasoactive peptides (e.g. angiotensin-II and endothelin),;    inflammatory cytokines of the tumor necrosis factor (TNF) family and;    environmental stresses such as osmotic shock, ionizing radiation and;    ischemeic injury;-!- Formerly EC 2.7.1.37
397	MAPK3	2.7.11.24	P27361	2.-.-.-	Transferases	2.7.-.-	Transferring phosphorus-containing groups	2.7.11.-	Protein-serine/threonine kinases	mitogen-activated protein kinase	c-Jun N-terminal kinase;ERK;extracellular signal-regulated kinase;JNK;MAPK;MAP kinase;MBP kinase I;MBP kinase II;microtubule-associated protein 2 kinase;microtubule-associated protein kinase;myelin basic protein kinase;SAPK;stress-activated protein kinase	(1) ATP + L-seryl-[protein] = ADP + H(+) + O-phospho-L-seryl-[protein];(2) ATP + L-threonyl-[protein] = ADP + H(+) + O-phospho-L-threonyl-;[protein]	-!- Phosphorylation of specific tyrosine and threonine residues in the;    activation loop of this enzyme by EC 2.7.12.2 is necessary for enzyme;    activation;-!- Once activated, the enzyme phosphorylates target substrates on serine;    or threonine residues followed by a proline;-!- A distinguishing feature of all MAPKs is the conserved sequence Thr-;    Xaa-Tyr (TXY);-!- Mitogen-activated protein kinase (MAPK) signal transduction pathways;    are among the most widespread mechanisms of cellular regulation;-!- Mammalian MAPK pathways can be recruited by a wide variety of stimuli;    including hormones (e.g. insulin and growth hormone), mitogens (e.g;    epidermal growth factor and platelet-derived growth factor),;    vasoactive peptides (e.g. angiotensin-II and endothelin),;    inflammatory cytokines of the tumor necrosis factor (TNF) family and;    environmental stresses such as osmotic shock, ionizing radiation and;    ischemeic injury;-!- Formerly EC 2.7.1.37
398	MAPKAPK2	2.7.11.1	P49137	2.-.-.-	Transferases	2.7.-.-	Transferring phosphorus-containing groups	2.7.11.-	Protein-serine/threonine kinases	non-specific serine/threonine protein kinase	protein phosphokinase;protein serine kinase;protein-serine kinase;protein serine-threonine kinase;serine/threonine protein kinase;serine(threonine) protein kinase;serine kinase;serine protein kinase;serine-specific protein kinase;threonine-specific protein kinase	(1) ATP + L-seryl-[protein] = ADP + H(+) + O-phospho-L-seryl-[protein];(2) ATP + L-threonyl-[protein] = ADP + H(+) + O-phospho-L-threonyl-;[protein]	-!- This is a heterogeneous group of serine/threonine protein kinases;    that do not have an activating compound and are either non-specific;    or their specificity has not been analyzed to date;-!- Formerly EC 2.7.1.37 and EC 2.7.1.70
399	MARS1	6.1.1.10	P56192	6.-.-.-	Ligases	6.1.-.-	Forming carbon-oxygen bonds	6.1.1.-	Ligases forming aminoacyl-tRNA and related compounds	methionine--tRNA ligase	methionine translase;methionyl-transfer ribonucleate synthetase;methionyl-transfer ribonucleic acid synthetase;methionyl-transfer RNA synthetase;methionyl-tRNA synthetase;MetRS	ATP + L-methionine + tRNA(Met) = AMP + diphosphate + L-methionyl-;tRNA(Met)	-!- In those organisms producing N-formylmethionyl-tRNA(fMet) for;    translation initiation, this enzyme also recognizes the initiator;    tRNA(fMet) and catalyzes the formation of L-methionyl-tRNA(fMet),;    the substrate for EC 2.1.2.9
400	MAT2A	2.5.1.6	P31153	2.-.-.-	Transferases	2.5.-.-	Transferring alkyl or aryl groups, other than methyl groups	2.5.1.-	Transferring alkyl or aryl groups, other than methyl groups	methionine adenosyltransferase	AdoMet synthetase;S-adenosylmethionine synthetase	ATP + H2O + L-methionine = diphosphate + phosphate + S-adenosyl-L-;methionine	-!- Formerly EC 2.4.2.13
401	MBLAC2	3.1.2.2	Q68D91	3.-.-.-	Hydrolases	3.1.-.-	Acting on ester bonds	3.1.2.-	Thiolester hydrolases	palmitoyl-CoA hydrolase	long-chain fatty-acyl-CoA hydrolase	H2O + hexadecanoyl-CoA = CoA + H(+) + hexadecanoate	-!- Also hydrolyzes CoA thioesters of other long-chain fatty acids
402	MBLAC2	3.5.2.6	Q68D91	3.-.-.-	Hydrolases	3.5.-.-	Acting on carbon-nitrogen bonds, other than peptide bonds	3.5.2.-	In cyclic amides	beta-lactamase	cephalosporinase;penicillinase	a beta-lactam + H2O = a substituted beta-amino acid	-!- Zinc is only requires in class-B enzymes;-!- A group of enzymes of varying specificity hydrolyzing beta-lactams;;    some act more rapidly on penicillins, some more rapidly on;    cephalosporins;-!- Formerly EC 3.5.2.8
403	MBOAT2	2.3.1.23	Q6ZWT7	2.-.-.-	Transferases	2.3.-.-	Acyltransferases	2.3.1.-	Transferring groups other than amino-acyl groups	1-acylglycerophosphocholine O-acyltransferase	lysolecithin acyltransferase	a 1-acyl-sn-glycero-3-phosphocholine + an acyl-CoA = a 1,2-diacyl-;sn-glycero-3-phosphocholine + CoA	-!- Acts preferentially with unsaturated acyl-CoA derivatives;-!- 1-Acyl-sn-glycero-3-phosphoinositol can also act as acceptor
404	MBOAT2	2.3.1.51	Q6ZWT7	2.-.-.-	Transferases	2.3.-.-	Acyltransferases	2.3.1.-	Transferring groups other than amino-acyl groups	1-acylglycerol-3-phosphate O-acyltransferase		a 1-acyl-sn-glycero-3-phosphate + an acyl-CoA = a 1,2-diacyl-sn-glycero-;3-phosphate + CoA	-!- Acyl-[acyl-carrier-protein] can also act as acyl donor;-!- The animal enzyme is specific for the transfer of unsaturated fatty;    acyl groups
405	MBOAT2	2.3.1.n7	Q6ZWT7	2.-.-.-	Transferases	2.3.-.-	Acyltransferases	2.3.1.-	Transferring groups other than amino-acyl groups	1-acylglycerophosphoethanolamine O-acyltransferase	lysophosphatidylethanolamine acyltransferase	a 1-acyl-sn-glycero-3-phosphoethanolamine + an acyl-CoA = a 1,2-diacyl-;sn-glycero-3-phosphoethanolamine + CoA	-!- The enzyme mediates the conversion of lysophosphatidylethanolamine;    into phosphatidylethanolamine;-!- The enzyme also catalyzes the acylation of lysophosphatidylserine;    into phosphatidylserine (cf. EC 2.3.1.n6);-!- Prefers oleoyl-CoA as the acyl donor
406	MDH1	1.1.1.37	P40925	1.-.-.-	Oxidoreductases	1.1.-.-	Acting on the CH-OH group of donors	1.1.1.-	With NAD(+) or NADP(+) as acceptor	malate dehydrogenase	malic dehydrogenase	(S)-malate + NAD(+) = H(+) + NADH + oxaloacetate	-!- Also oxidizes some other 2-hydroxydicarboxylic acids
407	MDH1	1.1.1.96	P40925	1.-.-.-	Oxidoreductases	1.1.-.-	Acting on the CH-OH group of donors	1.1.1.-	With NAD(+) or NADP(+) as acceptor	diiodophenylpyruvate reductase		3-(3,5-diiodo-4-hydroxyphenyl)lactate + NAD(+) = 3-(3,5-diiodo-4-;hydroxyphenyl)pyruvate + H(+) + NADH	-!- Substrates contain an aromatic ring with a pyruvate side chain;-!- The most active substrates are halogenated derivatives;-!- Compounds with hydroxy or amino groups in the 3 or 5 position are;    inactive
408	MDP1	3.1.3.48	Q86V88	3.-.-.-	Hydrolases	3.1.-.-	Acting on ester bonds	3.1.3.-	Phosphoric monoester hydrolases	protein-tyrosine-phosphatase	phosphotyrosine phosphatase;PTPase	H2O + O-phospho-L-tyrosyl-[protein] = L-tyrosyl-[protein] + phosphate	-!- Dephosphorylates O-phosphotyrosine groups in phosphoproteins, such as;    the products of EC 2.7.10.2
409	ME1	1.1.1.40	P48163	1.-.-.-	Oxidoreductases	1.1.-.-	Acting on the CH-OH group of donors	1.1.1.-	With NAD(+) or NADP(+) as acceptor	malate dehydrogenase (oxaloacetate-decarboxylating) (NADP(+))	malic enzyme;NADP-malic enzyme;pyruvic-malic carboxylase	(1) (S)-malate + NADP(+) = CO2 + NADPH + pyruvate;(2) H(+) + oxaloacetate = CO2 + pyruvate	-!- The enzyme catalyzes the oxidative decarboxylation of (S)-malate in;    the presence of NADP(+) and divalent metal ions, and decarboxylation;    of oxaloacetate, cf. EC 1.1.1.38 and EC 1.1.1.39
