	rxns	rxnRetired
0	AGPAT1_16_0_16_0	AGPAT1_16_0_16_1
1	AGPAT1_16_0_18_1	AGPAT1_16_0_18_3
2	AGPAT1_16_0_18_2	AGPAT1_16_0_18_4
3	AGPAT1_18_1_18_1	AGPAT1_18_1_18_3
4	AGPAT1_18_1_18_2	AGPAT1_18_1_18_4
5	GPAM_hs_16_0	GPAM_hs_16_1
6	GPAM_hs_18_1	GPAM_hs_18_3
7	GPAM_hs_18_2	GPAM_hs_18_4
8	PI4P5K_16_0_16_0	PI4P5K_16_0_16_1
9	PI4P5K_16_0_18_1	PI4P5K_16_0_18_3
10	PI4P5K_16_0_18_2	PI4P5K_16_0_18_4
11	PI4P5K_18_1_18_1	PI4P5K_18_1_18_3
12	PI4P5K_18_1_18_2	PI4P5K_18_1_18_4
