rxns	rxnRetired
PAPP_18_9Z_18_9Z12Z	PPAP_18_1_18_2
PCPLA2_16_0_16_0	PLA2_2_16_0_16_0
PCPLA2_16_0_18_9Z	PLA2_2_16_0_18_1
PCPLA2_16_0_18_9Z12Z	PLA2_2_16_0_18_2
PCPLA2_18_9Z12Z_16_0	PLA2_2_18_2_16_0
PCPLA2_18_9Z12Z_18_9Z	PLA2_2_18_2_18_1
PCPLA2_18_9Z_18_9Z	PLA2_2_18_1_18_1
PCPLA2_18_9Z_18_9Z12Z	PLA2_2_18_1_18_2
PDEA	PDE1
PDX5PO	PDX5POi
PI45P5P_16_0_18_9Z	PI45P5P_16_0_18_1
PI45P5P_16_0_18_9Z12Z	PI45P5P_16_0_18_2
PI45P5P_18_9Z12Z_16_0	PI45P5P_18_2_16_0
PI45P5P_18_9Z12Z_18_9Z	PI45P5P_18_2_18_1
PI45P5P_18_9Z_18_9Z	PI45P5P_18_1_18_1
PI45P5P_18_9Z_18_9Z12Z	PI45P5P_18_1_18_2
PI45PLC_16_0_18_9Z	PI45PLC_16_0_18_1
PI45PLC_16_0_18_9Z12Z	PI45PLC_16_0_18_2
PI45PLC_18_9Z12Z_16_0	PI45PLC_18_2_16_0
PI45PLC_18_9Z12Z_18_9Z	PI45PLC_18_2_18_1
PI45PLC_18_9Z_18_9Z	PI45PLC_18_1_18_1
PI45PLC_18_9Z_18_9Z12Z	PI45PLC_18_1_18_2
PI4K_16_0_16_0	PIK4_16_0_16_0
PI4K_16_0_18_9Z	PIK4_16_0_18_1
PI4K_16_0_18_9Z12Z	PIK4_16_0_18_2
PI4K_18_9Z12Z_16_0	PIK4_18_2_16_0
PI4K_18_9Z12Z_18_9Z	PIK4_18_2_18_1
PI4K_18_9Z_18_9Z	PIK4_18_1_18_1
PI4K_18_9Z_18_9Z12Z	PIK4_18_1_18_2
PI4P5K_16_0_18_9Z	PI4P5K_16_0_18_1;PI4P5K_16_0_18_3
PI4P5K_16_0_18_9Z12Z	PI4P5K_16_0_18_2;PI4P5K_16_0_18_4
PI4P5K_18_9Z12Z_16_0	PI4P5K_18_2_16_0
PI4P5K_18_9Z12Z_18_9Z	PI4P5K_18_2_18_1
PI4P5K_18_9Z_18_9Z	PI4P5K_18_1_18_1;PI4P5K_18_1_18_3
PI4P5K_18_9Z_18_9Z12Z	PI4P5K_18_1_18_2;PI4P5K_18_1_18_4
PI4PLC_16_0_18_9Z	PI4PLC_16_0_18_1
PI4PLC_16_0_18_9Z12Z	PI4PLC_16_0_18_2
PI4PLC_18_9Z12Z_16_0	PI4PLC_18_2_16_0
PI4PLC_18_9Z12Z_18_9Z	PI4PLC_18_2_18_1
PI4PLC_18_9Z_18_9Z	PI4PLC_18_1_18_1
PI4PLC_18_9Z_18_9Z12Z	PI4PLC_18_1_18_2
PI4PP_16_0_18_9Z	PI4PP_16_0_18_1
PI4PP_16_0_18_9Z12Z	PI4PP_16_0_18_2
PI4PP_18_9Z12Z_16_0	PI4PP_18_2_16_0
PI4PP_18_9Z12Z_18_9Z	PI4PP_18_2_18_1
PI4PP_18_9Z_18_9Z	PI4PP_18_1_18_1
PI4PP_18_9Z_18_9Z12Z	PI4PP_18_1_18_2
PIPLC_16_0_18_9Z	PIPLC_16_0_18_1
PIPLC_16_0_18_9Z12Z	PIPLC_16_0_18_2
PIPLC_18_9Z12Z_16_0	PIPLC_18_2_16_0
PIPLC_18_9Z12Z_18_9Z	PIPLC_18_2_18_1
PIPLC_18_9Z_18_9Z	PIPLC_18_1_18_1
PIPLC_18_9Z_18_9Z12Z	PIPLC_18_1_18_2
PNP2	NP1
PPMEPP2A	PPMEPPP2CA
RBVIMPT	IMRBVPT
RIBFLVABCte	RIBFLVt3o
SELCYSTL1	SELCYSTL
SELMETHL1	SELMETHL
SK_pc_hs_16_0_16_0_c	SK_pchol_hs_16_0_16_0_c
SK_pc_hs_16_0_18_9Z12Z_c	SK_pchol_hs_16_0_18_2_c
SK_pc_hs_16_0_18_9Z_c	SK_pchol_hs_16_0_18_1_c
SK_pc_hs_18_9Z12Z_16_0_c	SK_pchol_hs_18_2_16_0_c
SK_pc_hs_18_9Z12Z_18_9Z_c	SK_pchol_hs_18_2_18_1_c
SK_pc_hs_18_9Z_18_9Z12Z_c	SK_pchol_hs_18_1_18_2_c
SK_pc_hs_18_9Z_18_9Z_c	SK_pchol_hs_18_1_18_1_c
SK_pe_hs_16_0_16_0_c	SK_pe_hs_16_0_16_0_c
