mets	metRetired
protres_ser3oacgam_c	protein_ser3oacgam_c
protres_serTAg_c	protein_serTAg_c
protres_serTnAg_c	protein_serTnAg_c
protres_ser__L_c	protein_ser__L_c
protres_serpi_c	protein_serpi_c
protres_succlys_c	protein_succlys_c
protres_sucim__D_c	protein_sucim__D_c
protres_sucim__L_c	protein_sucim__L_c
protres_thr3oacgam_c	protein_thr3oacgam_c
protres_thrTAg_c	protein_thrTAg_c
protres_thrTnAg_c	protein_thrTnAg_c
protres_thr__L_c	protein_thr__L_c
protres_thrpi_c	protein_thrpi_c
protres_ttdcacys_c	protein_ttdcacys_c
protres_tyr__L_c	protein_tyr__L_c
protres_tyrpi_c	protein_tyrpi_c
slgth__R	lgt__S
udpglc__D	udpg
