genes	geneRetired
ACSL1	2180_AT1
ENPP1	5167_AT1
ALDOA	226_AT1
ALDOC	230_AT1
FBP1	2203_AT1
PFKFB1	5207_AT1
PFKFB3	5209_AT1
FBP2	8789_AT1
PFKFB4	5210_AT1
PFKFB2	5208_AT1
FECH	2235_AT1
FLAD1	80308_AT1
SLC2A7	155184_AT1
SLC2A5	6518_AT1
SLC2A2	6514_AT1
SLC2A11	66035_AT1
SLC2A8	29988_AT1
FH	2271_AT1
GUCY1B1	2983_AT1
GUCY1A1	2982_AT1
GUCY1B2	2974_AT1
GUCY1A2	2977_AT1
NME1	4830_AT1
NME2	4831_AT1
MAT2B	27430_AT1
MAT2A	4144_AT1
ATP1B1	481_AT1
ATP1B3	483_AT1
ATP1B2	482_AT1
ATP1B4	23439_AT1
ATP1A1	476_AT1
