enzymes	enzyme	complexes	reactions	direction	compartment	complexes_keff	complex_keff	enzyme_keff
enzyme_CYTB5ASCBR_fwd_pc	enzyme_CYTB5ASCBR_fwd	cplx_COMPLEX_Cyb5r3_B5a_pc;cplx_COMPLEX_Cyb5r3_B5b_pc	CYTB5ASCBR	forward	pc	cplx_COMPLEX_Cyb5r3_B5a_pc(154672.61196395746);cplx_COMPLEX_Cyb5r3_B5b_pc(158521.62997944708)	154672.61196395746;158521.62997944708	234000.0
enzyme_CYTB5ASCBR_rev_pc	enzyme_CYTB5ASCBR_rev	cplx_COMPLEX_Cyb5r3_B5a_pc;cplx_COMPLEX_Cyb5r3_B5b_pc	CYTB5ASCBR	reverse	pc	cplx_COMPLEX_Cyb5r3_B5a_pc(0);cplx_COMPLEX_Cyb5r3_B5b_pc(0)	0;0	234000.0
enzyme_FCYTOB5OXR_fwd_pc	enzyme_FCYTOB5OXR_fwd	cplx_COMPLEX_Cyb5r3_B5a_pc;cplx_COMPLEX_Cyb5r3_B5b_pc	FCYTOB5OXR	forward	pc	cplx_COMPLEX_Cyb5r3_B5a_pc(154672.61196395746);cplx_COMPLEX_Cyb5r3_B5b_pc(158521.62997944708)	154672.61196395746;158521.62997944708	234000.0
enzyme_FCYTOB5OXR_rev_pc	enzyme_FCYTOB5OXR_rev	cplx_COMPLEX_Cyb5r3_B5a_pc;cplx_COMPLEX_Cyb5r3_B5b_pc	FCYTOB5OXR	reverse	pc	cplx_COMPLEX_Cyb5r3_B5a_pc(0);cplx_COMPLEX_Cyb5r3_B5b_pc(0)	0;0	234000.0
enzyme_ADRNCHR1ERx_fwd_pc	enzyme_ADRNCHR1ERx_fwd	cplx_COMPLEX_Cyb5r3_B5a_pc;cplx_COMPLEX_Cyb5r3_B5b_pc;cplx_MONOMER_Cyb5r3_pc	ADRNCHR1ERx	forward	pc	cplx_COMPLEX_Cyb5r3_B5a_pc(154672.61196395746);cplx_COMPLEX_Cyb5r3_B5b_pc(158521.62997944708);cplx_MONOMER_Cyb5r3_pc(95859.60065079007)	154672.61196395746;158521.62997944708;95859.60065079007	234000.0
enzyme_ADRNCHR1ERx_rev_pc	enzyme_ADRNCHR1ERx_rev	cplx_COMPLEX_Cyb5r3_B5a_pc;cplx_COMPLEX_Cyb5r3_B5b_pc;cplx_MONOMER_Cyb5r3_pc	ADRNCHR1ERx	reverse	pc	cplx_COMPLEX_Cyb5r3_B5a_pc(0);cplx_COMPLEX_Cyb5r3_B5b_pc(0);cplx_MONOMER_Cyb5r3_pc(0)	0;0;0	234000.0
enzyme_ADRNLQ1ERx_L_fwd_pc	enzyme_ADRNLQ1ERx_L_fwd	cplx_COMPLEX_Cyb5r3_B5a_pc;cplx_COMPLEX_Cyb5r3_B5b_pc;cplx_MONOMER_Cyb5r3_pc	ADRNLQ1ERx_L	forward	pc	cplx_COMPLEX_Cyb5r3_B5a_pc(154672.61196395746);cplx_COMPLEX_Cyb5r3_B5b_pc(158521.62997944708);cplx_MONOMER_Cyb5r3_pc(95859.60065079007)	154672.61196395746;158521.62997944708;95859.60065079007	234000.0
enzyme_ADRNLQ1ERx_L_rev_pc	enzyme_ADRNLQ1ERx_L_rev	cplx_COMPLEX_Cyb5r3_B5a_pc;cplx_COMPLEX_Cyb5r3_B5b_pc;cplx_MONOMER_Cyb5r3_pc	ADRNLQ1ERx_L	reverse	pc	cplx_COMPLEX_Cyb5r3_B5a_pc(0);cplx_COMPLEX_Cyb5r3_B5b_pc(0);cplx_MONOMER_Cyb5r3_pc(0)	0;0;0	234000.0
enzyme_DOPAQ1ERx_L_fwd_pc	enzyme_DOPAQ1ERx_L_fwd	cplx_COMPLEX_Cyb5r3_B5a_pc;cplx_COMPLEX_Cyb5r3_B5b_pc;cplx_MONOMER_Cyb5r3_pc	DOPAQ1ERx_L	forward	pc	cplx_COMPLEX_Cyb5r3_B5a_pc(154672.61196395746);cplx_COMPLEX_Cyb5r3_B5b_pc(158521.62997944708);cplx_MONOMER_Cyb5r3_pc(95859.60065079007)	154672.61196395746;158521.62997944708;95859.60065079007	234000.0
enzyme_DOPAQ1ERx_L_rev_pc	enzyme_DOPAQ1ERx_L_rev	cplx_COMPLEX_Cyb5r3_B5a_pc;cplx_COMPLEX_Cyb5r3_B5b_pc;cplx_MONOMER_Cyb5r3_pc	DOPAQ1ERx_L	reverse	pc	cplx_COMPLEX_Cyb5r3_B5a_pc(0);cplx_COMPLEX_Cyb5r3_B5b_pc(0);cplx_MONOMER_Cyb5r3_pc(0)	0;0;0	234000.0
enzyme_DPAMCHR1ERx_fwd_pc	enzyme_DPAMCHR1ERx_fwd	cplx_COMPLEX_Cyb5r3_B5a_pc;cplx_COMPLEX_Cyb5r3_B5b_pc;cplx_MONOMER_Cyb5r3_pc	DPAMCHR1ERx	forward	pc	cplx_COMPLEX_Cyb5r3_B5a_pc(154672.61196395746);cplx_COMPLEX_Cyb5r3_B5b_pc(158521.62997944708);cplx_MONOMER_Cyb5r3_pc(95859.60065079007)	154672.61196395746;158521.62997944708;95859.60065079007	234000.0
enzyme_DPAMCHR1ERx_rev_pc	enzyme_DPAMCHR1ERx_rev	cplx_COMPLEX_Cyb5r3_B5a_pc;cplx_COMPLEX_Cyb5r3_B5b_pc;cplx_MONOMER_Cyb5r3_pc	DPAMCHR1ERx	reverse	pc	cplx_COMPLEX_Cyb5r3_B5a_pc(0);cplx_COMPLEX_Cyb5r3_B5b_pc(0);cplx_MONOMER_Cyb5r3_pc(0)	0;0;0	234000.0
enzyme_DPAMQ1ERx_L_fwd_pc	enzyme_DPAMQ1ERx_L_fwd	cplx_COMPLEX_Cyb5r3_B5a_pc;cplx_COMPLEX_Cyb5r3_B5b_pc;cplx_MONOMER_Cyb5r3_pc	DPAMQ1ERx_L	forward	pc	cplx_COMPLEX_Cyb5r3_B5a_pc(154672.61196395746);cplx_COMPLEX_Cyb5r3_B5b_pc(158521.62997944708);cplx_MONOMER_Cyb5r3_pc(95859.60065079007)	154672.61196395746;158521.62997944708;95859.60065079007	234000.0
enzyme_DPAMQ1ERx_L_rev_pc	enzyme_DPAMQ1ERx_L_rev	cplx_COMPLEX_Cyb5r3_B5a_pc;cplx_COMPLEX_Cyb5r3_B5b_pc;cplx_MONOMER_Cyb5r3_pc	DPAMQ1ERx_L	reverse	pc	cplx_COMPLEX_Cyb5r3_B5a_pc(0);cplx_COMPLEX_Cyb5r3_B5b_pc(0);cplx_MONOMER_Cyb5r3_pc(0)	0;0;0	234000.0
enzyme_DPCHR1ERx_L_fwd_pc	enzyme_DPCHR1ERx_L_fwd	cplx_COMPLEX_Cyb5r3_B5a_pc;cplx_COMPLEX_Cyb5r3_B5b_pc;cplx_MONOMER_Cyb5r3_pc	DPCHR1ERx_L	forward	pc	cplx_COMPLEX_Cyb5r3_B5a_pc(154672.61196395746);cplx_COMPLEX_Cyb5r3_B5b_pc(158521.62997944708);cplx_MONOMER_Cyb5r3_pc(95859.60065079007)	154672.61196395746;158521.62997944708;95859.60065079007	234000.0
enzyme_DPCHR1ERx_L_rev_pc	enzyme_DPCHR1ERx_L_rev	cplx_COMPLEX_Cyb5r3_B5a_pc;cplx_COMPLEX_Cyb5r3_B5b_pc;cplx_MONOMER_Cyb5r3_pc	DPCHR1ERx_L	reverse	pc	cplx_COMPLEX_Cyb5r3_B5a_pc(0);cplx_COMPLEX_Cyb5r3_B5b_pc(0);cplx_MONOMER_Cyb5r3_pc(0)	0;0;0	234000.0
enzyme_ESTRADIOL23Q1ERx_fwd_pc	enzyme_ESTRADIOL23Q1ERx_fwd	cplx_COMPLEX_Cyb5r3_B5a_pc;cplx_COMPLEX_Cyb5r3_B5b_pc;cplx_MONOMER_Cyb5r3_pc	ESTRADIOL23Q1ERx	forward	pc	cplx_COMPLEX_Cyb5r3_B5a_pc(154672.61196395746);cplx_COMPLEX_Cyb5r3_B5b_pc(158521.62997944708);cplx_MONOMER_Cyb5r3_pc(95859.60065079007)	154672.61196395746;158521.62997944708;95859.60065079007	234000.0
enzyme_ESTRADIOL23Q1ERx_rev_pc	enzyme_ESTRADIOL23Q1ERx_rev	cplx_COMPLEX_Cyb5r3_B5a_pc;cplx_COMPLEX_Cyb5r3_B5b_pc;cplx_MONOMER_Cyb5r3_pc	ESTRADIOL23Q1ERx	reverse	pc	cplx_COMPLEX_Cyb5r3_B5a_pc(0);cplx_COMPLEX_Cyb5r3_B5b_pc(0);cplx_MONOMER_Cyb5r3_pc(0)	0;0;0	234000.0
enzyme_ESTRADIOL34Q1ERx_fwd_pc	enzyme_ESTRADIOL34Q1ERx_fwd	cplx_COMPLEX_Cyb5r3_B5a_pc;cplx_COMPLEX_Cyb5r3_B5b_pc;cplx_MONOMER_Cyb5r3_pc	ESTRADIOL34Q1ERx	forward	pc	cplx_COMPLEX_Cyb5r3_B5a_pc(154672.61196395746);cplx_COMPLEX_Cyb5r3_B5b_pc(158521.62997944708);cplx_MONOMER_Cyb5r3_pc(95859.60065079007)	154672.61196395746;158521.62997944708;95859.60065079007	234000.0
enzyme_ESTRADIOL34Q1ERx_rev_pc	enzyme_ESTRADIOL34Q1ERx_rev	cplx_COMPLEX_Cyb5r3_B5a_pc;cplx_COMPLEX_Cyb5r3_B5b_pc;cplx_MONOMER_Cyb5r3_pc	ESTRADIOL34Q1ERx	reverse	pc	cplx_COMPLEX_Cyb5r3_B5a_pc(0);cplx_COMPLEX_Cyb5r3_B5b_pc(0);cplx_MONOMER_Cyb5r3_pc(0)	0;0;0	234000.0
enzyme_ESTRONE23Q1ERx_fwd_pc	enzyme_ESTRONE23Q1ERx_fwd	cplx_COMPLEX_Cyb5r3_B5a_pc;cplx_COMPLEX_Cyb5r3_B5b_pc;cplx_MONOMER_Cyb5r3_pc	ESTRONE23Q1ERx	forward	pc	cplx_COMPLEX_Cyb5r3_B5a_pc(154672.61196395746);cplx_COMPLEX_Cyb5r3_B5b_pc(158521.62997944708);cplx_MONOMER_Cyb5r3_pc(95859.60065079007)	154672.61196395746;158521.62997944708;95859.60065079007	234000.0
enzyme_ESTRONE23Q1ERx_rev_pc	enzyme_ESTRONE23Q1ERx_rev	cplx_COMPLEX_Cyb5r3_B5a_pc;cplx_COMPLEX_Cyb5r3_B5b_pc;cplx_MONOMER_Cyb5r3_pc	ESTRONE23Q1ERx	reverse	pc	cplx_COMPLEX_Cyb5r3_B5a_pc(0);cplx_COMPLEX_Cyb5r3_B5b_pc(0);cplx_MONOMER_Cyb5r3_pc(0)	0;0;0	234000.0
enzyme_ESTRONE34Q1ERx_fwd_pc	enzyme_ESTRONE34Q1ERx_fwd	cplx_COMPLEX_Cyb5r3_B5a_pc;cplx_COMPLEX_Cyb5r3_B5b_pc;cplx_MONOMER_Cyb5r3_pc	ESTRONE34Q1ERx	forward	pc	cplx_COMPLEX_Cyb5r3_B5a_pc(154672.61196395746);cplx_COMPLEX_Cyb5r3_B5b_pc(158521.62997944708);cplx_MONOMER_Cyb5r3_pc(95859.60065079007)	154672.61196395746;158521.62997944708;95859.60065079007	234000.0
enzyme_ESTRONE34Q1ERx_rev_pc	enzyme_ESTRONE34Q1ERx_rev	cplx_COMPLEX_Cyb5r3_B5a_pc;cplx_COMPLEX_Cyb5r3_B5b_pc;cplx_MONOMER_Cyb5r3_pc	ESTRONE34Q1ERx	reverse	pc	cplx_COMPLEX_Cyb5r3_B5a_pc(0);cplx_COMPLEX_Cyb5r3_B5b_pc(0);cplx_MONOMER_Cyb5r3_pc(0)	0;0;0	234000.0
