enzyme	complex	complex_keff	compartment	reactions	direction
enzyme_OXYHBPX_fwd	cplx_MONOMER_Hba_a1	51496.052144351714	pc	OXYHBPX	h2o2_c + oxyhb_c --> h2o_c + o2_c + oxoferrylhb_c
enzyme_OXYHBPX_fwd	cplx_MONOMER_Hba_x	54409.782576942736	pc	OXYHBPX	h2o2_c + oxyhb_c --> h2o_c + o2_c + oxoferrylhb_c
enzyme_OXYHBPX_fwd	cplx_MONOMER_Hbb_b1	53414.549591149844	pc	OXYHBPX	h2o2_c + oxyhb_c --> h2o_c + o2_c + oxoferrylhb_c
enzyme_OXYHBPX_fwd	cplx_MONOMER_Hbb_b2	53513.34087630099	pc	OXYHBPX	h2o2_c + oxyhb_c --> h2o_c + o2_c + oxoferrylhb_c
enzyme_OXYHBPX_fwd	cplx_MONOMER_Hbb_bh0	54789.15133579838	pc	OXYHBPX	h2o2_c + oxyhb_c --> h2o_c + o2_c + oxoferrylhb_c
enzyme_OXYHBPX_fwd	cplx_MONOMER_Hbb_bh1	55065.282487539116	pc	OXYHBPX	h2o2_c + oxyhb_c --> h2o_c + o2_c + oxoferrylhb_c
enzyme_OXYHBPX_fwd	cplx_MONOMER_Hbb_y	54165.015325528504	pc	OXYHBPX	h2o2_c + oxyhb_c --> h2o_c + o2_c + oxoferrylhb_c
enzyme_OXYHBPX_rev	cplx_MONOMER_Hba_a1	0	pc	OXYHBPX	h2o2_c + oxyhb_c <-- h2o_c + o2_c + oxoferrylhb_c
enzyme_OXYHBPX_rev	cplx_MONOMER_Hba_x	0	pc	OXYHBPX	h2o2_c + oxyhb_c <-- h2o_c + o2_c + oxoferrylhb_c
enzyme_OXYHBPX_rev	cplx_MONOMER_Hbb_b1	0	pc	OXYHBPX	h2o2_c + oxyhb_c <-- h2o_c + o2_c + oxoferrylhb_c
enzyme_OXYHBPX_rev	cplx_MONOMER_Hbb_b2	0	pc	OXYHBPX	h2o2_c + oxyhb_c <-- h2o_c + o2_c + oxoferrylhb_c
enzyme_OXYHBPX_rev	cplx_MONOMER_Hbb_bh0	0	pc	OXYHBPX	h2o2_c + oxyhb_c <-- h2o_c + o2_c + oxoferrylhb_c
enzyme_OXYHBPX_rev	cplx_MONOMER_Hbb_bh1	0	pc	OXYHBPX	h2o2_c + oxyhb_c <-- h2o_c + o2_c + oxoferrylhb_c
enzyme_OXYHBPX_rev	cplx_MONOMER_Hbb_y	0	pc	OXYHBPX	h2o2_c + oxyhb_c <-- h2o_c + o2_c + oxoferrylhb_c
enzyme_P5CRx_fwd	cplx_HOMODECAMER_Pycr3	469332.99691948225	pc	P5CRx	1pyr5c__L_c + 2.0 h_c + nadh_c --> nad_c + pro__L_c
enzyme_P5CRx_rev	cplx_HOMODECAMER_Pycr3	0	pc	P5CRx	1pyr5c__L_c + 2.0 h_c + nadh_c <-- nad_c + pro__L_c
enzyme_P5CRy_fwd	cplx_HOMODECAMER_Pycr3	469332.99691948225	pc	P5CRy	1pyr5c__L_c + 2.0 h_c + nadph_c --> nadp_c + pro__L_c
