enzyme	complex	complex_keff	compartment	reactions	direction
enzyme_PENMT1_fwd	cplx_MONOMER_Pemt	69689.57742724304	pc	PENMT1	amet__L_c + pe_hs_c --> ahcys__L_c + h_c + penme_hs_c
enzyme_PENMT1_rev	cplx_MONOMER_Pemt	0	pc	PENMT1	amet__L_c + pe_hs_c <-- ahcys__L_c + h_c + penme_hs_c
enzyme_PENMT2_fwd	cplx_MONOMER_Pemt	69689.57742724304	pc	PENMT2	amet__L_c + penme_hs_c --> ahcys__L_c + h_c + penme2_hs_c
enzyme_PENMT2_rev	cplx_MONOMER_Pemt	0	pc	PENMT2	amet__L_c + penme_hs_c <-- ahcys__L_c + h_c + penme2_hs_c
enzyme_PENMT3_fwd	cplx_MONOMER_Pemt	69689.57742724304	pc	PENMT3	amet__L_c + penme2_hs_c --> ahcys__L_c + h_c + pc_hs_c
enzyme_PENMT3_rev	cplx_MONOMER_Pemt	0	pc	PENMT3	amet__L_c + penme2_hs_c <-- ahcys__L_c + h_c + pc_hs_c
enzyme_PEPCK_fwd	cplx_MONOMER_Pck1	161665.95323988344	pc	PEPCK	gtp_c + oaa_c --> co2_c + gdp_c + pep_c
enzyme_PEPCK_rev	cplx_MONOMER_Pck1	0	pc	PEPCK	gtp_c + oaa_c <-- co2_c + gdp_c + pep_c
enzyme_PEPLA2_fwd	cplx_MONOMER_Abhd16a	150596.85587009758	pc	PEPLA2	h2o_c + pe_hs_c --> FA_hs_c + h_c + lpe_hs_c
enzyme_PEPLA2_fwd	cplx_MONOMER_Pla2g4a	188655.56565882146	pc	PEPLA2	h2o_c + pe_hs_c --> FA_hs_c + h_c + lpe_hs_c
enzyme_PEPLA2_fwd	cplx_MONOMER_Pla2g4b	194001.46789843554	pc	PEPLA2	h2o_c + pe_hs_c --> FA_hs_c + h_c + lpe_hs_c
enzyme_PEPLA2_rev	cplx_MONOMER_Abhd16a	0	pc	PEPLA2	h2o_c + pe_hs_c <-- FA_hs_c + h_c + lpe_hs_c
enzyme_PEPLA2_rev	cplx_MONOMER_Pla2g4a	0	pc	PEPLA2	h2o_c + pe_hs_c <-- FA_hs_c + h_c + lpe_hs_c
enzyme_PEPLA2_rev	cplx_MONOMER_Pla2g4b	0	pc	PEPLA2	h2o_c + pe_hs_c <-- FA_hs_c + h_c + lpe_hs_c
enzyme_PEPPLA2_fwd	cplx_HOMODIMER_Prdx6	125990.37218784784	pc	PEPPLA2	h2o_c + pep_hs_c --> FA_hs_c + h_c + lpep_hs_c
