	UniProt	IPI	GI	UniParc
1059	Q53FA7	IPI00384643		
1060	Q53FE8		5531827	
1061	Q53FT3	IPI00410091		
1062	Q53FW2		62897899	
1063	Q53FX5		62897873	
1064	Q53GD8		62897547	
1065	Q53GL7	IPI00064457		
1066	Q53GQ0	IPI00007676		
1067	Q53H82	IPI00006952		
1068	Q53HW0		62896499	
1069	Q53RX3		10190746	
1070	Q53T59	IPI00328868		
1071	Q53TN2		20381082	
1072	Q53TN4	IPI00100199	10440158	
1073	Q53X12		18653904	
1074	Q53XC0		12803385	
1075	Q53XC2		7657058	
1076	Q53XM7		4759302	
1077	Q548N1		17939518	
1078	Q562R1	IPI00003269		
1079	Q58WW2	IPI00157836		
1080	Q59GN6		31657101	
1081	Q5D862	IPI00397801	59939295	
1082	Q5EBM0	IPI00410404		
1083	Q5FWY2		18426900	
1084	Q5H9R7	IPI00030624	76780104	
1085	Q5H9U9	IPI00853133		
1086	Q5HYI8		18088572	
1087	Q5JSH3	IPI00444371	31874225	
1088	Q5JXB2	IPI00376844		
1089	Q5JYT7	IPI00304549		
1090	Q5QJ74	IPI00166956		
1091	Q5R372	IPI00396010		
1092	Q5R3I4	IPI00550644		
1093	Q5SRE5	IPI00385001		
1094	Q5T0D9	IPI00413578		
1095	Q5T0N5	IPI00028718		
1096	Q5T1M5	IPI00853400		
1097	Q5T447	IPI00456642		
1098	Q5T4S7	IPI00180305;IPI00646605	19070472	
1099	Q5T6V5	IPI00170972		
1100	Q5TA50	IPI00455408		
1101	Q5TC63		38566150	
1102	Q5TDH0	IPI00031618;IPI00796836	62955833	
1103	Q5U077		54696396	
1104	Q5U091		54696336	
1105	Q5U0A0		54696300	
1106	Q5U0C3		54696200	
1107	Q5U0F4		54696064	
1108	Q5U0P9		54695646	
1109	Q5VUG0	IPI00010970		
1110	Q5VVQ6	IPI00183503;IPI00644473		
1111	Q5VW32	IPI00065500		
1112	Q5VW36	IPI00748360		
1113	Q5VWP2	IPI00646224		
1114	Q5VYK3		61212960	
1115	Q5XPI4	IPI00335085;IPI00783374	37588869	
1116	Q66K74	IPI00296485		
1117	Q68D91		42822880	
1118	Q68EM7	IPI00064767		
1119	Q6B0K9	IPI00456238		
1120	Q6DD88		10435296	
1121	Q6DN90	IPI00457114		
1122	Q6FGX9		4502011	
1123	Q6FHS4		18044282	
1124	Q6FHY4		4505331	
1125	Q6FI23		21618349	
1126	Q6FI81	IPI00387130;IPI00513770		
1127	Q6FIB4		54697068	
1128	Q6GMV2	IPI00013789	1245372	
1129	Q6GMV3	IPI00430803		
1130	Q6IA69	IPI00306689	13177721	
1131	Q6IAA8	IPI00016670		
1132	Q6IAN0		13278690	
1133	Q6IAT9		12654059	
1134	Q6IBS0	IPI00550917		
1135	Q6IBT3		48145555	
1136	Q6ICL3	IPI00168034;IPI00395547		
1137	Q6IPS9		23468343	
1138	Q6L8Q7	IPI00174390	47826687	
1139	Q6NW29	IPI00103252		
1140	Q6NXT1	IPI00025746		
1141	Q6NYC1	IPI00375496		
1142	Q6P0Y1		41107636	
1143	Q6P1A2	IPI00306419		
1144	Q6P1N0	IPI00302647	31455459	
1145	Q6P1N9	IPI00012463	14042943	
1146	Q6P587	IPI00552360		
1147	Q6P597	IPI00465074		
1148	Q6P6D7		38566176	
1149	Q6PCE3	IPI00173346		
1150	Q6PD74	IPI00100193		
1151	Q6PGP7	IPI00005634		
1152	Q6PHR2	IPI00411818		
1153	Q6PIU2		68051721	
1154	Q6PKD3		4506467	
1155	Q6PKG0	IPI00185919		
1156	Q6PL24	IPI00292812		
1157	Q6PUJ7		46360168	
1158	Q6RW13	IPI00102501		
1159	Q6UWE0	IPI00289113		
1160	Q6UWP2	IPI00034280	55670856	
1161	Q6UWP8	IPI00373937		
1162	Q6VN20	IPI00039864		
1163	Q6VY07	IPI00376229		
1164	Q6XQN6	IPI00465085	37787307	
1165	Q6ZN66	IPI00375746		
1166	Q6ZQQ6	IPI00397715		
1167	Q6ZVM7	IPI00446294		
1168	Q6ZVX7	IPI00247167		
1169	Q709C8	IPI00465428		
1170	Q712K3	IPI00418603		
1171	Q71DI3	IPI00171611		
1172	Q71U36	IPI00180675		
1173	Q71UI9	IPI00018278		
1174	Q7KZF4	IPI00140420		
1175	Q7L576	IPI00644231		
1176	Q7L5D6		4680679	
1177	Q7L5N1	IPI00163230	34147637	
1178	Q7L5Y1	IPI00300601		
1179	Q7L5Y9	IPI00845303		
1180	Q7L9L4	IPI00514212		
1181	Q7LBR1	IPI00156984	41946888	
1182	Q7Z2W4	IPI00332936		
1183	Q7Z309	IPI00152151		
1184	Q7Z3C6	IPI00383396		
1185	Q7Z3U7	IPI00797186		
1186	Q7Z4H3	IPI00386751		
1187	Q7Z4W1	IPI00448095	7705925	
1188	Q7Z4X0		33150758	
1189	Q7Z5U6	IPI00063389		
1190	Q7Z629		31565754	
1191	Q7Z6Z7	IPI00445401	56417899	
1192	Q86SZ2	IPI00384047		
1193	Q86T03	IPI00030530		
1194	Q86TI2		89954290	
1195	Q86TP1	IPI00166931		
1196	Q86UX7	IPI00216699;IPI00397834	28626504	
1197	Q86V88	IPI00337556		
1198	Q86VN1	IPI00328932		
1199	Q86VP6	IPI00100160;IPI00604431		
1200	Q86VQ1	IPI00021595		
1201	Q86VX4		28958118	
1202	Q86WQ0	IPI00791711		
1203	Q86X55	IPI00412880		
1204	Q86X76	IPI00023779;IPI00456663;IPI00456665	31657101	
1205	Q86YS7	IPI00465142		
1206	Q86YT6	IPI00183054		
1207	Q86YZ3	IPI00398625		
1208	Q8IUI8	IPI00295387	4884627	
1209	Q8IVD9	IPI00238209		
1210	Q8IWB7	IPI00024283		
1211	Q8IWD4	IPI00641570		
1212	Q8IWT0	IPI00217375		
1213	Q8IWV7	IPI00217405		
1214	Q8IXJ6	IPI00179109		
1215	Q8IXQ3	IPI00017504		
1216	Q8IY17	IPI00217600		
1217	Q8IY81	IPI00217686		
1218	Q8IYU2	IPI00337371		
1219	Q8IZ07	IPI00217831		
1220	Q8IZ21	IPI00217851		
1221	Q8IZ81		24308456	
1222	Q8IZ83	IPI00217920	18676620	
1223	Q8N0W3	IPI00418741		
1224	Q8N122	IPI00166044		
1225	Q8N1G4	IPI00170935		
1226	Q8N1K8		56549123	
1227	Q8N370	IPI00171004		
1228	Q8N392	IPI00296353		
1229	Q8N3D4	IPI00296421		
1230	Q8N3F0	IPI00166546		
1231	Q8N4P3	IPI00789618		
1232	Q8N5C8	IPI00166840		
1233	Q8N5K1	IPI00166865		
1234	Q8N5M4	IPI00175096		
1235	Q8N6N2	IPI00410309		
1236	Q8N6N5		20809886	
1237	Q8N6T3	IPI00449160		
1238	Q8N9N7	IPI00470576		
1239	Q8NB15	IPI00479134		
1240	Q8NB37	IPI00168112		
1241	Q8NB49		40316839	
1242	Q8NBF2	IPI00301051		
1243	Q8NC96	IPI00170916		
1244	Q8ND76		15788437	
1245	Q8NDC0	IPI00171527		
1246	Q8NDH3	IPI00100292		
1247	Q8NE71	IPI00013495		
1248	Q8NEZ2	IPI00302660		
1249	Q8NF37	IPI00171626		
1250	Q8NFF5	IPI00220299		
1251	Q8NG06	IPI00464988		
1252	Q8NG11	IPI00165394		
1253	Q8NHG7	IPI00169259		
1254	Q8TAC1	IPI00152031		
1255	Q8TAC2	IPI00152032		
1256	Q8TAF6		19911772	
1257	Q8TAT6	IPI00001676		
1258	Q8TB03	IPI00152089		
1259	Q8TBC4	IPI00328154		
1260	Q8TBX8	IPI00152303		
1261	Q8TCA0	IPI00152330		
1262	Q8TCF1	IPI00291064		
1263	Q8TCT1	IPI00152434	30425420	
1264	Q8TDB8		23592238	
1265	Q8TEA8	IPI00152692		
1266	Q8TEB1	IPI00178972;IPI00328589	31657101	
1267	Q8TEH3	IPI00170641		
1268	Q8TEX9	IPI00156374		
1269	Q8TF05	IPI00411730		
1270	Q8TF65	IPI00328296		
1271	Q8TF72	IPI00152881		
1272	Q8WU79	IPI00102856		
1273	Q8WUA2	IPI00642862		
1274	Q8WUD1	IPI00102896	21361884	
1275	Q8WUM4	IPI00246058		
1276	Q8WUX2	IPI00103047		
1277	Q8WUX9	IPI00395463		
1278	Q8WUY1	IPI00171421		
1279	Q8WV19	IPI00155634		
1280	Q8WVE0	IPI00103104		
1281	Q8WVJ2	IPI00103142		
1282	Q8WVL7	IPI00549612		
1283	Q8WVM8	IPI00165261	5730482	
1284	Q8WVY7	IPI00291669		
1285	Q8WW22	IPI00465105		
1286	Q8WXX5	IPI00154975		
1287	Q8WYN0	IPI00292327		
1288	Q8WZ42	IPI00179357		
1289	Q8WZ73	IPI00103867		
1290	Q8WZA9	IPI00103925		
1291	Q92530	IPI00009949		
1292	Q92539	IPI00021956		
1293	Q92542	IPI00021983		
1294	Q92576	IPI00170770		
1295	Q92598	IPI00218993;IPI00513743		
1296	Q92614		33301318	
1297	Q92688		5454088	
1298	Q92696	IPI00022664		
1299	Q92783	IPI00020178		
1300	Q92804	IPI00020194		
1301	Q92835	IPI00329213		
1302	Q92878	IPI00107531		
1303	Q92882	IPI00414836		
1304	Q92890	IPI00218292		
1305	Q92905	IPI00009958		
1306	Q92928	IPI00374519		
1307	Q92930	IPI00024282	7706563	
1308	Q92934	IPI00024291		
1309	Q92945	IPI00479786		
1310	Q92963		5902050	
1311	Q92973	IPI00024364		
1312	Q92990	IPI00074604		
1313	Q93008	IPI00003964		
1314	Q93009	IPI00003965		
1315	Q93045	IPI00218667		
1316	Q93070	IPI00004065		
1317	Q93096	IPI00020164		
1318	Q93100	IPI00181893		
1319	Q969E2	IPI00056310		
1320	Q969E8	IPI00056314		
1321	Q969F1	IPI00056318		
1322	Q969R2	IPI00746936	13540513	
1323	Q969T9	IPI00032050		
1324	Q969U7	IPI00644482	48146479	
1325	Q969X1	IPI00290452		
1326	Q96A49	IPI00059242		
1327	Q96AE4	IPI00375441	17402900	
1328	Q96AJ9	IPI00059472		
1329	Q96AT9	IPI00335280;IPI00373788		
1330	Q96AZ6	IPI00647246	30582743	
1331	Q96B36	IPI00549786		
1332	Q96B54	IPI00059764		
1333	Q96BJ3	IPI00303602		
1334	Q96BN8	IPI00101734		
1335	Q96C19	IPI00060181		
1336	Q96CD2	IPI00303962		
1337	Q96CN7	IPI00304082		
1338	Q96CT7	IPI00060627		
1339	Q96CV9	IPI00304189	15530203	
1340	Q96CW1	IPI00022256		
1341	Q96CW6	IPI00304198		
1342	Q96DG6	IPI00383046		
1343	Q96E09	IPI00061087		
1344	Q96E39		21361809	
1345	Q96EP5	IPI00165230		
1346	Q96F24	IPI00384236		
1347	Q96F85	IPI00073958	37720823	
1348	Q96FJ2	IPI00062037		
1349	Q96FQ6	IPI00062120		
1350	Q96FV2	IPI00062266		
1351	Q96FX2	IPI00401015		
1352	Q96FZ7		37362122	
1353	Q96G03	IPI00550364		
1354	Q96G74	IPI00640364		
1355	Q96GD0	IPI00025340		
1356	Q96GG9	IPI00291893	18700658	
1357	Q96GQ7	IPI00293078		
1358	Q96H20	IPI00101524;IPI00640699	21361380	
1359	Q96H79	IPI00062866	14250746	
1360	Q96HR8	IPI00063219		
1361	Q96HW7	IPI00446765		
1362	Q96IG2		27692215	
1363	Q96IJ6	IPI00101782		
