	UniProt	IPI	GI	UniParc
1572	Q9NS86	IPI00032995		
1573	Q9NSJ5		7705893	
1574	Q9NSK0	IPI00398812		
1575	Q9NSY1	IPI00337426		
1576	Q9NT62	IPI00022254;IPI00449201	45708793	
1577	Q9NTJ3	IPI00411559		
1578	Q9NTJ5	IPI00022275	8894612	
1579	Q9NTK5	IPI00216105;IPI00290416	33150754	
1580	Q9NTX5	IPI00302688;IPI00550928		
1581	Q9NUP9	IPI00019997		
1582	Q9NUQ9	IPI00303318	46946997	
1583	Q9NVG8	IPI00647082		
1584	Q9NVM6	IPI00018798		
1585	Q9NVS9	IPI00018272		
1586	Q9NVZ3	IPI00018188		
1587	Q9NW68	IPI00414093		
1588	Q9NWU2	IPI00016634		
1589	Q9NWV4	IPI00016605		
1590	Q9NWV8	IPI00101987		
1591	Q9NWX6	IPI00016559		
1592	Q9NWZ3	IPI00007641		
1593	Q9NX46	IPI00015865		
1594	Q9NXA8	IPI00010331		
1595	Q9NXG2	IPI00550243		
1596	Q9NXR1	IPI00014893;IPI00759601		
1597	Q9NXR7	IPI00149276		
1598	Q9NXU5		9506653	
1599	Q9NY33	IPI00020672	12655179	
1600	Q9NYB0	IPI00008961		
1601	Q9NYT0	IPI00009302		
1602	Q9NYU2	IPI00024466		
1603	Q9NZ09	IPI00301305		
1604	Q9NZ32	IPI00302690		
1605	Q9NZ43	IPI00020515		
1606	Q9NZ52	IPI00021174		
1607	Q9NZD4	IPI00010257		
1608	Q9NZJ9	IPI00607685		
1609	Q9NZL9	IPI00002324		
1610	Q9NZT1	IPI00021536		
1611	Q9NZW5		21361598	
1612	Q9NZZ3	IPI00100796		
1613	Q9P000	IPI00305212		
1614	Q9P0J7	IPI00306661		
1615	Q9P0L0	IPI00170692	54696104	
1616	Q9P0R6	IPI00009374		
1617	Q9P1U1	IPI00007068		
1618	Q9P1Z2	IPI00011232		
1619	Q9P265	IPI00465045		
1620	Q9P287	IPI00002203		
1621	Q9P2J5	IPI00103994		
1622	Q9P2R3	IPI00159899		
1623	Q9P2T1	IPI00009844;IPI00433025		
1624	Q9P2X3	IPI00020451		
1625	Q9UBC9	IPI00082931		
1626	Q9UBF6	IPI00033132		
1627	Q9UBG3	IPI00297056		
1628	Q9UBP0	IPI00002707		
1629	Q9UBQ0	IPI00170796		
1630	Q9UBQ5	IPI00033143		
1631	Q9UBQ7	IPI00037448		
1632	Q9UBS8	IPI00003606		
1633	Q9UBS9	IPI00003441		
1634	Q9UBV8	IPI00018235		
1635	Q9UBW8	IPI00301419		
1636	Q9UDX3	IPI00004815		
1637	Q9UDY4	IPI00003848	6631085	
1638	Q9UEU0		5454166	
1639	Q9UEY8	IPI00004408	1621033	
1640	Q9UGI8	IPI00024097;IPI00216425		
1641	Q9UH17	IPI00005531		
1642	Q9UH65	IPI00307200		
1643	Q9UHC7	IPI00033350		
1644	Q9UHD1	IPI00015897		
1645	Q9UHD9	IPI00409659		
1646	Q9UHJ6	IPI00005914		
1647	Q9UHV9	IPI00006052		
1648	Q9UHW9	IPI00220151		
1649	Q9UHY1	IPI00604756		
1650	Q9UHY7	IPI00038378		
1651	Q9UI10	IPI00005979		
1652	Q9UI12	IPI00296191;IPI00414079		
1653	Q9UI15	IPI00005981		
1654	Q9UI26	IPI00301107		
1655	Q9UIA9	IPI00302458	6650214	
1656	Q9UIC8	IPI00414463		
1657	Q9UIM3	IPI00032110		
1658	Q9UIQ6	IPI00221240		
1659	Q9UJU6	IPI00101968;IPI00396437;IPI00456925	21361670	
1660	Q9UJW0	IPI00550852	7705893	
1661	Q9UJX4	IPI00008247		
1662	Q9UK41	IPI00007155		
1663	Q9UK45	IPI00007163		
1664	Q9UK76	IPI00007764;IPI00384857		
1665	Q9UKK9	IPI00296913		
1666	Q9UKT5	IPI00073357		
1667	Q9UKU0		57165410	
1668	Q9UKV3	IPI00007334		
1669	Q9UKV8	IPI00745433	19879661	
1670	Q9UKX7	IPI00026940		
1671	Q9UKY7	IPI00014197;IPI00798278		
1672	Q9UL15	IPI00007731		
1673	Q9UL25	IPI00007755		
1674	Q9UL26	IPI00007756		
1675	Q9UL33	IPI00007819		
1676	Q9UL46		13325110	
1677	Q9ULC3		20379078	
1678	Q9ULC4	IPI00179026		
1679	Q9ULH1	IPI00376976	46094081	
1680	Q9ULP9	IPI00297333		
1681	Q9UMR2	IPI00008943		
1682	Q9UMX0	IPI00071180;IPI00099550		
1683	Q9UMY4	IPI00438170;IPI00844112		
1684	Q9UN37	IPI00411356		
1685	Q9UN86	IPI00009057		
1686	Q9UNF0	IPI00027009		
1687	Q9UNM6	IPI00375380		
1688	Q9UNN5	IPI00070643		
1689	Q9UNP9	IPI00009316		
1690	Q9UNQ0	IPI00298214	31323260	
1691	Q9UNS2	IPI00025721		
1692	Q9UNW1	IPI00028553	4105505	
1693	Q9UNZ2	IPI00022830;IPI00100197;IPI00397571	15277588	
1694	Q9UPN7		38114787	
1695	Q9UQ10	IPI00004470		
1696	Q9UQ80	IPI00299000		
1697	Q9UQN3	IPI00550181		
1698	Q9Y230	IPI00009104	12653319	
1699	Q9Y235	IPI00009550		
1700	Q9Y237	IPI00006658		
1701	Q9Y244	IPI00006377		
1702	Q9Y248	IPI00007146		
1703	Q9Y263	IPI00218465		
1704	Q9Y265	IPI00021187;IPI00788942	15277588	
1705	Q9Y266	IPI00550746		
1706	Q9Y277	IPI00031804		
1707	Q9Y285	IPI00031820		
1708	Q9Y2G3		62632750	
1709	Q9Y2H1	IPI00237011		
1710	Q9Y2Q0	IPI00032402		
1711	Q9Y2V2	IPI00304409		
1712	Q9Y2Z0	IPI00828150		
1713	Q9Y315	IPI00219677		
1714	Q9Y316	IPI00032426		
1715	Q9Y333	IPI00032460		
1716	Q9Y371	IPI00006558		
1717	Q9Y376	IPI00032561		
1718	Q9Y3A5	IPI00427330	28416940	
1719	Q9Y3B3	IPI00032825		
1720	Q9Y3B8	IPI00032830;IPI00217330		
1721	Q9Y3C4	IPI00301432		
1722	Q9Y3C6	IPI00007019		
1723	Q9Y3C8	IPI00294495		
1724	Q9Y3D6	IPI00007052		
1725	Q9Y3D8	IPI00032879		
1726	Q9Y3E0	IPI00007061		
1727	Q9Y3E7	IPI00100673		
1728	Q9Y3I1	IPI00294567		
1729	Q9Y3L5	IPI00009607		
1730	Q9Y3Q8	IPI00000171		
1731	Q9Y3S2	IPI00004942		
1732	Q9Y3T6	IPI00000264		
1733	Q9Y3X0	IPI00177642		
1734	Q9Y450	IPI00009070		
1735	Q9Y478	IPI00220409		
1736	Q9Y484	IPI00026634		
1737	Q9Y490	IPI00298994		
1738	Q9Y4D1	IPI00337800	21071077	
1739	Q9Y4E8	IPI00000728		
1740	Q9Y4G6	IPI00219299		
1741	Q9Y4P1	IPI00554649		
1742	Q9Y4P8	IPI00024056		
1743	Q9Y4X5	IPI00294943		
1744	Q9Y4Y9	IPI00220493		
1745	Q9Y4Z0	IPI00294955		
1746	Q9Y4Z2	IPI00025789		
1747	Q9Y508	IPI00032955		
1748	Q9Y570	IPI00007694		
1749	Q9Y587	IPI00001145		
1750	Q9Y5K5	IPI00219512;IPI00219513;IPI00299313;IPI00549820	56208507	
1751	Q9Y5K6	IPI00412771		
1752	Q9Y5K8	IPI00001568	5138993	
1753	Q9Y5L0	IPI00395694		
1754	Q9Y5P6	IPI00002496;IPI00030920		
1755	Q9Y5S9	IPI00001757		
1756	Q9Y5U2	IPI00305144		
1757	Q9Y5X1	IPI00001883	13477131	
1758	Q9Y5X2	IPI00001885		
1759	Q9Y5X3	IPI00295209		
1760	Q9Y5Y2	IPI00644674		
1761	Q9Y5Z4	IPI00003799		
1762	Q9Y606	IPI00001716		
1763	Q9Y613	IPI00001730	5106956	
1764	Q9Y624	IPI00001754		
1765	Q9Y639	IPI00011578		
1766	Q9Y666	IPI00008616		
1767	Q9Y696	IPI00001960		
1768	Q9Y6A4	IPI00001655		
1769	Q9Y6B6	IPI00002149		
1770	Q9Y6D5	IPI00002186		
1771	Q9Y6E2	IPI00022305		
1772	Q9Y6G5	IPI00412811		
1773	Q9Y6M5	IPI00002483		
1774	Q9Y6Y8	IPI00026969		
1775	V9HVY3		21361657	
1776	V9HW12		77744389	
1777	V9HW13		29791785	
1778	V9HW21		179780	
1779	V9HW22		16741727	
1780	V9HW37		24307939	
1781	V9HW43		54696638	
1782	V9HW51		12654637	
1783	V9HW71		75517652	
1784	V9HW72		54696884	
1785	V9HW88		14043949	
1786	V9HW89		19263809	
1787	V9HW96		54696794	
1788	V9HWB4		16507237	
1789	V9HWC0		16878176	
1790	V9HWC7		77744395	
1791	V9HWD6		4507949	
1792	V9HWF4		41350401	
1793	V9HWG3		50593093	
1794	V9HWH7		20127454	
1795	V9HWI1		32891807	
1796	V9HWP2		4507677	
1797		IPI00000059		
1798		IPI00000495		
1799		IPI00000552		
1800		IPI00000581		
1801		IPI00000634		
1802		IPI00001352		
1803		IPI00001856		
1804		IPI00001890		
1805		IPI00002230		
1806		IPI00002335		
1807		IPI00002459		
1808		IPI00002495		
1809		IPI00002505		
1810		IPI00002874		
1811		IPI00004501		
1812		IPI00004872		
1813		IPI00005202		
1814		IPI00006093		
1815		IPI00006664		
1816		IPI00006812		
1817		IPI00007619		
1818		IPI00009023		
1819		IPI00010292		
1820		IPI00011654		
1821		IPI00011964		
1822		IPI00012507		
1823		IPI00014555		
1824		IPI00014919		
1825		IPI00015948		
1826		IPI00018287		
1827		IPI00000060	56208507	
1828		IPI00844329	56208507	
1829		IPI00020984		
1830		IPI00021089		
1831		IPI00021716		
1832		IPI00021835		
1833		IPI00023068		
1834		IPI00024102		
1835		IPI00025447		
1836		IPI00025899		
1837		IPI00026103		
1838		IPI00026119		
1839		IPI00027499		
1840		IPI00027699		
1841		IPI00029625		
1842		IPI00030296		
1843		IPI00030385		
1844		IPI00032013		
1845		IPI00039665		
1846		IPI00099585		
1847		IPI00100081		
1848		IPI00100137		
1849		IPI00107117		
1850		IPI00154755		
1851		IPI00156774		
1852		IPI00158625		
1853		IPI00163147		
1854		IPI00164623		
1855		IPI00167359		
1856		IPI00168479		
1857		IPI00178056		
1858		IPI00179291		
1859		IPI00180627		
1860		IPI00181260		
1861		IPI00181352		
1862		IPI00181727		
1863		IPI00186072		
1864		IPI00215736		
1865		IPI00216299		
1866		IPI00216403		
1867		IPI00216633		
1868		IPI00218718		
1869		IPI00218816		
1870		IPI00219067		
1871		IPI00219096		
1872		IPI00219220		
1873		IPI00220349		
1874		IPI00220526		
1875		IPI00220617		
1876		IPI00220859		
1877		IPI00220991		
1878		IPI00221017		
1879		IPI00221225		
1880		IPI00245171		
1881		IPI00290439		
1882		IPI00291633		
1883		IPI00291936		
1884		IPI00296370		
1885		IPI00299186		
1886		IPI00300265		
1887		IPI00302047		
1888		IPI00303565		
1889		IPI00305719		
1890		IPI00328202		
1891		IPI00328602		
1892		IPI00328696		
1893		IPI00329107		
1894		IPI00329565		
1895		IPI00332161		
1896		IPI00375004		
1897		IPI00375400		
1898		IPI00375498		
1899		IPI00376220		
1900		IPI00377005		
1901		IPI00377080		
1902		IPI00377081		
1903		IPI00382894		
1904		IPI00383758		
1905		IPI00383828		
1906		IPI00384369		
1907		IPI00384742		
1908		IPI00385005		
1909		IPI00385058		
1910		IPI00385257		
1911		IPI00385392		
1912		IPI00386604		
1913		IPI00386621		
1914		IPI00386635		
1915		IPI00386741		
1916		IPI00394838		
1917		IPI00395625		
1918		IPI00395748		
1919		IPI00395757		
1920		IPI00395939		
1921		IPI00396082		
1922		IPI00397187		
1923		IPI00397590		
1924		IPI00397808		
1925		IPI00398088		
1926		IPI00398958		
1927		IPI00399037		
1928		IPI00401614		
1929		IPI00409606		
1930		IPI00410162		
1931		IPI00411329		
1932		IPI00413492		
1933		IPI00413728		
1934		IPI00413778		
1935		IPI00413868		
1936		IPI00414264		
1937		IPI00414312		
1938		IPI00415077		
1939		IPI00418163		
1940		IPI00418313		
1941		IPI00418411		
1942		IPI00418433		
1943		IPI00418813		
1944		IPI00418931		
1945		IPI00419262		
1946		IPI00423460		
1947		IPI00432050		
1948		IPI00442030		
1949		IPI00442282		
1950		IPI00449197		
1951		IPI00450472		
1952		IPI00453476		
1953		IPI00454855		
1954		IPI00455456		
1955		IPI00456919		
1956		IPI00464992		
1957		IPI00465081		
1958		IPI00465148		
1959		IPI00465184		
1960		IPI00470509		
1961		IPI00470813		
1962		IPI00472175		
1963		IPI00472438		
1964		IPI00472476		
1965		IPI00477431		
1966		IPI00477649		
1967		IPI00478345		
1968		IPI00478522		
1969		IPI00479185		
1970		IPI00479235		
1971		IPI00479537		
1972		IPI00513820		
1973		IPI00513879		
1974		IPI00513893		
1975		IPI00514049		
1976		IPI00514108		
1977		IPI00514256		
1978		IPI00514510		
1979		IPI00514530		
1980		IPI00514550		
1981		IPI00514561		
1982		IPI00514587		
1983		IPI00514662		
1984		IPI00514669		
1985		IPI00514772		
1986		IPI00514926		
1987		IPI00514929		
1988		IPI00514944		
1989		IPI00514983		
1990		IPI00549253		
1991		IPI00549319		
1992		IPI00549849		
1993		IPI00550591		
1994		IPI00550682		
1995		IPI00552345		
1996		IPI00552495		
1997		IPI00552590		
1998		IPI00552768		
1999		IPI00553062		
2000		IPI00554767		
2001		IPI00556541		
2002		IPI00604652		
2003		IPI00604676		
2004		IPI00607562		
2005		IPI00607563		
2006		IPI00640101		
2007		IPI00640197		
2008		IPI00640357		
2009		IPI00640372		
2010		IPI00640424		
2011		IPI00640731		
2012		IPI00640741		
2013		IPI00640817		
2014		IPI00641816		
2015		IPI00641881		
2016		IPI00642032		
2017		IPI00642042		
2018		IPI00642168		
2019		IPI00642374		
2020		IPI00642414		
2021		IPI00642457		
2022		IPI00642736		
2023		IPI00642976		
2024		IPI00643325		
2025		IPI00643429		
2026		IPI00643536		
2027		IPI00643653		
2028		IPI00643853		
2029		IPI00643886		
2030		IPI00643915		
2031		IPI00643918		
2032		IPI00644109		
2033		IPI00644343		
2034		IPI00644576		
2035		IPI00644589		
2036		IPI00644968		
2037		IPI00645270		
2038		IPI00645630		
2039		IPI00645711		
2040		IPI00645712		
2041		IPI00645789		
2042		IPI00646118		
2043		IPI00646269		
2044		IPI00646339		
2045		IPI00646350		
2046		IPI00646632		
2047		IPI00646762		
2048		IPI00646869		
2049		IPI00646996		
2050		IPI00647351		
2051		IPI00647400		
2052		IPI00647556		
2053		IPI00647692		
2054		IPI00647915		
2055		IPI00647951		
2056		IPI00651672		
2057		IPI00719366		
2058		IPI00719806		
2059		IPI00737530		
2060		IPI00739613		
2061		IPI00740800		
2062		IPI00742786		
2063		IPI00742926		
2064		IPI00743241		
2065		IPI00743314		
2066		IPI00743573		
2067		IPI00743646		
2068		IPI00743650		
2069		IPI00743713		
2070		IPI00743822		
2071		IPI00744021		
2072		IPI00744274		
2073		IPI00744503		
2074		IPI00744900		
2075		IPI00745246		
2076		IPI00745729		
2077		IPI00745893		
2078		IPI00746205		
2079		IPI00746319		
2080		IPI00746388		
2081		IPI00746694		
2082		IPI00747099		
2083		IPI00747533		
2084		IPI00747740		
2085		IPI00747810		
2086		IPI00748223		
2087		IPI00748256		
2088		IPI00748262		
2089		IPI00749035		
2090		IPI00759657		
2091		IPI00760620		
2092		IPI00760751		
2093		IPI00760909		
2094		IPI00761069		
2095		IPI00761140		
2096		IPI00783060		
2097		IPI00783061		
2098		IPI00783303		
2099		IPI00783554		
2100		IPI00783643		
2101		IPI00783680		
2102		IPI00783778		
2103		IPI00783829		
2104		IPI00783983		
2105		IPI00784120		
2106		IPI00784131		
2107		IPI00784179		
2108		IPI00784273		
2109		IPI00784338		
2110		IPI00784369		
2111		IPI00784382		
2112		IPI00784459		
2113		IPI00784990		
2114		IPI00786914		
2115		IPI00787205		
2116		IPI00787573		
2117		IPI00787709		
2118		IPI00787897		
2119		IPI00787942		
2120		IPI00788215		
2121		IPI00788661		
2122		IPI00788730		
2123		IPI00788802		
2124		IPI00788840		
2125		IPI00789017		
2126		IPI00789107		
2127		IPI00789119		
2128		IPI00789134		
2129		IPI00789401		
2130		IPI00789437		
2131		IPI00789465		
2132		IPI00789477		
2133		IPI00789638		
2134		IPI00789823		
2135		IPI00789847		
2136		IPI00790133		
2137		IPI00790207		
2138		IPI00790321		
2139		IPI00790324		
2140		IPI00790597		
2141		IPI00790633		
2142		IPI00790669		
2143		IPI00790768		
2144		IPI00790856		
2145		IPI00791070		
2146		IPI00791144		
2147		IPI00791204		
2148		IPI00791534		
2149		IPI00791712		
2150		IPI00791810		
2151		IPI00791830		
2152		IPI00791835		
2153		IPI00792352		
2154		IPI00792411		
2155		IPI00792537		
2156		IPI00792641		
2157		IPI00792712		
2158		IPI00792758		
2159		IPI00793015		
2160		IPI00793137		
2161		IPI00793199		
2162		IPI00793319		
2163		IPI00793344		
2164		IPI00793381		
2165		IPI00793670		
2166		IPI00793729		
2167		IPI00793810		
2168		IPI00793912		
2169		IPI00794040		
2170		IPI00794205		
2171		IPI00794211		
2172		IPI00794238		
2173		IPI00794344		
2174		IPI00794402		
2175		IPI00794543		
2176		IPI00794573		
2177		IPI00794575		
2178		IPI00794716		
2179		IPI00794720		
2180		IPI00794900		
2181		IPI00794925		
2182		IPI00794956		
2183		IPI00795037		
2184		IPI00795044		
2185		IPI00795107		
2186		IPI00795358		
2187		IPI00795527		
2188		IPI00795671		
2189		IPI00795797		
2190		IPI00795804		
2191		IPI00795855		
2192		IPI00795953		
2193		IPI00796007		
2194		IPI00796076		
2195		IPI00796216		
2196		IPI00796298		
2197		IPI00796333		
2198		IPI00796337		
2199		IPI00796349		
2200		IPI00796456		
2201		IPI00796459		
2202		IPI00796541		
2203		IPI00796600		
2204		IPI00796657		
2205		IPI00796889		
2206		IPI00796945		
2207		IPI00797124		
2208		IPI00797126		
2209		IPI00797202		
2210		IPI00797249		
2211		IPI00797321		
2212		IPI00797400		
2213		IPI00797482		
2214		IPI00797614		
2215		IPI00797687		
2216		IPI00797899		
2217		IPI00797941		
2218		IPI00798071		
2219		IPI00798082		
2220		IPI00798127		
2221		IPI00798155		
2222		IPI00798256		
2223		IPI00798361		
2224		IPI00798430		
2225		IPI00807329		
2226		IPI00807640		
2227		IPI00816084		
2228		IPI00816267		
2229		IPI00816572		
2230		IPI00816618		
2231		IPI00827636		
2232		IPI00827662		
2233		IPI00827679		
2234		IPI00827743		
2235		IPI00828189		
2236		IPI00829881		
2237		IPI00830010		
2238		IPI00843748		
2239		IPI00843818		
2240		IPI00843857		
2241		IPI00843921		
2242		IPI00844038		
2243		IPI00844133		
2244		IPI00844154		
2245			225711	
2246			227448	
2247			230445	
2248			345717	
2249			515119	
2250			542991	
2251			586208	
2252			913088	
2253			961446	UPI0000073B50
2254			999580	
2255			1096024	
2256			2914478	
2257			4240149	UPI000007133B
2258			4503745	
2259			4504987	
2260			4506559	
2261			4507295	UPI0000161DE1
2262			4507657	UPI0000137276
2263			4758394	
2264			4826770	UPI0000161B7B
2265			4885389	
2266			5902128	UPI00001360A7
2267			7435752	
2268			7705718	
2269			8922069	
2270			8923114	
2271			12751493	UPI00000736FF
2272			13177664	UPI000002B21A
2273			18255274	UPI000013315D
2274			20147697	UPI0000073EBA
2275			27735101	
2276			30911101	
2277			34398361	
2278			34783356	UPI0000000DD9
2279			37588850	
2280			38570091	
2281			40254842	UPI00002132C7
2282			40255041	
2283			41406064	UPI000020093B
2284			47124978	UPI00000703E8
2285			50881968	
2286			55593362	UPI0000000DF4
2287			55638239	
2288			55640605	UPI0000001C1E
2289			55643587	
2290			55958959	UPI000006F8C1
2291			55960369	UPI000013CAD9
2292			55960711	UPI00004589D9
2293			56204677	UPI00000012F5
2294			57165048	UPI000012723D
2295			74047534	
