complex	compartment	subunits	genes	reactions	coefficients	cofactors	notes
cplx_COMPLEX_Hbb_y_Cyb5a	c	protein_Cyb5a;protein_Hbb_y	Cyb5a;Hbb_y	METHBCYTBR	2;1
cplx_COMPLEX_Hbb_y_Cyb5b	c	protein_Cyb5b;protein_Hbb_y	Cyb5b;Hbb_y	METHBCYTBR	2;1
cplx_COMPLEX_Mpst_Txn1	c	protein_Mpst;protein_Txn1	Mpst;Txn1	MCPST3	1;2
cplx_COMPLEX_Mpst_Txndc17	c	protein_Mpst;protein_Txndc17	Mpst;Txndc17	MCPST3	1;2
cplx_COMPLEX_Mpst_Txnl1	c	protein_Mpst;protein_Txnl1	Mpst;Txnl1	MCPST3	1;2
cplx_COMPLEX_Pik3c3_Atg14	c	protein_Atg14;protein_Becn1;protein_Pik3c3;protein_Pik3r4	Atg14;Becn1;Pik3c3;Pik3r4	PI3K	1;1;1;1
cplx_COMPLEX_Ppme1_Ppp2ca	c	protein_Ppme1;protein_Ppp2ca	Ppme1;Ppp2ca	PPMEPP2A	1;1
cplx_COMPLEX_Ppme1_Ppp2cb	c	protein_Ppme1;protein_Ppp2cb	Ppme1;Ppp2cb	PPMEPP2A	1;1
cplx_COMPLEX_Prdx1_Srxn1	c	protein_Prdx1;protein_Srxn1	Prdx1;Srxn1	SRDX1GTHRD	2;1
cplx_COMPLEX_Prdx1_Txn1	c	protein_Prdx1;protein_Txn1	Prdx1;Txn1	PRDX2TRDXRD	2;2
cplx_COMPLEX_Prdx1_Txnl1	c	protein_Prdx1;protein_Txnl1	Prdx1;Txnl1	PRDX2TRDXRD	2;2
cplx_COMPLEX_Prdx2_Srxn1	c	protein_Prdx2;protein_Srxn1	Prdx2;Srxn1	SRDX1GTHRD	2;1
cplx_COMPLEX_Prdx2_Txn1	c	protein_Prdx2;protein_Txn1	Prdx2;Txn1	PRDX2TRDXRD	2;2
cplx_COMPLEX_Prdx2_Txn1l	c	protein_Prdx2;protein_Txnl1	Prdx2;Txnl1	PRDX2TRDXRD	2;2
cplx_COMPLEX_Prdx4_Srxn1	c	protein_Prdx4;protein_Srxn1	Prdx4;Srxn1	SRDX1GTHRD	2;1
cplx_COMPLEX_Prdx4_Txn1	c	protein_Prdx4;protein_Txn1	Prdx4;Txn1	PRDX2TRDXRD	2;2
cplx_COMPLEX_Prdx4_Txn1l	c	protein_Prdx4;protein_Txnl1	Prdx4;Txnl1	PRDX2TRDXRD	2;2
cplx_COMPLEX_Prdx5_Txn1	c	protein_Prdx5;protein_Txn1	Prdx5;Txn1	PRDX2TRDXRD	2;2
cplx_COMPLEX_Prdx5_Txnl1	c	protein_Prdx5;protein_Txnl1	Prdx5;Txnl1	PRDX2TRDXRD	2;2
cplx_COMPLEX_Prdx6_Glrx	c	protein_Glrx;protein_Prdx6	Glrx;Prdx6	PRDX1GRDX2CDG	1;2
cplx_COMPLEX_Prdx6_Gstp1	c	protein_Gstp1;protein_Prdx6	Gstp1;Prdx6	PRDX1GTHG	2;2
cplx_COMPLEX_Prdx6_Gstp2	c	protein_Gstp2;protein_Prdx6	Gstp2;Prdx6	PRDX1GTHG	2;2
cplx_COMPLEX_Prmt5_Wdr77_Clns1a	c	protein_Clns1a;protein_Prmt5;protein_Wdr77	Clns1a;Prmt5;Wdr77	PRMTMMA;PRMTSDMA	4;4;4
cplx_COMPLEX_Rbx1_Skp1_Cul1_Cand1_Nedd8	c	protein_Cand1;protein_Cul1;protein_Nedd8;protein_Rbx1;protein_Skp1	Cand1;Cul1;Nedd8;Rbx1;Skp1	NEDD8E2CONJT	1;1;1;1;1
cplx_COMPLEX_Ruvbl1_Ruvbl2	c	protein_Ruvbl1;protein_Ruvbl2	Ruvbl1;Ruvbl2	NTPA	6;6
cplx_COMPLEX_Scd1_Cyb5a	c	protein_Cyb5a;protein_Scd1	Cyb5a;Scd1	CYTBFADSD9_16_0;CYTBFADSD9_18_0	2;1
cplx_COMPLEX_Scd1_Cyb5b	c	protein_Cyb5b;protein_Scd1	Cyb5b;Scd1	CYTBFADSD9_16_0;CYTBFADSD9_18_0	2;1
cplx_COMPLEX_Scd2_Cyb5a	c	protein_Cyb5a;protein_Scd2	Cyb5a;Scd2	CYTBFADSD9_16_0;CYTBFADSD9_18_0	2;1
cplx_COMPLEX_Scd2_Cyb5b	c	protein_Cyb5b;protein_Scd2	Cyb5b;Scd2	CYTBFADSD9_16_0;CYTBFADSD9_18_0	2;1
cplx_COMPLEX_Scd3_Cyb5a	c	protein_Cyb5a;protein_Scd3	Cyb5a;Scd3	CYTBFADSD9_16_0;CYTBFADSD9_18_0	2;1
cplx_COMPLEX_Scd3_Cyb5b	c	protein_Cyb5b;protein_Scd3	Cyb5b;Scd3	CYTBFADSD9_16_0;CYTBFADSD9_18_0	2;1
cplx_COMPLEX_Scd4_Cyb5a	c	protein_Cyb5a;protein_Scd4	Cyb5a;Scd4	CYTBFADSD9_16_0;CYTBFADSD9_18_0	2;1
cplx_COMPLEX_Scd4_Cyb5b	c	protein_Cyb5b;protein_Scd4	Cyb5b;Scd4	CYTBFADSD9_16_0;CYTBFADSD9_18_0	2;1
cplx_COMPLEX_Srxn1_Glrx	c	protein_Glrx;protein_Srxn1	Glrx;Srxn1	SRDX1GRDX2CDG	1;1
cplx_COMPLEX_Tfr2_Trf	pm	protein_Tfr2;protein_Trf	Tfr2;Trf	FE3t	2;2
cplx_COMPLEX_Tfrc_Trf	pm	protein_Tfrc;protein_Trf	Tfrc;Trf	FE3t	2;2
cplx_COMPLEX_Tspo2_Vdac1_Slc25a31	pm	protein_Slc25a31;protein_Tspo2;protein_Vdac1	Slc25a31;Tspo2;Vdac1	ATPte	3;4;2
cplx_COMPLEX_Tspo2_Vdac1_Slc25a4	pm	protein_Slc25a4;protein_Tspo2;protein_Vdac1	Slc25a4;Tspo2;Vdac1	ATPte	3;4;2
cplx_COMPLEX_Tspo2_Vdac1_Slc25a5	pm	protein_Slc25a5;protein_Tspo2;protein_Vdac1	Slc25a5;Tspo2;Vdac1	ATPte	3;4;2
cplx_COMPLEX_Tspo2_Vdac2_Slc25a31	pm	protein_Slc25a31;protein_Tspo2;protein_Vdac2	Slc25a31;Tspo2;Vdac2	ATPte	3;4;2
cplx_COMPLEX_Tspo2_Vdac2_Slc25a4	pm	protein_Slc25a4;protein_Tspo2;protein_Vdac2	Slc25a4;Tspo2;Vdac2	ATPte	3;4;2
cplx_COMPLEX_Tspo2_Vdac2_Slc25a5	pm	protein_Slc25a5;protein_Tspo2;protein_Vdac2	Slc25a5;Tspo2;Vdac2	ATPte	3;4;2
cplx_COMPLEX_Tspo2_Vdac3_Slc25a31	pm	protein_Slc25a31;protein_Tspo2;protein_Vdac3	Slc25a31;Tspo2;Vdac3	ATPte	3;4;2
cplx_COMPLEX_Tspo2_Vdac3_Slc25a4	pm	protein_Slc25a4;protein_Tspo2;protein_Vdac3	Slc25a4;Tspo2;Vdac3	ATPte	3;4;2
cplx_COMPLEX_Tspo2_Vdac3_Slc25a5	pm	protein_Slc25a5;protein_Tspo2;protein_Vdac3	Slc25a5;Tspo2;Vdac3	ATPte	3;4;2
cplx_COMPLEX_Txnrd1_Txn	c	protein_Txnrd1	Txnrd1	Q102ERx;Q102ERy;METSELNEORy;METSELNIORy;SELNIOR3y	2;2
cplx_COMPLEX_Txnrd1_Txndc17	c	protein_Txndc17	Txndc17	CYSTRDX;DHLIPTRD;HCYSTRDX	2;2
cplx_COMPLEX_Txnrd1_Txnl1	c	protein_Txnl1	Txnl1	CYSTRDX;DHLIPTRD;HCYSTRDX	2;2
cplx_COMPLEX_Uba3_Nae_Nedd8	c	protein_Nae1;protein_Nedd8;protein_Uba3	Nae1;Nedd8;Uba3	NEDD8E1ACT	1;1;1
cplx_COMPLEX_Ube2m_Nedd8	c	protein_Nedd8;protein_Ube2m	Nedd8;Ube2m	NEDD8E1E2T	1;1
cplx_COMPLEX_Usp5_Ubb	c	protein_Ubb;protein_Usp5	Ubb;Usp5	POLYUBBPL	1;1
cplx_COMPLEX_Vcp_Derl1	c	protein_Derl1;protein_Vcp	Derl1;Vcp	NTPA	4;10
cplx_COMPLEX_Vcp_Faf1	c	protein_Faf1;protein_Vcp	Faf1;Vcp	NTPA	3;6
cplx_COMPLEX_Vcp_Nploc4_Ufd1	c	protein_Nploc4;protein_Ufd1;protein_Vcp	Nploc4;Ufd1;Vcp	NTPA	1;1;6
cplx_COMPLEX_Vcp_Nploc4_Ufd1_Faf1	c	protein_Faf1;protein_Nploc4;protein_Ufd1;protein_Vcp	Faf1;Nploc4;Ufd1;Vcp	NTPA	1;1;1;6
cplx_COMPLEX_Vcp_Nploc4_Ufd1_Faf2	c	protein_Faf2;protein_Nploc4;protein_Ufd1;protein_Vcp	Faf2;Nploc4;Ufd1;Vcp	NTPA	1;1;1;6
cplx_COMPLEX_Vcp_Nploc4_Ufd1_Ubxn1	c	protein_Nploc4;protein_Ubxn1;protein_Ufd1;protein_Vcp	Nploc4;Ubxn1;Ufd1;Vcp	NTPA	1;1;1;6
cplx_COMPLEX_Vcp_Nploc4_Ufd1_Ubxn7	c	protein_Nploc4;protein_Ubxn7;protein_Ufd1;protein_Vcp	Nploc4;Ubxn7;Ufd1;Vcp	NTPA	1;1;1;6
cplx_COMPLEX_Vcp_Nsfl1c	c	protein_Nsfl1c;protein_Vcp	Nsfl1c;Vcp	NTPA	3;6
cplx_COMPLEX_Vcp_Plaa	c	protein_Plaa;protein_Vcp	Plaa;Vcp	NTPA	1;6
cplx_COMPLEX_Vcp_Ubxn6	c	protein_Ubxn6;protein_Vcp	Ubxn6;Vcp	NTPA	1;6
cplx_COMPLEX_Vcp_Vcpip1	c	protein_Vcp;protein_Vcpip1	Vcp;Vcpip1	NTPA	6;1
cplx_COMPLEX_Vps4ab	c	protein_Vps4a;protein_Vps4b	Vps4a;Vps4b	NTPA	1;1
cplx_HETERODIMER_Atp11a_Tmem30a	pm	protein_Atp11a;protein_Tmem30a	Atp11a;Tmem30a	PEFLIPt;PSFLIPt	1;1
cplx_HETERODIMER_Atp11b_Tmem30a	pm	protein_Atp11b;protein_Tmem30a	Atp11b;Tmem30a	PEFLIPt;PSFLIPt	1;1
cplx_HETERODIMER_Atp11c_Tmem30a	pm	protein_Atp11c;protein_Tmem30a	Atp11c;Tmem30a	PEFLIPt;PSFLIPt	1;1
cplx_HETERODIMER_Atp1_A1b1	pm	protein_Atp1a1;protein_Atp1b1	Atp1a1;Atp1b1	NaKt	1;1
cplx_HETERODIMER_Atp1_A1b2	pm	protein_Atp1a1;protein_Atp1b2	Atp1a1;Atp1b2	NaKt	1;1
cplx_HETERODIMER_Atp1_A1b3	pm	protein_Atp1a1;protein_Atp1b3	Atp1a1;Atp1b3	NaKt	1;1
cplx_HETERODIMER_Atp1_A3b1	pm	protein_Atp1a3;protein_Atp1b1	Atp1a3;Atp1b1	NaKt	1;1
cplx_HETERODIMER_Atp1_A3b2	pm	protein_Atp1a3;protein_Atp1b2	Atp1a3;Atp1b2	NaKt	1;1
cplx_HETERODIMER_Atp1_A3b3	pm	protein_Atp1a3;protein_Atp1b3	Atp1a3;Atp1b3	NaKt	1;1
cplx_HETERODIMER_Atp1_A4b1	pm	protein_Atp1a4;protein_Atp1b1	Atp1a4;Atp1b1	NaKt	1;1
cplx_HETERODIMER_Atp1_A4b2	pm	protein_Atp1a4;protein_Atp1b2	Atp1a4;Atp1b2	NaKt	1;1
cplx_HETERODIMER_Atp1_A4b3	pm	protein_Atp1a4;protein_Atp1b3	Atp1a4;Atp1b3	NaKt	1;1
cplx_HETERODIMER_Ck	c	protein_Ckb;protein_Ckm	Ckb;Ckm	CK	1;1
cplx_HETERODIMER_Ck	pm	protein_Ckb;protein_Ckm	Ckb;Ckm	CKe	1;1
cplx_HETERODIMER_Clcn34	pm	protein_Clcn3;protein_Clcn4	Clcn3;Clcn4	H_2Clt	1;1
cplx_HETERODIMER_Eno_Ab	c	protein_Eno1;protein_Eno3	Eno1;Eno3	ENO	1;1
cplx_HETERODIMER_Eno_Ag	c	protein_Eno1;protein_Eno2	Eno1;Eno2	ENO	1;1
cplx_HETERODIMER_Eno_Bg	c	protein_Eno2;protein_Eno3	Eno2;Eno3	ENO	1;1
cplx_HETERODIMER_Fthl	c	protein_Fth1;protein_Ftl1	Fth1;Ftl1	FISC	1;1
cplx_HETERODIMER_Gcl	c	protein_Gclc;protein_Gclm	Gclc;Gclm	GLUCYS;GLU2ABUTS	1;1
cplx_HETERODIMER_Gmppab	c	protein_Gmppa;protein_Gmppb	Gmppa;Gmppb	MAN1PT	1;1
cplx_HETERODIMER_Gucy1_A1b1	c	protein_Gucy1a1;protein_Gucy1b1	Gucy1a1;Gucy1b1	GUACYC;GUACYC2	1;1
