complex	compartment	subunits	genes	reactions	coefficients	cofactors	notes
cplx_HETERODIMER_Slc7a5_Slc3a2	pm	protein_Slc3a2;protein_Slc7a5	Slc3a2;Slc7a5	CYStec;HCYSte;METtec;PHEtec;2ABUTtec;ALAtec;ASNtec;CYSIt;GLNtec;GLYtec;HIStec;ILEtec;LEUtec;LHCYSTINt;LKYNRtr;PROtec;SERtec;TETIODTHYt2;THRtec;TRIIODTHYt2;TRPtec;TYRtec;VALtec;ALAASNex;ALACYSex;ALAGLNex;ALAGLYex;ALAILEex;ALALEUex;ALAMETex;ALAPHEex;ALAPROex;ALASERex;ALATHRex;ALATRPex;ALATYRex;ALAVALex;ASNCYSex;ASNGLNex;ASNGLYex;ASNILEex;ASNLEUex;ASNMETex;ASNPHEex;ASNPROex;ASNSERex;ASNTHRex;ASNTRPex;ASNTYRex;ASNVALex;CYSGLNex;CYSGLYex;CYSILEex;CYSMETex;CYSPHEex;CYSPROex;CYSSERex;CYSTHRex;CYSTRPex;CYSTYRex;CYSVALex;DIIODTHYt2;GLNGLYex;GLNILEex;GLNLEUex;GLNMETex;GLNPHEex;GLNPROex;GLNSERex;GLNTHRex;GLNTRPex;GLNTYRex;GLNVALex;GLYILEex;GLYLEUex;GLYMETex;GLYPHEex;GLYPROex;GLYSERex;GLYTHRex;GLYTRPex;GLYTYRex;GLYVALex;HSERALAex;HSERASNex;HSERCYSex;HSERGLNex;HSERGLYex;HSERILEex;HSERLEUex;HSERMETex;HSERPHEex;HSERPROex;HSERSERex;HSERTHRex;HSERTRPex;HSERTYRex;HSERVALex;ILELEUex;ILEMETex;ILEPHEex;ILEPROex;ILESERex;ILETHRex;ILETRPex;ILETYRex;ILEVALex;LEULDOPAex;LEUMETex;LEUPHEex;LEUPROex;LEUSERex;LEUTHRex;LEUTRPex;LEUTYRex;LEUVALex;METPHEex;METPROex;METSERex;METTHRex;METTRPex;METTYRex;METVALex;PHEPROex;PHESERex;PHETHRex;PHETRPex;PHETYRex;PHEVALex;PROSERex;PROTHRex;PROTRPex;PROTYRex;PROVALex;SERTHRex;SERTRPex;SERTYRex;SERVALex;THRTRPex;THRTYRex;THRVALex;TRPHLKYNR;TRPTYRex;TRPVALex;TYRVALex	1;1
cplx_HETERODIMER_Slc7a6_Slc3a2	pm	protein_Slc3a2;protein_Slc7a6	Slc3a2;Slc7a6	ADMARGARGtex;ADMARGCITRtex;ADMARGHIStex;ADMARGLYStex;ADMARGORNtex;ALAADMARGNaEx;ALAARGNaEx;ALACITRNaEx;ALALYSNaEx;ALAMMARGNaEx;ALAORNNaEx;ARGCITRtex;ARGHIStex;ARGLYStex;ARGORNtex;ASNADMARGNaEx;ASNARGNaEx;ASNCITRNaEx;ASNLYSNaEx;ASNMMARGNaEx;ASNORNNaEx;CYSADMARGNaEx;CYSARGNaEx;CYSCITRNaEx;CYSLYSNaEx;CYSMMARGNaEx;CYSORNNaEx;GLNADMARGNaEx;GLNARGNaEx;GLNCITRNaEx;GLNLYSNaEx;GLNMMARGNaEx;GLNORNNaEx;GLYADMARGNaEx;GLYARGNaEx;GLYCITRNaEx;GLYLYSNaEx;GLYMMARGNaEx;GLYORNNaEx;HCYSADMARGNaEx;HCYSARGNaEx;HCYSCITRNaEx;HCYSLYSNaEx;HCYSMMARGNaEx;HCYSORNNaEx;HISADMARGNaEx;HISARGNaEx;HISCITRNaEx;HISCITRtex;HISLYSNaEx;HISLYStex;HISMMARGNaEx;HISORNNaEx;HISORNtex;ILEADMARGNaEx;ILEARGNaEx;ILECITRNaEx;ILELYSNaEx;ILEMMARGNaEx;ILEORNNaEx;LEUADMARGNaEx;LEUARGNaEx;LEUCITRNaEx;LEULYSNaEx;LEUMMARGNaEx;LEUORNNaEx;LYSCITRtex;LYSORNtex;METADMARGNaEx;METARGNaEx;METCITRNaEx;METLYSNaEx;METMMARGNaEx;METORNNaEx;MMARGARGtex;MMARGCITRtex;MMARGHIStex;MMARGLYStex;MMARGORNtex;PHEADMARGNaEx;PHEARGNaEx;PHECITRNaEx;PHELYSNaEx;PHEMMARGNaEx;PHEORNNaEx;PROADMARGNaEx;PROARGNaEx;PROCITRNaEx;PROLYSNaEx;PROMMARGNaEx;PROORNNaEx;SERADMARGNaEx;SERARGNaEx;SERCITRNaEx;SERLYSNaEx;SERMMARGNaEx;SERORNNaEx;THRADMARGNaEx;THRARGNaEx;THRCITRNaEx;THRLYSNaEx;THRMMARGNaEx;THRORNNaEx;TRPADMARGNaEx;TRPARGNaEx;TRPCITRNaEx;TRPLYSNaEx;TRPMMARGNaEx;TRPORNNaEx;TYRADMARGNaEx;TYRARGNaEx;TYRCITRNaEx;TYRLYSNaEx;TYRMMARGNaEx;TYRORNNaEx;VALADMARGNaEx;VALARGNaEx;VALCITRNaEx;VALLYSNaEx;VALMMARGNaEx;VALORNNaEx;GLYALANaEx;LEUALANaEx;PHEALANaEx;VALALANaEx	1;1
cplx_HETERODIMER_Ube2n_Ube2v1	c	protein_Ube2n;protein_Ube2v1	Ube2n;Ube2v1	UBIQE1E2T	1;1
cplx_HETERODIMER_Ube2n_Ube2v2	c	protein_Ube2n;protein_Ube2v2	Ube2n;Ube2v2	UBIQE1E2T	1;1
cplx_HETEROHEXAMER_Mat2a_Mat2b	c	protein_Mat2a;protein_Mat2b	Mat2a;Mat2b	METAT;SELMETAT	4;2
cplx_HETEROHEXAMER_Nme1_Nme2_1a1b	c	protein_Nme1;protein_Nme2	Nme1;Nme2	NDPK1;NDPK2;NDPK3;PROTNK1;PROTNK2;NDPK10;NDPK5;NDPK8;NDPK9;NDPK4;NDPK6;NDPK7;RBVDPK;THGDPK;5FLUDPK	1;5
cplx_HETEROHEXAMER_Nme1_Nme2_2a1b	c	protein_Nme1;protein_Nme2	Nme1;Nme2	NDPK1;NDPK2;NDPK3;PROTNK1;PROTNK2;NDPK10;NDPK5;NDPK8;NDPK9;NDPK4;NDPK6;NDPK7;RBVDPK;THGDPK;5FLUDPK	2;4
cplx_HETEROHEXAMER_Nme1_Nme2_3a1b	c	protein_Nme1;protein_Nme2	Nme1;Nme2	NDPK1;NDPK2;NDPK3;PROTNK1;PROTNK2;NDPK10;NDPK5;NDPK8;NDPK9;NDPK4;NDPK6;NDPK7;RBVDPK;THGDPK;5FLUDPK	3;3
cplx_HETEROHEXAMER_Nme1_Nme2_4a1b	c	protein_Nme1;protein_Nme2	Nme1;Nme2	NDPK1;NDPK2;NDPK3;PROTNK1;PROTNK2;NDPK10;NDPK5;NDPK8;NDPK9;NDPK4;NDPK6;NDPK7;RBVDPK;THGDPK;5FLUDPK	4;2
cplx_HETEROHEXAMER_Nme1_Nme2_5a1b	c	protein_Nme1;protein_Nme2	Nme1;Nme2	NDPK1;NDPK2;NDPK3;PROTNK1;PROTNK2;NDPK10;NDPK5;NDPK8;NDPK9;NDPK4;NDPK6;NDPK7;RBVDPK;THGDPK;5FLUDPK	5;1
cplx_HETEROHEXAMER_Nme1_Nme3_3a3c	c	protein_Nme1;protein_Nme3	Nme1;Nme3	NDPK1;NDPK2;NDPK3;NDPK10;NDPK5;NDPK8;NDPK9;NDPK4;NDPK6;NDPK7;5FLUDPK	3;3
cplx_HETEROHEXAMER_Rbx1_Cul3_Klhl18	c	protein_Cul3;protein_Klhl18;protein_Rbx1	Cul3;Klhl18;Rbx1	UBIQE2CONJT	2;2;2
cplx_HETEROOCTOMER_Gys1_Gyg1	c	protein_Gyg1;protein_Gys1	Gyg1;Gys1	GGNG;GLGNS1	4;4
cplx_HETEROTETRAMER_Csnk2a1_Csnk2a2_Csnk2b	c	protein_Csnk2a1;protein_Csnk2a2;protein_Csnk2b	Csnk2a1;Csnk2a2;Csnk2b	PROTSK;PROTTK	1;1;2
cplx_HETEROTETRAMER_Csnk2a1_Csnk2b	c	protein_Csnk2a1;protein_Csnk2b	Csnk2a1;Csnk2b	PROTSK;PROTTK	2;2
cplx_HETEROTETRAMER_Csnk2a2_Csnk2b	c	protein_Csnk2a2;protein_Csnk2b	Csnk2a2;Csnk2b	PROTSK;PROTTK	2;2
cplx_HETEROTETRAMER_Fars_A2b2	c	protein_Farsa;protein_Farsb	Farsa;Farsb	PHETRS	2;2
cplx_HETEROTETRAMER_Hsp90aa1_Cdc37	c	protein_Cdc37;protein_Hsp90aa1	Cdc37;Hsp90aa1	NTPA	2;2
cplx_HETEROTETRAMER_Hsp90ab1_Cdc37	c	protein_Cdc37;protein_Hsp90ab1	Cdc37;Hsp90ab1	NTPA	2;2
cplx_HETEROTETRAMER_Ldha_Ldhb_A1b3	c	protein_Ldha;protein_Ldhb	Ldha;Ldhb	LDH_L;L2HGDHx;2HBO;MCLOR;HPYRRx_S;GLXO1;GLYCLTDx;2H3MV;2HIV	1;3
cplx_HETEROTETRAMER_Ldha_Ldhb_A2b2	c	protein_Ldha;protein_Ldhb	Ldha;Ldhb	LDH_L;L2HGDHx;2HBO;MCLOR;HPYRRx_S;GLXO1;GLYCLTDx;2H3MV;2HIV	2;2
cplx_HETEROTETRAMER_Ldha_Ldhb_A3b1	c	protein_Ldha;protein_Ldhb	Ldha;Ldhb	LDH_L;L2HGDHx;2HBO;MCLOR;HPYRRx_S;GLXO1;GLYCLTDx;2H3MV;2HIV	3;1
cplx_HETEROTETRAMER_Pafah1b2_Pafah1b1	c	protein_Pafah1b1;protein_Pafah1b2	Pafah1b1;Pafah1b2	PAFH	2;2
cplx_HETEROTETRAMER_Pafah1b2_Pafah1b3_Pafah1b1	c	protein_Pafah1b1;protein_Pafah1b2;protein_Pafah1b3	Pafah1b1;Pafah1b2;Pafah1b3	PAFH	2;1;1
cplx_HETEROTETRAMER_Pafah1b3_Pafah1b1	c	protein_Pafah1b1;protein_Pafah1b3	Pafah1b1;Pafah1b3	PAFH	2;2
cplx_HETEROTETRAMER_Pfkl_Pfkm_M1l3	c	protein_Pfkl;protein_Pfkm	Pfkl;Pfkm	PFK	3;1
cplx_HETEROTETRAMER_Pfkl_Pfkm_M2l2	c	protein_Pfkl;protein_Pfkm	Pfkl;Pfkm	PFK	2;2
cplx_HETEROTETRAMER_Pfkl_Pfkm_M3l1	c	protein_Pfkl;protein_Pfkm	Pfkl;Pfkm	PFK	1;3
cplx_HETEROTETRAMER_Pfkl_Pfkp_P1l3	c	protein_Pfkl;protein_Pfkp	Pfkl;Pfkp	PFK	3;1
cplx_HETEROTETRAMER_Pfkl_Pfkp_P2l2	c	protein_Pfkl;protein_Pfkp	Pfkl;Pfkp	PFK	2;2
cplx_HETEROTETRAMER_Pfkl_Pfkp_P3l1	c	protein_Pfkl;protein_Pfkp	Pfkl;Pfkp	PFK	1;3
cplx_HETEROTETRAMER_Prkaca_Prkacb_Prkar1a	c	protein_Prkaca;protein_Prkacb;protein_Prkar1a	Prkaca;Prkacb;Prkar1a	PROTSK;PROTTK	1;1;2
cplx_HETEROTETRAMER_Prkaca_Prkacb_Prkar1a_Prkar1b	c	protein_Prkaca;protein_Prkacb;protein_Prkar1a;protein_Prkar1b	Prkaca;Prkacb;Prkar1a;Prkar1b	PROTSK;PROTTK	1;1;1;1
cplx_HETEROTETRAMER_Prkaca_Prkacb_Prkar1a_Prkar2a	c	protein_Prkaca;protein_Prkacb;protein_Prkar1a;protein_Prkar2a	Prkaca;Prkacb;Prkar1a;Prkar2a	PROTSK;PROTTK	1;1;1;1
cplx_HETEROTETRAMER_Prkaca_Prkacb_Prkar1a_Prkar2b	c	protein_Prkaca;protein_Prkacb;protein_Prkar1a;protein_Prkar2b	Prkaca;Prkacb;Prkar1a;Prkar2b	PROTSK;PROTTK	1;1;1;1
cplx_HETEROTETRAMER_Prkaca_Prkacb_Prkar1b	c	protein_Prkaca;protein_Prkacb;protein_Prkar1b	Prkaca;Prkacb;Prkar1b	PROTSK;PROTTK	1;1;2
cplx_HETEROTETRAMER_Prkaca_Prkacb_Prkar1b_Prkar2a	c	protein_Prkaca;protein_Prkacb;protein_Prkar1b;protein_Prkar2a	Prkaca;Prkacb;Prkar1b;Prkar2a	PROTSK;PROTTK	1;1;1;1
cplx_HETEROTETRAMER_Prkaca_Prkacb_Prkar1b_Prkar2b	c	protein_Prkaca;protein_Prkacb;protein_Prkar1b;protein_Prkar2b	Prkaca;Prkacb;Prkar1b;Prkar2b	PROTSK;PROTTK	1;1;1;1
cplx_HETEROTETRAMER_Prkaca_Prkacb_Prkar2a	c	protein_Prkaca;protein_Prkacb;protein_Prkar2a	Prkaca;Prkacb;Prkar2a	PROTSK;PROTTK	1;1;2
cplx_HETEROTETRAMER_Prkaca_Prkacb_Prkar2a_Prkar2b	c	protein_Prkaca;protein_Prkacb;protein_Prkar2a;protein_Prkar2b	Prkaca;Prkacb;Prkar2a;Prkar2b	PROTSK;PROTTK	1;1;1;1
cplx_HETEROTETRAMER_Prkaca_Prkacb_Prkar2b	c	protein_Prkaca;protein_Prkacb;protein_Prkar2b	Prkaca;Prkacb;Prkar2b	PROTSK;PROTTK	1;1;2
cplx_HETEROTETRAMER_Prkaca_Prkar1a	c	protein_Prkaca;protein_Prkar1a	Prkaca;Prkar1a	PROTSK;PROTTK	2;2
cplx_HETEROTETRAMER_Prkaca_Prkar1a_Prkar1b	c	protein_Prkaca;protein_Prkar1a;protein_Prkar1b	Prkaca;Prkar1a;Prkar1b	PROTSK;PROTTK	2;1;1
cplx_HETEROTETRAMER_Prkaca_Prkar1a_Prkar2a	c	protein_Prkaca;protein_Prkar1a;protein_Prkar2a	Prkaca;Prkar1a;Prkar2a	PROTSK;PROTTK	2;1;1
cplx_HETEROTETRAMER_Prkaca_Prkar1a_Prkar2b	c	protein_Prkaca;protein_Prkar1a;protein_Prkar2b	Prkaca;Prkar1a;Prkar2b	PROTSK;PROTTK	2;1;1
cplx_HETEROTETRAMER_Prkaca_Prkar1b	c	protein_Prkaca;protein_Prkar1b	Prkaca;Prkar1b	PROTSK;PROTTK	2;2
cplx_HETEROTETRAMER_Prkaca_Prkar1b_Prkar2a	c	protein_Prkaca;protein_Prkar1b;protein_Prkar2a	Prkaca;Prkar1b;Prkar2a	PROTSK;PROTTK	2;1;1
cplx_HETEROTETRAMER_Prkaca_Prkar1b_Prkar2b	c	protein_Prkaca;protein_Prkar1b;protein_Prkar2b	Prkaca;Prkar1b;Prkar2b	PROTSK;PROTTK	2;1;1
cplx_HETEROTETRAMER_Prkaca_Prkar2a	c	protein_Prkaca;protein_Prkar2a	Prkaca;Prkar2a	PROTSK;PROTTK	2;2
cplx_HETEROTETRAMER_Prkaca_Prkar2a_Prkar2b	c	protein_Prkaca;protein_Prkar2a;protein_Prkar2b	Prkaca;Prkar2a;Prkar2b	PROTSK;PROTTK	2;1;1
cplx_HETEROTETRAMER_Prkaca_Prkar2b	c	protein_Prkaca;protein_Prkar2b	Prkaca;Prkar2b	PROTSK;PROTTK	2;2
cplx_HETEROTETRAMER_Prkacb_Prkar1a	c	protein_Prkacb;protein_Prkar1a	Prkacb;Prkar1a	PROTSK;PROTTK	2;2
cplx_HETEROTETRAMER_Prkacb_Prkar1a_Prkar1b	c	protein_Prkacb;protein_Prkar1a;protein_Prkar1b	Prkacb;Prkar1a;Prkar1b	PROTSK;PROTTK	2;1;1
cplx_HETEROTETRAMER_Prkacb_Prkar1a_Prkar2a	c	protein_Prkacb;protein_Prkar1a;protein_Prkar2a	Prkacb;Prkar1a;Prkar2a	PROTSK;PROTTK	2;1;1
cplx_HETEROTETRAMER_Prkacb_Prkar1a_Prkar2b	c	protein_Prkacb;protein_Prkar1a;protein_Prkar2b	Prkacb;Prkar1a;Prkar2b	PROTSK;PROTTK	2;1;1
cplx_HETEROTETRAMER_Prkacb_Prkar1b	c	protein_Prkacb;protein_Prkar1b	Prkacb;Prkar1b	PROTSK;PROTTK	2;2
cplx_HETEROTETRAMER_Prkacb_Prkar1b_Prkar2a	c	protein_Prkacb;protein_Prkar1b;protein_Prkar2a	Prkacb;Prkar1b;Prkar2a	PROTSK;PROTTK	2;1;1
cplx_HETEROTETRAMER_Prkacb_Prkar1b_Prkar2b	c	protein_Prkacb;protein_Prkar1b;protein_Prkar2b	Prkacb;Prkar1b;Prkar2b	PROTSK;PROTTK	2;1;1
cplx_HETEROTETRAMER_Prkacb_Prkar2a	c	protein_Prkacb;protein_Prkar2a	Prkacb;Prkar2a	PROTSK;PROTTK	2;2
cplx_HETEROTETRAMER_Prkacb_Prkar2a_Prkar2b	c	protein_Prkacb;protein_Prkar2a;protein_Prkar2b	Prkacb;Prkar2a;Prkar2b	PROTSK;PROTTK	2;1;1
cplx_HETEROTETRAMER_Prkacb_Prkar2b	c	protein_Prkacb;protein_Prkar2b	Prkacb;Prkar2b	PROTSK;PROTTK	2;2
cplx_HETEROTETRAMER_Rbx1_Cul1_Skp1_Fbxl20	c	protein_Cul1;protein_Fbxl20;protein_Rbx1;protein_Skp1	Cul1;Fbxl20;Rbx1;Skp1	UBIQE2CONJT	1;1;1;1
cplx_HETEROTETRAMER_Rbx1_Cul1_Skp1_Fbxo4	c	protein_Cul1;protein_Fbxo4;protein_Rbx1;protein_Skp1	Cul1;Fbxo4;Rbx1;Skp1	UBIQE2CONJT	1;1;1;1
cplx_HETEROTETRAMER_Rbx1_Cul1_Skp1_Fbxo7	c	protein_Cul1;protein_Fbxo7;protein_Rbx1;protein_Skp1	Cul1;Fbxo7;Rbx1;Skp1	UBIQE2CONJT	1;1;1;1
cplx_HETEROTETRAMER_Rbx1_Cul2_Elob_Eloc	c	protein_Cul2;protein_Elob;protein_Eloc;protein_Rbx1	Cul2;Elob;Eloc;Rbx1	UBIQE2CONJT	1;1;1;1
cplx_HETEROTETRAMER_Rbx1_Cul4a_Ddb1_Dcaf11	c	protein_Cul4a;protein_Dcaf11;protein_Ddb1;protein_Rbx1	Cul4a;Dcaf11;Ddb1;Rbx1	UBIQE2CONJT	1;1;1;1
cplx_HETEROTETRAMER_Rbx1_Cul4a_Ddb1_Dcaf6	c	protein_Cul4a;protein_Dcaf6;protein_Ddb1;protein_Rbx1	Cul4a;Dcaf6;Ddb1;Rbx1	UBIQE2CONJT	1;1;1;1
cplx_HETEROTETRAMER_Rbx1_Cul4a_Ddb1_Dcaf7	c	protein_Cul4a;protein_Dcaf7;protein_Ddb1;protein_Rbx1	Cul4a;Dcaf7;Ddb1;Rbx1	UBIQE2CONJT	1;1;1;1
cplx_HETEROTETRAMER_Rbx1_Cul4b_Ddb1_Dcaf11	c	protein_Cul4b;protein_Dcaf11;protein_Ddb1;protein_Rbx1	Cul4b;Dcaf11;Ddb1;Rbx1	UBIQE2CONJT	1;1;1;1
cplx_HETEROTETRAMER_Rbx1_Cul4b_Ddb1_Dcaf6	c	protein_Cul4b;protein_Dcaf6;protein_Ddb1;protein_Rbx1	Cul4b;Dcaf6;Ddb1;Rbx1	UBIQE2CONJT	1;1;1;1
cplx_HETEROTETRAMER_Rbx1_Cul4b_Ddb1_Dcaf7	c	protein_Cul4b;protein_Dcaf7;protein_Ddb1;protein_Rbx1	Cul4b;Dcaf7;Ddb1;Rbx1	UBIQE2CONJT	1;1;1;1
cplx_HETEROTETRAMER_Rbx1_Cul5_Elob_Eloc	c	protein_Cul5;protein_Elob;protein_Eloc;protein_Rbx1	Cul5;Elob;Eloc;Rbx1	UBIQE2CONJT	1;1;1;1
cplx_HETEROTETRAMER_Rh	pm	protein_Rhag;protein_Rhd	Rhag;Rhd	CO2t;MMAt2;NH3t;NH4t	2;1;1
cplx_HETEROTETRAMER_Slc16a1_Bsg	pm	protein_Bsg;protein_Slc16a1	Bsg;Slc16a1	ACt2;D_LACt2;L_LACt2;PYRt2;2HB_5OXPROtex;2HB_ACACtex;2HB_ACtex;2HB_BUTtex;2HB_DLACtex;2HB_GLYCLTtex;2HB_PPAtex;2HBt2;2OBUT_2HBtex;2OBUT_5OXPROtex;2OBUT_ACACtex;2OBUT_ACtex;2OBUT_BUTtex;2OBUT_DLACtex;2OBUT_GLYCLTtex;2OBUT_LLACtex;2OBUT_PPAtex;2OBUTt;5OXPRO_ACACtex;5OXPRO_ACtex;5OXPRO_BUTtex;5OXPRO_DLACtex;5OXPRO_GLYCLTtex;5OXPRO_PPAtex;5OXPROt2;ACAC_ACtex;ACAC_GLYCLTtex;ACACt2;AC_GLYCLTtex;BUT_ACACtex;BUT_ACtex;BUT_GLYCLTtex;BUT_PPAtex;BUTt2r;DLAC_ACACtex;DLAC_ACtex;DLAC_BUTtex;DLAC_GLYCLTtex;DLAC_PPAtex;GLYCLTt2;H2SUCCt;LLAC_2HBtex;LLAC_5OXPROtex;LLAC_ACACtex;LLAC_ACtex;LLAC_BUTtex;LLAC_DLACtex;LLAC_GLYCLTtex;LLAC_PPAtex;PPA_ACACtex;PPA_ACtex;PPA_GLYCLTtex;PPAt2r;PYR_2HBtex;PYR_2OBUTtex;PYR_5OXPROtex;PYR_ACACtex;PYR_ACtex;PYR_BUTtex;PYR_DLACtex;PYR_GLYCLTtex;PYR_LLACtex;PYR_PPAtex;3MOBt2;4MOPt2	2;2
cplx_HETEROTETRAMER_Slc16a1_Emb	pm	protein_Emb;protein_Slc16a1	Emb;Slc16a1	ACt2;D_LACt2;L_LACt2;PYRt2;2HB_5OXPROtex;2HB_ACACtex;2HB_ACtex;2HB_BUTtex;2HB_DLACtex;2HB_GLYCLTtex;2HB_PPAtex;2HBt2;2OBUT_2HBtex;2OBUT_5OXPROtex;2OBUT_ACACtex;2OBUT_ACtex;2OBUT_BUTtex;2OBUT_DLACtex;2OBUT_GLYCLTtex;2OBUT_LLACtex;2OBUT_PPAtex;2OBUTt;5OXPRO_ACACtex;5OXPRO_ACtex;5OXPRO_BUTtex;5OXPRO_DLACtex;5OXPRO_GLYCLTtex;5OXPRO_PPAtex;5OXPROt2;ACAC_ACtex;ACAC_GLYCLTtex;ACACt2;AC_GLYCLTtex;BUT_ACACtex;BUT_ACtex;BUT_GLYCLTtex;BUT_PPAtex;BUTt2r;DLAC_ACACtex;DLAC_ACtex;DLAC_BUTtex;DLAC_GLYCLTtex;DLAC_PPAtex;GLYCLTt2;H2SUCCt;LLAC_2HBtex;LLAC_5OXPROtex;LLAC_ACACtex;LLAC_ACtex;LLAC_BUTtex;LLAC_DLACtex;LLAC_GLYCLTtex;LLAC_PPAtex;PPA_ACACtex;PPA_ACtex;PPA_GLYCLTtex;PPAt2r;PYR_2HBtex;PYR_2OBUTtex;PYR_5OXPROtex;PYR_ACACtex;PYR_ACtex;PYR_BUTtex;PYR_DLACtex;PYR_GLYCLTtex;PYR_LLACtex;PYR_PPAtex;3MOBt2;4MOPt2	2;2
cplx_HETEROTETRAMER_Slc16a7_Bsg	pm	protein_Bsg;protein_Slc16a7	Bsg;Slc16a7	ACt2;D_LACt2;L_LACt2;PYRt2;2HB_5OXPROtex;2HB_ACACtex;2HB_ACtex;2HB_BUTtex;2HB_DLACtex;2HB_GLYCLTtex;2HB_PPAtex;2HBt2;2OBUT_2HBtex;2OBUT_5OXPROtex;2OBUT_ACACtex;2OBUT_ACtex;2OBUT_BUTtex;2OBUT_DLACtex;2OBUT_GLYCLTtex;2OBUT_LLACtex;2OBUT_PPAtex;2OBUTt;5OXPRO_ACACtex;5OXPRO_ACtex;5OXPRO_BUTtex;5OXPRO_DLACtex;5OXPRO_GLYCLTtex;5OXPRO_PPAtex;5OXPROt2;ACAC_ACtex;ACAC_GLYCLTtex;ACACt2;AC_GLYCLTtex;BUT_ACACtex;BUT_ACtex;BUT_GLYCLTtex;BUT_PPAtex;BUTt2r;DLAC_ACACtex;DLAC_ACtex;DLAC_BUTtex;DLAC_GLYCLTtex;DLAC_PPAtex;GLYCLTt2;H2SUCCt;LLAC_2HBtex;LLAC_5OXPROtex;LLAC_ACACtex;LLAC_ACtex;LLAC_BUTtex;LLAC_DLACtex;LLAC_GLYCLTtex;LLAC_PPAtex;PPA_ACACtex;PPA_ACtex;PPA_GLYCLTtex;PPAt2r;PYR_2HBtex;PYR_2OBUTtex;PYR_5OXPROtex;PYR_ACACtex;PYR_ACtex;PYR_BUTtex;PYR_DLACtex;PYR_GLYCLTtex;PYR_LLACtex;PYR_PPAtex;3MOBt2;4MOPt2	2;2
cplx_HETEROTETRAMER_Slc16a7_Emb	pm	protein_Emb;protein_Slc16a7	Emb;Slc16a7	ACt2;D_LACt2;L_LACt2;PYRt2;2HB_5OXPROtex;2HB_ACACtex;2HB_ACtex;2HB_BUTtex;2HB_DLACtex;2HB_GLYCLTtex;2HB_PPAtex;2HBt2;2OBUT_2HBtex;2OBUT_5OXPROtex;2OBUT_ACACtex;2OBUT_ACtex;2OBUT_BUTtex;2OBUT_DLACtex;2OBUT_GLYCLTtex;2OBUT_LLACtex;2OBUT_PPAtex;2OBUTt;5OXPRO_ACACtex;5OXPRO_ACtex;5OXPRO_BUTtex;5OXPRO_DLACtex;5OXPRO_GLYCLTtex;5OXPRO_PPAtex;5OXPROt2;ACAC_ACtex;ACAC_GLYCLTtex;ACACt2;AC_GLYCLTtex;BUT_ACACtex;BUT_ACtex;BUT_GLYCLTtex;BUT_PPAtex;BUTt2r;DLAC_ACACtex;DLAC_ACtex;DLAC_BUTtex;DLAC_GLYCLTtex;DLAC_PPAtex;GLYCLTt2;H2SUCCt;LLAC_2HBtex;LLAC_5OXPROtex;LLAC_ACACtex;LLAC_ACtex;LLAC_BUTtex;LLAC_DLACtex;LLAC_GLYCLTtex;LLAC_PPAtex;PPA_ACACtex;PPA_ACtex;PPA_GLYCLTtex;PPAt2r;PYR_2HBtex;PYR_2OBUTtex;PYR_5OXPROtex;PYR_ACACtex;PYR_ACtex;PYR_BUTtex;PYR_DLACtex;PYR_GLYCLTtex;PYR_LLACtex;PYR_PPAtex;3MOBt2;4MOPt2	2;2
cplx_HETEROTETRAMER_Sptlc1_Sptlc2	c	protein_Sptlc1;protein_Sptlc2	Sptlc1;Sptlc2	SERPT	2;2
cplx_HETEROTRIMER_Ppp2ca_Ppp2r1a_Ppp2r5b	c	protein_Ppp2ca;protein_Ppp2r1a;protein_Ppp2r5b	Ppp2ca;Ppp2r1a;Ppp2r5b	PROTSPP;PROTTPP	1;1;1
cplx_HETEROTRIMER_Ppp2ca_Ppp2r1b_Ppp2r5b	c	protein_Ppp2ca;protein_Ppp2r1b;protein_Ppp2r5b	Ppp2ca;Ppp2r1b;Ppp2r5b	PROTSPP;PROTTPP	1;1;1
cplx_HETEROTRIMER_Ppp2cb_Ppp2r1a_Ppp2r5b	c	protein_Ppp2cb;protein_Ppp2r1a;protein_Ppp2r5b	Ppp2cb;Ppp2r1a;Ppp2r5b	PROTSPP;PROTTPP	1;1;1
cplx_HETEROTRIMER_Ppp2cb_Ppp2r1b_Ppp2r5b	c	protein_Ppp2cb;protein_Ppp2r1b;protein_Ppp2r5b	Ppp2cb;Ppp2r1b;Ppp2r5b	PROTSPP;PROTTPP	1;1;1
cplx_HETEROTRIMER_Prkaa1_Prkab1_Prkag1	c	protein_Prkaa1;protein_Prkab1;protein_Prkag1	Prkaa1;Prkab1;Prkag1	PROTSK;PROTTK	1;1;1
cplx_HETEROTRIMER_Rh	pm	protein_Rhag;protein_Rhd	Rhag;Rhd	CO2t;MMAt2;NH3t;NH4t	2;1
cplx_HETEROTRIMER_Stk11_Cab39_Stradb	c	protein_Cab39;protein_Stk11;protein_Stradb	Cab39;Stk11;Stradb	PROTSK;PROTTK	1;1;1
cplx_HETEROTRIMER_Stk11_Cab39l_Stradb	c	protein_Cab39l;protein_Stk11;protein_Stradb	Cab39l;Stk11;Stradb	PROTSK;PROTTK	1;1;1
cplx_HOMODECAMER_Gch1	c	protein_Gch1	Gch1	GTPCH1;GTPCH2;GTPCH3;GTPCH4	10
cplx_HOMODECAMER_Glul	c	protein_Glul	Glul	GLNS	10
