	metabolites	references
792	arab__L_e	
793	arg__L_c	
794	arg__L_e	
795	argpropro_c	
796	argsuc_c	
797	argtrna_c	
798	arsdigth_c	
799	arsgth_c	
800	arsna_c	
801	arsna_e	
802	arsni_c	
803	arsni_e	
804	arsseldigth_c	
805	arsseldigth_e	
806	ascb__L_c	
807	ascb__L_e	
808	asn__L_c	
809	asn__L_e	
810	asntrna_c	
811	asp__L_c	
812	asp__L_e	
813	asparg_c	
814	asptrna_c	
815	atp_c	
816	atp_e	
817	avite1_c	
818	avite1qn_c	
819	avite1r_c	
820	bamppald_c	
821	betald_c	
822	bhbACP_c	
823	bilirub_c	
824	bilirub_e	
825	biliverd_c	
826	btcoa_c	
827	butACP_c	
828	but_c	
829	but_e	
830	buteACP_2E_c	
831	bz_c	
832	bzal_c	
833	ca2_c	
834	ca2_e	
835	cadprbp_c	
836	cadprbp_e	
837	cadprib_c	
838	cadprib_e	
839	carboxyhb_c	
840	cbasp_c	
841	cbp_c	
842	cclglobin_c	
843	cclmethb_c	
844	cd2_c	
845	cd2_e	
846	cdp_c	
847	cdpchol_c	
848	cdpdag_hs_c	
849	cdpea_c	
850	ch4s_c	
851	chlstol_c	
852	chol_c	
853	chol_e	
854	cholp_c	
855	cholp_e	
856	chsterol_c	
857	chsterol_e	
858	cit_c	
859	cit_e	
860	citr__L_c	
861	citr__L_e	
862	cl_c	
863	cl_e	
864	cmp_c	
865	co2_c	
866	co2_e	
867	co3r_c	
868	co_c	
869	co_e	
870	coa_c	
871	cobalt2_c	
872	cobalt2_e	
873	cppp1_c	
874	cppp1_e	
875	cppp3_c	
876	cppp3_e	
877	cpppg1_c	
878	cpppg3_c	
879	cpppg3_e	
880	creat_c	
881	creat_e	
882	crm_hs_c	
883	crn_c	
884	crn_e	
885	crtn_c	
886	crtn_e	
887	crtsl_c	
888	crtsl_e	
889	crtstrn_c	
890	crtstrn_e	
891	csn_c	
892	ctp_c	
893	cu1_c	
894	cu1_e	
895	cu2_c	
896	cu2_e	
897	cynamd_c	
898	cys__L_c	
899	cys__L_e	
900	cysgly_c	
901	cysi__L_c	
902	cysi__L_e	
903	cyst__L_c	
904	cystrna_c	
905	cytd_c	
906	cytd_e	
907	dadp_c	
908	dag_hs_c	
909	dago_hs_c	
910	dagoac_hs_c	
911	dagthrd_c	
912	damp_c	
913	daophth_c	
914	datp_c	
915	dcaACP_c	
916	dcdp_c	
917	dceaACP_2E_c	
918	dcmp_c	
919	dctp_c	
920	ddcaACP_c	
921	ddceaACP_2E_c	
922	dgdp_c	
923	dgmp_c	
924	dgtp_c	
925	dh15kprostge1_c	
926	dh15kprostge2_c	
927	dh15kprostge3_c	
928	dh15kprostgf1_c	
929	dh15kprostgf2_c	
930	dh15kprostgf3_c	
931	dha_c	
932	dha_e	
933	dhap_c	
934	dhdascb__L_c	
935	dhdascb__L_e	
936	dhet1112_c	
937	dhet1112_e	
938	dhet1415_c	
939	dhet1415_e	
940	dhet56_c	
941	dhet56_e	
942	dhet89_c	
943	dhet89_e	
944	dhf_c	
945	dhlipoate_c	
946	dhlipoate_e	
947	dhmtp_c	
948	dhnpt_c	
949	dhnpt_e	
950	dhor__S_c	
951	dhurate_c	
952	diam6tpop4oxpyr_c	
953	diampyrntp_c	
954	didp_c	
955	dihdpa1011_c	
956	dihdpa1011_e	
957	dihdpa1314_c	
958	dihdpa1314_e	
959	dihdpa1617_c	
960	dihdpa1617_e	
961	dihdpa1920_c	
962	dihdpa1920_e	
963	dihdpa78_c	
964	dihdpa78_e	
965	dihete1112_c	
966	dihete1112_e	
967	dihete1415_c	
968	dihete1415_e	
969	dihete1718_c	
970	dihete1718_e	
971	dihete56_c	
972	dihete56_e	
973	dihete89_c	
974	dihete89_e	
975	dihome1213_c	
976	dihome1213_e	
977	dihome910_c	
978	dihome910_e	
979	diiodthy__L_c	
980	diiodthy__L_e	
981	dimp_c	
982	ditp_c	
983	dkmpp_c	
984	dmgly_c	
985	dmhptcoa_c	
986	dmhptcrn_c	
987	dmnoncoa_c	
988	dmnoncrn_c	
989	dmpp_c	
990	dnad_c	
991	dnadp_c	
992	dnadp_e	
993	dopa__D_c	
994	dopa__L_c	
995	dopa__L_e	
996	dopaqn__L_c	
997	dopasqn__L_c	
998	dpam__D_c	
999	dpam__L_c	
1000	dpam__L_e	
1001	dpamchrm_c	
1002	dpamchrmsqn_c	
1003	dpamqn__L_c	
1004	dpamsqn__L_c	
1005	dpchrm__D_c	
1006	dpchrm__L_c	
1007	dpchrmsqn__L_c	
1008	dpcoa_c	
1009	dtdp_c	
1010	dtmp_c	
1011	dttp_c	
1012	dudp_c	
1013	dump_c	
1014	dutp_c	
1015	e14bp_c	
1016	e1act_cys__L_c	
1017	e2conj_cys__L_c	
1018	e4hglu_c	
1019	e4p_c	
1020	edp1011_c	
1021	edp1011_e	
1022	edp1314_c	
1023	edp1314_e	
1024	edp1617_c	
1025	edp1617_e	
1026	edp1920_c	
1027	edp1920_e	
1028	edp78_c	
1029	edp78_e	
1030	eeq1112_c	
1031	eeq1112_e	
1032	eeq1415_c	
1033	eeq1415_e	
1034	eeq1718_c	
1035	eeq1718_e	
1036	eeq56_c	
1037	eeq56_e	
1038	eeq89_c	
1039	eeq89_e	
1040	eet1112_c	
1041	eet1112_e	
1042	eet1415_c	
1043	eet1415_e	
1044	eet56_c	
1045	eet56_e	
1046	eet89_c	
1047	eet89_e	
1048	epome1213_c	
1049	epome1213_e	
1050	epome910_c	
1051	epome910_e	
1052	ergoth_c	
1053	ergoth_e	
1054	erthn__D_c	
1055	erthrs__D_c	
1056	erylt_c	
1057	erylt_e	
1058	eryth__L_c	
1059	estradiol23qn_c	
1060	estradiol23sqn_c	
1061	estradiol34qn_c	
1062	estradiol34sqn_c	
1063	estradiol_c	
1064	estradiol_e	
1065	estrone23qn_c	
1066	estrone23sqn_c	
1067	estrone34qn_c	
1068	estrone34sqn_c	
1069	estrone_c	
1070	estrone_e	
1071	etha_c	
1072	etha_e	
1073	ethamp_c	
1074	ethamp_e	
1075	ethmalcoa__S_c	
1076	etoh_c	
1077	etoh_e	
1078	f1p_c	
1079	f3p_c	
1080	f6p_c	
1081	fad_c	
1082	fadh2_c	
1083	fald_c	
1084	fdp_c	
1085	fe2_c	
1086	fe2_e	
1087	fe3_c	
1088	fe3_e	
1089	fe3ooh_c	
1090	fgam_c	
1091	ficytb5_c	
1092	fmn_c	
1093	fmnh2_c	
1094	focytb5_c	
1095	for_c	
1096	for_e	
1097	forapyrntp_c	
1098	fpram_c	
1099	fprica_c	
1100	frdp_c	
1101	fru_c	
1102	fru_e	
1103	fuc12gal14acglcgalgluside_hs_c	
1104	fuc1p__L_c	
1105	fuc__L_c	
1106	fucfucgalacglcgalacglcgal14acglcgalgluside_hs_c	
1107	fucgalacgalfuc12gal14acglcgalgluside_hs_c	
1108	fucgalacgalfucgalacglcgal14acglcgalgluside_hs_c	
1109	fucgalacglcgal14acglcgalgluside_hs_c	
1110	fucgalacglcgalacglcgal14acglcgalgluside_hs_c	
1111	fucgalacglcgalgluside_hs_c	
1112	fum_c	
1113	fum_e	
1114	g16bp_c	
1115	g1p_c	
1116	g3p_c	
1117	g3pc_c	
1118	g3pe_c	
1119	g3pi_c	
1120	g3pnae_hs_c	
1121	g3ps_c	
1122	g6p__aD_c	
1123	g6p_c	
1124	ga2_hs_c	
1125	gal1p_c	
1126	gal__bD_c	
1127	gal__bD_e	
1128	gal_c	
1129	gal_e	
1130	galacgalfuc12gal14acglcgalgluside_hs_c	
1131	galacgalfucgalacglcgal14acglcgalgluside_hs_c	
1132	galacglcgal14acglcgalgluside_hs_c	
1133	galacglcgalacglcgal14acglcgalgluside_hs_c	
1134	galacglcgalgluside_hs_c	
1135	galfuc12gal14acglcgalgluside_hs_c	
1136	galfucgalacglcgal14acglcgalgluside_hs_c	
1137	galfucgalacglcgalgluside_hs_c	
1138	galgal14acglcgalgluside_hs_c	
1139	galgalacglcgalgluside_hs_c	
1140	galgbside_hs_c	
1141	galgluside_hs_c	
1142	galt_c	
1143	galt_e	
1144	gam6p_c	
1145	gam_c	
1146	gam_e	
1147	gar_c	
1148	gbside_hs_c	
1149	gdp_c	
1150	gdpddman_c	
1151	gdpfuc_c	
1152	gdpmann_c	
1153	gglu2abut_c	
1154	gglucys__L_c	
1155	ggn8Y_c	
1156	ggnG11_c	
1157	ggnG4G4_c	
1158	ggnG4G7_c	
1159	ggnG7G1_c	
1160	ggnG7_c	
1161	ggnG8_c	
1162	glc__D_c	
1163	glc__D_e	
1164	glc__aD_c	
1165	glc__aD_e	
1166	glcur_c	
1167	gln__L_c	
1168	gln__L_e	
1169	glntrna_c	
1170	globin_c	
1171	globinr_c	
1172	globoA_hs_c	
1173	globoB_hs_c	
1174	globoH_hs_c	
1175	glu5sa__L_c	
1176	glu__L_c	
1177	glu__L_e	
1178	glutrna_c	
1179	glx_c	
1180	glx_e	
1181	gly_c	
1182	gly_e	
1183	glyald_c	
1184	glyb_c	
1185	glyc3p_c	
1186	glyc__R_c	
1187	glyc__R_e	
1188	glyc__S_c	
1189	glyc__S_e	
1190	glyc_c	
1191	glyc_e	
1192	glyclt_c	
1193	glyclt_e	
1194	glygly_c	
1195	glyleu_c	
1196	glyphe_c	
1197	glypro_c	
1198	glytrna_c	
1199	glytrp_c	
1200	gm2_hs_c	
1201	gm3_hs_c	
1202	gmp_c	
1203	gp4g_c	
1204	grdp_c	
1205	grdx2cgth_c	
1206	grdx2cox_c	
1207	grdx2crd_c	
1208	gsn_c	
1209	gsn_e	
1210	gthnhoh_c	
1211	gthno_c	
1212	gthno_e	
1213	gthnoh2_c	
1214	gthox_c	
1215	gthox_e	
1216	gthrd_c	
1217	gtp_c	
1218	gua_c	
1219	gua_e	
1220	gudac_c	
1221	guln__L_c	
1222	h2o2_c	
1223	h2o2_e	
1224	h2o_c	
1225	h2o_e	
1226	h2s_c	
1227	h2s_e	
1228	hLkynr_c	
1229	hLkynr_e	
1230	h_c	
1231	h_e	
1232	ham_c	
1233	hb4_23dpg_c	
1234	hb_c	
1235	hb_hco2_c	
1236	hco3_c	
1237	hco3_e	
1238	hcys__L_c	
1239	hcys__L_e	
1240	hcystin__L_c	
1241	hcystin__L_e	
1242	hdha10_c	
1243	hdha10_e	
1244	hdha11_c	
1245	hdha11_e	
1246	hdha13_c	
1247	hdha13_e	
1248	hdha14_c	
1249	hdha14_e	
1250	hdha16_c	
1251	hdha16_e	
1252	hdha17_c	
1253	hdha17_e	
1254	hdha20_c	
1255	hdha20_e	
1256	hdha4_c	
1257	hdha4_e	
1258	hdha7_c	
1259	hdha7_e	
1260	hdha8_c	
1261	hdha8_e	
1262	hematin_c	
1263	hematin_e	
1264	hemedegprods_c	
1265	hemegth_c	
1266	hemegthoh_c	
1267	hepe11_c	
1268	hepe11_e	
1269	hepe12_c	
1270	hepe12_e	
1271	hepe15_c	
1272	hepe15_e	
1273	hepe18_c	
1274	hepe18_e	
1275	hepe5_c	
1276	hepe5_e	
1277	hepe8_c	
1278	hepe8_e	
1279	hepe9_c	
1280	hepe9_e	
1281	hete11_c	
1282	hete11_e	
1283	hete12_c	
1284	hete12_e	
1285	hete15_c	
1286	hete15_e	
1287	hete5_c	
1288	hete5_e	
1289	hete8_c	
1290	hete8_e	
1291	hete9_c	
1292	hete9_e	
1293	hgentis_c	
1294	his__L_c	
1295	his__L_e	
1296	hista_c	
1297	hista_e	
1298	histrna_c	
1299	hmbil_c	
1300	hmgth_c	
1301	hno_c	
1302	hode13_c	
1303	hode13_e	
1304	hode9_c	
1305	hode9_e	
1306	homoval_c	
1307	homoval_e	
1308	hpdha10_c	
1309	hpdha11_c	
1310	hpdha13_c	
1311	hpdha14_c	
1312	hpdha16_c	
1313	hpdha17_c	
1314	hpdha20_c	
1315	hpdha4_c	
1316	hpdha7_c	
1317	hpdha8_c	
1318	hpepe11_c	
1319	hpepe12_c	
1320	hpepe15_c	
1321	hpepe18_c	
1322	hpepe5_c	
1323	hpepe8_c	
1324	hpepe9_c	
1325	hpete11_c	
1326	hpete12_c	
1327	hpete15_c	
1328	hpete5_c	
1329	hpete8_c	
1330	hpete9_c	
1331	hpode13_c	
1332	hpode9_c	
1333	hpta_c	
1334	hpta_e	
1335	hptal_c	
1336	hptea_2E_c	
1337	hpteal_2E_c	
1338	hpyr_c	
1339	hser__L_c	
1340	hser__L_e	
1341	htsul_c	
1342	hxaACP_c	
1343	hxa_c	
1344	hxa_e	
1345	hxal_c	
1346	hxan_c	
1347	hxan_e	
1348	hxdcaACP_c	
1349	hxdcal_c	
1350	hxdceaACP_2E_c	
1351	hxdceal_2E_c	
1352	hxeaACP_2E_c	
1353	hxea_2E_c	
1354	hxeal_2E_c	
1355	hyptaur_c	
1356	icit_c	
1357	idp_c	
1358	ile__L_c	
1359	ile__L_e	
1360	iletrna_c	
1361	imp_c	
1362	ind56qn_c	
1363	ind56sqn_c	
1364	inds_c	
1365	inds_e	
1366	inost_c	
1367	inost_e	
1368	ins6p_c	
1369	ins_c	
1370	ins_e	
1371	insulinox_c	
1372	insulinrd_c	
1373	ipdp_c	
1374	itp_c	
1375	k_c	
1376	k_e	
1377	kdn_c	
1378	kdnp_c	
1379	kynate_c	
1380	kynr__L_c	
1381	kynr__L_e	
1382	lac__D_c	
1383	lac__D_e	
1384	lac__L_c	
1385	lac__L_e	
1386	lald__D_c	
1387	lald__L_c	
1388	lanost_c	
1389	leu__L_c	
1390	leu__L_e	
1391	leuadrnchrm_c	
1392	leuala_c	
1393	leudpamchrm_c	
1394	leudpchrm__L_c	
1395	leugly_c	
1396	leuglygly_c	
1397	leuglyphe_c	
1398	leuktrA4_c	
1399	leuktrA4_e	
1400	leuktrA5_c	
1401	leuktrA5_e	
1402	leuktrB4_c	
1403	leuktrB4_e	
1404	leuktrB5_c	
1405	leuktrB5_e	
1406	leuktrC4_c	
1407	leuktrC4_e	
1408	leuktrC5_c	
1409	leuktrC5_e	
1410	leuleu_c	
1411	leuleuleu_c	
1412	leunrpphrchrm_c	
1413	leupro_c	
1414	leutrna_c	
1415	li1_c	
1416	li1_e	
1417	lipoate_c	
1418	lipoate_e	
1419	lnape_hs_c	
1420	lpa_hs_c	
1421	lpail_hs_c	
1422	lpao_hs_c	
1423	lpc_hs_c	
1424	lpco_hs_c	
1425	lpcp_hs_c	
1426	lpe_hs_c	
1427	lpep_hs_c	
1428	lps_hs_c	
1429	lthstrl_c	
1430	lys__L_c	
1431	lys__L_e	
1432	lysleu_c	
1433	lystrna_c	
1434	lyxnt__L_c	
1435	m2mn_c	
1436	mag2_hs_c	
1437	mag_hs_c	
1438	mago_hs_c	
1439	malACP_c	
1440	mal__L_c	
1441	mal__L_e	
1442	malcoa_c	
1443	malcrn_c	
1444	mald_c	
1445	man16bp_c	
1446	man1p_c	
1447	man6p_c	
1448	man_c	
1449	man_e	
1450	mdhdascb__L_c	
1451	mdhdascb__L_e	
1452	meoh_c	
1453	mepi__L_c	
1454	mepi__L_e	
1455	mercplac_c	
1456	mercppyr_c	
1457	mercpur_c	
1458	mercpur_e	
1459	met__L_c	
1460	met__L_e	
1461	methb_c	
1462	methb_onoo_c	
1463	methbr_c	
1464	methf_c	
1465	methsel_c	
1466	methselne_c	
1467	methselni_c	
1468	metpro_c	
1469	mettrna_c	
1470	mg2_c	
1471	mg2_e	
1472	mhista_c	
1473	mi13456p_c	
1474	mi1345p_c	
1475	mi134p_c	
1476	mi1456p_c	
1477	mi145p_c	
1478	mi14p_c	
1479	mi1p__D_c	
1480	mi3p__D_c	
1481	mi4p__D_c	
1482	mlthf_c	
1483	mma_c	
1484	mma_e	
1485	mmarg__L_c	
1486	mmarg__L_e	
1487	mmcoa__S_c	
1488	mn2_c	
1489	mn2_e	
1490	mn_c	
1491	mndiol_c	
1492	mndn_c	
1493	mobd_c	
1494	mobd_e	
1495	moco_c	
1496	mpt_c	
1497	mptamp_c	
1498	msa_c	
1499	mthgxl_c	
1500	mtmercpur_c	
1501	mtthiogmp_c	
1502	mtthioimp_c	
1503	n2o3_c	
1504	n2o3_e	
1505	n4abutn_c	
1506	na1_c	
1507	na1_e	
1508	nac_c	
1509	nac_e	
1510	nad_c	
1511	nad_e	
1512	nadh_c	
1513	nadhx__R_c	
1514	nadhx__S_c	
1515	nadp_c	
1516	nadp_e	
1517	nadph_c	
1518	nadphx__R_c	
1519	nadphx__S_c	
1520	nae_hs_c	
1521	nape_hs_c	
1522	ncam_c	
1523	ncam_e	
1524	nh3_c	
1525	nh3_e	
1526	nh4_c	
1527	nh4_e	
1528	nicrns_c	
1529	nicrnt_c	
1530	nitrosylhb_c	
1531	nmn_c	
1532	nmn_e	
1533	nmnh_c	
1534	no2_c	
1535	no2_e	
1536	no2r_c	
1537	no3_c	
1538	no3_e	
1539	no_c	
1540	no_e	
1541	nona_c	
1542	nona_e	
1543	nonal_c	
1544	nonea_2E_c	
1545	noneal_2E_c	
1546	normete__L_c	
1547	normete__L_e	
1548	nrpphr__L_c	
1549	nrpphr__L_e	
1550	nrpphrchrm_c	
1551	nrpphrchrmsqn_c	
1552	nrpphrqn__L_c	
1553	nrpphrsqn__L_c	
1554	nwharg_c	
1555	o18bp_c	
1556	o2_c	
1557	o2_e	
1558	o2s_c	
1559	o2s_e	
1560	oaa_c	
1561	ocaACP_c	
1562	ocdcaACP_c	
1563	ocdceaACP_2E_c	
1564	oceaACP_2E_c	
1565	octa_c	
1566	octa_e	
1567	octal_c	
1568	octea_2E_c	
1569	octeal_2E_c	
1570	oh1_c	
1571	oh1_e	
1572	oh1r_c	
1573	onoo_c	
1574	onoo_e	
1575	onooco2_c	
1576	onooh_c	
1577	onooh_e	
1578	ophth_c	
1579	orn__L_c	
1580	orn__L_e	
1581	orot5p_c	
1582	orot_c	
1583	orot_e	
1584	oxa_c	
1585	oxa_e	
1586	oxoferrylhb_c	
1587	oxoferrylhbr_c	
1588	oxyhb_c	
1589	p4a_c	
1590	pa_hs_c	
1591	pac_c	
1592	pacald_c	
1593	paf_hs_c	
1594	pail345p_hs_c	
1595	pail34p_hs_c	
1596	pail35p_hs_c	
1597	pail3p_hs_c	
1598	pail45p_hs_c	
1599	pail4p_hs_c	
1600	pail5p_hs_c	
1601	pail_hs_c	
1602	pail_hs_e	
1603	pao_hs_c	
1604	paoac_hs_c	
1605	pap_c	
1606	paps_c	
1607	paragbside_hs_c	
1608	pc_hs_c	
1609	pc_hs_e	
1610	pco_hs_c	
1611	pcp_hs_c	
1612	pcreat_c	
1613	pdx5p_c	
1614	pe_hs_c	
1615	pe_hs_e	
1616	penme2_hs_c	
1617	penme_hs_c	
1618	pep_c	
1619	pep_hs_c	
1620	peth_hs_c	
1621	peth_hs_e	
1622	phe__L_c	
1623	phe__L_e	
1624	phehisleu_c	
1625	pheleu_c	
1626	pheme_c	
1627	pheme_e	
1628	phepro_c	
1629	phetrna_c	
1630	phetyr_c	
1631	phlac_c	
1632	phpyr_c	
1633	pi_c	
1634	pi_e	
1635	pnto__R_c	
1636	pnto__R_e	
1637	polyadprib1_c	
1638	polyadprib2_c	
1639	ppa_c	
1640	ppa_e	
1641	ppal_c	
1642	ppbng_c	
1643	ppcoa_c	
1644	ppgpp_c	
1645	ppi_c	
1646	ppi_e	
1647	ppp9_c	
1648	ppp9_e	
1649	pppi_c	
1650	pram_c	
1651	prdx1cgth_c	
1652	prdx1crd_c	
1653	prdx1cso_c	
1654	prdx2cox_c	
1655	prdx2crd_c	
1656	prdx2cso2_c	
1657	prdx2cso3_c	
1658	prdx2cso_c	
1659	prgstrn_c	
1660	prgstrn_e	
1661	pro__L_c	
1662	pro__L_e	
1663	proleu_c	
1664	prophe_c	
1665	propro_c	
1666	prostga1_c	
1667	prostga2_c	
1668	prostga3_c	
1669	prostgd21glyc_c	
1670	prostgd2_c	
1671	prostge1_c	
1672	prostge1_e	
1673	prostge21glyc_c	
1674	prostge2_c	
1675	prostge2_e	
1676	prostge3_c	
1677	prostge3_e	
1678	prostgf1_c	
1679	prostgf1_e	
1680	prostgf21glyc_c	
1681	prostgf2_c	
1682	prostgf2_e	
1683	prostgf3_c	
1684	prostgf3_e	
1685	prostgg1_c	
1686	prostgg2_c	
1687	prostgg3_c	
1688	prostgh1_c	
1689	prostgh2_c	
1690	prostgh3_c	
1691	protein_Nproshispi_c	
1692	protein_Ntelehispi_c	
1693	protein_Nwadpribarg__L_e	
1694	protein_aclys__L_c	
1695	protein_admarg__L_c	
1696	protein_arg__L_c	
1697	protein_arg__L_e	
1698	protein_asn__L_c	
1699	protein_asp__D_c	
1700	protein_asp__L_c	
1701	protein_aspmeo__D_c	
1702	protein_cys__L_c	
1703	protein_frulys3p_c	
1704	protein_frulys6p_c	
1705	protein_frulys_c	
1706	protein_gln__L_c	
1707	protein_glu5meo__L_c	
1708	protein_glu__L_c	
1709	protein_gludpam_c	
1710	protein_gluhista_c	
1711	protein_glunpphr_c	
1712	protein_glusrtn_c	
1713	protein_his__L_c	
1714	protein_hxdcacys_c	
1715	protein_isoasp__D_c	
1716	protein_isoasp__L_c	
1717	protein_isoaspmeo__L_c	
1718	protein_lacarg_c	
1719	protein_laccys_c	
1720	protein_laclys_c	
1721	protein_lys__L_c	
1722	protein_lysglu_protein_c	
1723	protein_mmarg__L_c	
1724	protein_oadpribser_c	
1725	protein_ocdcacys_c	
1726	protein_pepproW0_c	
1727	protein_pepproW180_c	
1728	protein_rbllys3p_c	
1729	protein_rbllys5p_c	
1730	protein_rbllys_c	
1731	protein_sadpribcys_c	
1732	protein_sdmarg__L_c	
1733	protein_ser3oacgam_c	
1734	protein_serTAg_c	
1735	protein_serTnAg_c	
1736	protein_ser__L_c	
1737	protein_serpi_c	
1738	protein_sucim__D_c	
1739	protein_sucim__L_c	
1740	protein_thr3oacgam_c	
1741	protein_thrTAg_c	
1742	protein_thrTnAg_c	
1743	protein_thr__L_c	
1744	protein_thrpi_c	
1745	protein_ttdcacys_c	
1746	protein_tyr__L_c	
1747	protein_tyrpi_c	
1748	protrna_c	
1749	prpp_c	
1750	ps_hs_c	
1751	ps_hs_e	
1752	pser__L_c	
1753	psump_c	
1754	psuri_c	
1755	pta_c	
1756	pta_e	
1757	ptrc_c	
1758	ptrc_e	
1759	ptth__R_c	
1760	pyam5p_c	
1761	pydam_c	
1762	pydam_e	
1763	pydx5p_c	
1764	pydx_c	
1765	pydx_e	
1766	pydxn_c	
1767	pydxn_e	
1768	pyr_c	
1769	pyr_e	
1770	pyrrl_c	
1771	q10_c	
1772	q10h2_c	
1773	q10h_c	
1774	qmp_c	
1775	que_c	
1776	r15bp_c	
1777	r1p_c	
1778	r5p_c	
1779	r5p_e	
1780	rbl__D_c	
1781	rblvrd_c	
1782	rbt_c	
1783	rbt_e	
1784	rbvcbxlt_c	
1785	rbvdp_c	
1786	rbvmp_c	
1787	rbvtp_c	
1788	retinal_11Z_c	
1789	retinal_13Z_c	
1790	retinal_9Z_c	
1791	retinal_c	
1792	retinol_11Z_c	
1793	retinol_13Z_c	
1794	retinol_9Z_c	
1795	retinol_c	
1796	retinol_e	
1797	retn_11Z_c	
1798	retn_13Z_c	
1799	retn_9Z_c	
1800	retn_c	
1801	rib__D_c	
1802	rib__D_e	
1803	ribavirin_c	
1804	ribavirin_e	
1805	ribflv_c	
1806	ribflv_e	
1807	rnam_c	
1808	rnamh_c	
1809	rnamh_e	
1810	ru5p__D_c	
1811	s17bp_c	
1812	s7p_c	
1813	saica_c	
1814	saica_e	
1815	saicar_c	
1816	sarcs_c	
1817	sbt__D_c	
1818	sbt__D_e	
1819	sdhplse_c	
1820	selahcys__L_c	
1821	selamet__L_c	
1822	selcys__L_c	
1823	selcyst__L_c	
1824	seldigth_c	
1825	selgth_c	
1826	selhcys__L_c	
1827	selmet__L_c	
1828	seln_c	
1829	seln_e	
1830	selni_c	
1831	selni_e	
1832	ser__L_c	
1833	ser__L_e	
1834	sertrna_c	
1835	sforgth_c	
1836	sgthprostga1_c	
1837	sgthprostga1_e	
1838	sgthprostga2_c	
1839	sgthprostga2_e	
1840	sgthprostga3_c	
1841	sgthprostga3_e	
1842	sh1_c	
1843	sh1_e	
1844	slac__L_c	
1845	slgth__R_c	
1846	snocys__L_c	
1847	snocys__L_e	
1848	so2gth_c	
1849	so3_c	
1850	so4_c	
1851	so4_e	
1852	sph1p_c	
1853	sph1p_e	
1854	sphgn_c	
1855	sphgn_e	
1856	sphings_c	
1857	sphings_e	
1858	sphmyln_hs_c	
1859	sphmyln_hs_e	
1860	sphs1p_c	
1861	sphs1p_e	
1862	spmd_c	
1863	spmd_e	
1864	sppt_c	
1865	sppt_e	
1866	sprm_c	
1867	sprm_e	
1868	srdx1cgth_c	
1869	srdx1crd_c	
1870	srtn_c	
1871	srtn_e	
1872	ssgth_c	
1873	sso2gth_c	
1874	sucacetat_c	
1875	sucaceto_c	
1876	succ_c	
1877	succ_e	
1878	succadn_c	
1879	succamp_c	
1880	sucsal_c	
1881	tag_hs_c	
1882	taur_c	
1883	taur_e	
1884	tetiodthy__L_c	
1885	tetiodthy__L_e	
1886	thbpt4acam_c	
1887	thbpt_c	
1888	thbpt_e	
1889	thcrm_hs_c	
1890	thf_c	
1891	thf_e	
1892	thiogdp_c	
1893	thiogmp_c	
1894	thiogmp_e	
1895	thiogtp_c	
1896	thiogua_c	
1897	thioimp_c	
1898	thioimp_e	
1899	thioxmp_c	
1900	thioxmp_e	
1901	thm_c	
1902	thm_e	
1903	thmmp_c	
1904	thmmp_e	
1905	thmpp_c	
1906	thmtp_c	
1907	thr__L_c	
1908	thr__L_e	
1909	thrnt__L_c	
1910	thrtl__L_c	
1911	thrtrna_c	
1912	thym_c	
1913	thym_e	
1914	thymd_c	
1915	thymd_e	
1916	trdxox_c	
1917	trdxrd_c	
1918	triaz3crbxam_c	
1919	triiodthy__L_c	
1920	triiodthy__L_e	
1921	trnaala_c	
1922	trnaarg_c	
1923	trnaasn_c	
1924	trnaasp_c	
1925	trnacys_c	
1926	trnagln_c	
1927	trnaglu_c	
1928	trnagly_c	
1929	trnahis_c	
1930	trnaile_c	
1931	trnaleu_c	
1932	trnalys_c	
1933	trnamet_c	
1934	trnaphe_c	
1935	trnapro_c	
1936	trnaser_c	
1937	trnathr_c	
1938	trnatrp_c	
1939	trnatyr_c	
1940	trnaval_c	
1941	trp__L_c	
1942	trp__L_e	
1943	trptrna_c	
1944	tststerone_c	
1945	tststerone_e	
1946	ttdcaACP_c	
1947	ttdceaACP_2E_c	
1948	tyr__L_c	
1949	tyr__L_e	
1950	tyrtrna_c	
1951	tyrtyr_c	
1952	tyrtyrtyr_c	
1953	uacgam_c	
1954	ubiqSe1act_cys__L_c	
1955	ubiqSe2conj_cys__L_c	
1956	ubiquitin_c	
1957	udp_c	
1958	udpacgal_c	
1959	udpgal_c	
1960	udpglc__D_c	
1961	ump_c	
1962	upp1_c	
1963	upp1_e	
1964	upp3_c	
1965	upp3_e	
1966	uppg1_c	
1967	uppg3_c	
1968	ura_c	
1969	ura_e	
1970	urate_c	
1971	urate_e	
1972	urateooh_c	
1973	urater_c	
1974	urea_c	
1975	urea_e	
1976	uri_c	
1977	uri_e	
1978	utp_c	
1979	val__L_c	
1980	val__L_e	
1981	valleu_c	
1982	valpro_c	
1983	valtrna_c	
1984	valtyr_c	
1985	vanillac_c	
1986	vanillac_e	
1987	vanilpyr_c	
1988	xan_c	
1989	xan_e	
1990	xmp_c	
1991	xolest2_hs_c	
1992	xtp_c	
1993	xtsn_c	
1994	xu5p__D_c	
1995	xyl__D_c	
1996	xyl__D_e	
1997	xylnt__L_c	
1998	xylt_c	
1999	xylt_e	
2000	xylu__D_c	
2001	xylu__D_e	
2002	xylu__L_c	
2003	zn2_c	
2004	zn2_e	
2005	ztp_c	
2006	zymst_c	
