	metabolites	references
254	FA_hs_16_2E_e	
255	FA_hs_16_7Z_c	
256	FA_hs_16_7Z_e	
257	FA_hs_16_9Z_c	
258	FA_hs_16_9Z_e	
259	FA_hs_16_DC_c	
260	FA_hs_17_0_c	
261	FA_hs_17_0_e	
262	FA_hs_17_10Z_c	
263	FA_hs_17_10Z_e	
264	FA_hs_17_9Z_c	
265	FA_hs_17_9Z_e	
266	FA_hs_18_0_c	
267	FA_hs_18_0_e	
268	FA_hs_18_11Z_c	
269	FA_hs_18_11Z_e	
270	FA_hs_18_13Z_c	
271	FA_hs_18_13Z_e	
272	FA_hs_18_6Z9Z12Z15Z_c	
273	FA_hs_18_6Z9Z12Z15Z_e	
274	FA_hs_18_6Z9Z12Z_c	
275	FA_hs_18_6Z9Z12Z_e	
276	FA_hs_18_6Z9Z_c	
277	FA_hs_18_6Z9Z_e	
278	FA_hs_18_7Z_c	
279	FA_hs_18_7Z_e	
280	FA_hs_18_9E_c	
281	FA_hs_18_9E_e	
282	FA_hs_18_9Z12Z15Z_c	
283	FA_hs_18_9Z12Z15Z_e	
284	FA_hs_18_9Z12Z_c	
285	FA_hs_18_9Z12Z_e	
286	FA_hs_18_9Z12Zr_c	
287	FA_hs_18_9Z12Zroo_c	
288	FA_hs_18_9Z_c	
289	FA_hs_18_9Z_e	
290	FA_hs_19_0_c	
291	FA_hs_19_0_e	
292	FA_hs_20_0_c	
293	FA_hs_20_0_e	
294	FA_hs_20_11Z14Z17Z_c	
295	FA_hs_20_11Z14Z17Z_e	
296	FA_hs_20_11Z14Z_c	
297	FA_hs_20_11Z14Z_e	
298	FA_hs_20_11Z_c	
299	FA_hs_20_11Z_e	
300	FA_hs_20_13Z_c	
301	FA_hs_20_13Z_e	
302	FA_hs_20_5Z8Z11Z14Z17Z_c	
303	FA_hs_20_5Z8Z11Z14Z17Z_e	
304	FA_hs_20_5Z8Z11Z14Z17Zr_c	
305	FA_hs_20_5Z8Z11Z14Z17Zroo_c	
306	FA_hs_20_5Z8Z11Z14Z20DC_c	
307	FA_hs_20_5Z8Z11Z14Z20OH_c	
308	FA_hs_20_5Z8Z11Z14Z20O_c	
309	FA_hs_20_5Z8Z11Z14Z_c	
310	FA_hs_20_5Z8Z11Z14Z_e	
311	FA_hs_20_5Z8Z11Z14Zr_c	
312	FA_hs_20_5Z8Z11Z14Zroo_c	
313	FA_hs_20_5Z8Z11Z_c	
314	FA_hs_20_5Z8Z11Z_e	
315	FA_hs_20_8Z11Z14Z17Z_c	
316	FA_hs_20_8Z11Z14Z17Z_e	
317	FA_hs_20_8Z11Z14Z_c	
318	FA_hs_20_8Z11Z14Z_e	
319	FA_hs_20_8Z11Z_c	
320	FA_hs_20_8Z11Z_e	
321	FA_hs_20_9Z_c	
322	FA_hs_20_9Z_e	
323	FA_hs_21_0_c	
324	FA_hs_21_0_e	
325	FA_hs_22_0_c	
326	FA_hs_22_0_e	
327	FA_hs_22_10Z13Z16Z19Z_c	
328	FA_hs_22_10Z13Z16Z19Z_e	
329	FA_hs_22_10Z13Z16Z_c	
330	FA_hs_22_10Z13Z16Z_e	
331	FA_hs_22_11Z_c	
332	FA_hs_22_11Z_e	
333	FA_hs_22_13Z16Z19Z_c	
334	FA_hs_22_13Z16Z19Z_e	
335	FA_hs_22_13Z16Z_c	
336	FA_hs_22_13Z16Z_e	
337	FA_hs_22_13Z_c	
338	FA_hs_22_13Z_e	
339	FA_hs_22_22OH_c	
340	FA_hs_22_22O_c	
341	FA_hs_22_4Z7Z10Z13Z16Z19Z_c	
342	FA_hs_22_4Z7Z10Z13Z16Z19Z_e	
343	FA_hs_22_4Z7Z10Z13Z16Z19Zr_c	
344	FA_hs_22_4Z7Z10Z13Z16Z19Zroo_c	
345	FA_hs_22_4Z7Z10Z13Z16Z_c	
346	FA_hs_22_4Z7Z10Z13Z16Z_e	
347	FA_hs_22_7Z10Z13Z16Z19Z_c	
348	FA_hs_22_7Z10Z13Z16Z19Z_e	
349	FA_hs_22_7Z10Z13Z16Z_c	
350	FA_hs_22_7Z10Z13Z16Z_e	
351	FA_hs_22_DC_c	
352	FA_hs_23_0_c	
353	FA_hs_23_0_e	
354	FA_hs_24_0_c	
355	FA_hs_24_0_e	
356	FA_hs_24_12Z15Z18Z21Z_c	
357	FA_hs_24_12Z15Z18Z21Z_e	
358	FA_hs_24_15Z_c	
359	FA_hs_24_15Z_e	
360	FA_hs_24_6Z9Z12Z15Z18Z21Z_c	
361	FA_hs_24_6Z9Z12Z15Z18Z21Z_e	
362	FA_hs_24_6Z9Z12Z15Z18Z_c	
363	FA_hs_24_6Z9Z12Z15Z18Z_e	
364	FA_hs_24_9Z12Z15Z18Z21Z_c	
365	FA_hs_24_9Z12Z15Z18Z21Z_e	
366	FA_hs_24_9Z12Z15Z18Z_c	
367	FA_hs_24_9Z12Z15Z18Z_e	
368	FA_hs_26_0_c	
369	FA_hs_26_0_e	
370	FA_hs_26_17Z_c	
371	FA_hs_26_17Z_e	
372	FA_hs_c	
373	FAcoa_10_DC_c	
374	FAcoa_12_DC_c	
375	FAcoa_16_DC_c	
376	FAcoa_4_2M_c	
377	FAcoa_4_DC_c	
378	FAcoa_5_2E2M_c	
379	FAcoa_5_2EDC_c	
380	FAcoa_5_2M_c	
381	FAcoa_5_3M3OH__S_c	
382	FAcoa_5_DC_c	
383	FAcoa_6_DC_c	
384	FAcoa_7_DC_c	
385	FAcoa_8_DC_c	
386	FAcoa_hs_10_0_c	
387	FAcoa_hs_10_2E6Z_c	
388	FAcoa_hs_10_2E_c	
389	FAcoa_hs_10_3OH__S_c	
390	FAcoa_hs_11_0_c	
391	FAcoa_hs_12_0_c	
392	FAcoa_hs_12_2E_c	
393	FAcoa_hs_12_3OH__S_c	
394	FAcoa_hs_13_0_c	
395	FAcoa_hs_14_0_c	
396	FAcoa_hs_14_2E_c	
397	FAcoa_hs_14_3OH__S_c	
398	FAcoa_hs_14_5E8Z3OH__S_c	
399	FAcoa_hs_14_5E8Z_c	
400	FAcoa_hs_14_5Z_c	
401	FAcoa_hs_14_7Z3OH__S_c	
402	FAcoa_hs_14_7Z_c	
403	FAcoa_hs_14_9Z_c	
404	FAcoa_hs_15_0_c	
405	FAcoa_hs_16_0_c	
406	FAcoa_hs_16_2E_c	
407	FAcoa_hs_16_3OH__R_c	
408	FAcoa_hs_16_3OH__S_c	
409	FAcoa_hs_16_3O_c	
410	FAcoa_hs_16_7E10Z3OH__S_c	
411	FAcoa_hs_16_7Z_c	
412	FAcoa_hs_16_9Z3OH__S_c	
413	FAcoa_hs_16_9Z_c	
414	FAcoa_hs_17_0_c	
415	FAcoa_hs_17_10Z_c	
416	FAcoa_hs_17_2E_c	
417	FAcoa_hs_17_3OH__R_c	
418	FAcoa_hs_17_3O_c	
419	FAcoa_hs_17_9Z_c	
420	FAcoa_hs_18_0_c	
421	FAcoa_hs_18_11Z_c	
422	FAcoa_hs_18_13Z_c	
423	FAcoa_hs_18_2E_c	
424	FAcoa_hs_18_3OH__R_c	
425	FAcoa_hs_18_3OH__S_c	
426	FAcoa_hs_18_3O_c	
427	FAcoa_hs_18_6Z9Z12Z15Z_c	
428	FAcoa_hs_18_6Z9Z12Z_c	
429	FAcoa_hs_18_6Z9Z_c	
430	FAcoa_hs_18_7Z_c	
431	FAcoa_hs_18_9E_c	
432	FAcoa_hs_18_9Z12Z15Z_c	
433	FAcoa_hs_18_9Z12Z3OH__S_c	
434	FAcoa_hs_18_9Z12Z_c	
435	FAcoa_hs_18_9Z3OH__S_c	
436	FAcoa_hs_18_9Z_c	
437	FAcoa_hs_19_0_c	
438	FAcoa_hs_19_2E_c	
439	FAcoa_hs_19_3OH__R_c	
440	FAcoa_hs_19_3O_c	
441	FAcoa_hs_20_0_c	
442	FAcoa_hs_20_11Z14Z17Z3OH__R_c	
443	FAcoa_hs_20_11Z14Z17Z3O_c	
444	FAcoa_hs_20_11Z14Z17Z_c	
445	FAcoa_hs_20_11Z14Z3OH__R_c	
446	FAcoa_hs_20_11Z14Z3O_c	
447	FAcoa_hs_20_11Z14Z_c	
448	FAcoa_hs_20_11Z3OH__R_c	
449	FAcoa_hs_20_11Z3O_c	
450	FAcoa_hs_20_11Z_c	
451	FAcoa_hs_20_13Z3OH__R_c	
452	FAcoa_hs_20_13Z3O_c	
453	FAcoa_hs_20_13Z_c	
454	FAcoa_hs_20_2E11Z14Z17Z_c	
455	FAcoa_hs_20_2E11Z14Z_c	
456	FAcoa_hs_20_2E11Z_c	
457	FAcoa_hs_20_2E13Z_c	
458	FAcoa_hs_20_2E8Z11Z14Z17Z_c	
459	FAcoa_hs_20_2E8Z11Z14Z_c	
460	FAcoa_hs_20_2E8Z11Z_c	
461	FAcoa_hs_20_2E9Z_c	
462	FAcoa_hs_20_2E_c	
463	FAcoa_hs_20_3OH__R_c	
464	FAcoa_hs_20_3O_c	
465	FAcoa_hs_20_5Z8Z11Z14Z17Z_c	
466	FAcoa_hs_20_5Z8Z11Z14Z_c	
467	FAcoa_hs_20_5Z8Z11Z_c	
468	FAcoa_hs_20_8Z11Z14Z17Z3OH__R_c	
469	FAcoa_hs_20_8Z11Z14Z17Z3O_c	
470	FAcoa_hs_20_8Z11Z14Z17Z_c	
471	FAcoa_hs_20_8Z11Z14Z3OH__R_c	
472	FAcoa_hs_20_8Z11Z14Z3O_c	
473	FAcoa_hs_20_8Z11Z14Z_c	
474	FAcoa_hs_20_8Z11Z3OH__R_c	
475	FAcoa_hs_20_8Z11Z3O_c	
476	FAcoa_hs_20_8Z11Z_c	
477	FAcoa_hs_20_9Z3OH__R_c	
478	FAcoa_hs_20_9Z3O_c	
479	FAcoa_hs_20_9Z_c	
480	FAcoa_hs_21_0_c	
481	FAcoa_hs_21_2E_c	
482	FAcoa_hs_21_3OH__R_c	
483	FAcoa_hs_21_3O_c	
484	FAcoa_hs_22_0_c	
485	FAcoa_hs_22_10Z13Z16Z19Z3OH__R_c	
486	FAcoa_hs_22_10Z13Z16Z19Z3O_c	
487	FAcoa_hs_22_10Z13Z16Z19Z_c	
488	FAcoa_hs_22_10Z13Z16Z3OH__R_c	
489	FAcoa_hs_22_10Z13Z16Z3O_c	
490	FAcoa_hs_22_10Z13Z16Z_c	
491	FAcoa_hs_22_11Z3OH__R_c	
492	FAcoa_hs_22_11Z3O_c	
493	FAcoa_hs_22_11Z_c	
494	FAcoa_hs_22_13Z16Z19Z3OH__R_c	
495	FAcoa_hs_22_13Z16Z19Z3O_c	
496	FAcoa_hs_22_13Z16Z19Z_c	
497	FAcoa_hs_22_13Z16Z3OH__R_c	
498	FAcoa_hs_22_13Z16Z3O_c	
499	FAcoa_hs_22_13Z16Z_c	
500	FAcoa_hs_22_13Z3OH__R_c	
501	FAcoa_hs_22_13Z3O_c	
502	FAcoa_hs_22_13Z_c	
503	FAcoa_hs_22_2E10Z13Z16Z19Z_c	
504	FAcoa_hs_22_2E10Z13Z16Z_c	
505	FAcoa_hs_22_2E11Z_c	
506	FAcoa_hs_22_2E13Z16Z19Z_c	
507	FAcoa_hs_22_2E13Z16Z_c	
508	FAcoa_hs_22_2E13Z_c	
509	FAcoa_hs_22_2E7Z10Z13Z16Z19Z_c	
510	FAcoa_hs_22_2E7Z10Z13Z16Z_c	
511	FAcoa_hs_22_2E_c	
512	FAcoa_hs_22_3OH__R_c	
513	FAcoa_hs_22_3O_c	
514	FAcoa_hs_22_4Z7Z10Z13Z16Z19Z_c	
515	FAcoa_hs_22_4Z7Z10Z13Z16Z_c	
516	FAcoa_hs_22_7Z10Z13Z16Z19Z3OH__R_c	
517	FAcoa_hs_22_7Z10Z13Z16Z19Z3O_c	
518	FAcoa_hs_22_7Z10Z13Z16Z19Z_c	
519	FAcoa_hs_22_7Z10Z13Z16Z3OH__R_c	
520	FAcoa_hs_22_7Z10Z13Z16Z3O_c	
521	FAcoa_hs_22_7Z10Z13Z16Z_c	
522	FAcoa_hs_23_0_c	
523	FAcoa_hs_23_2E_c	
524	FAcoa_hs_23_3OH__R_c	
525	FAcoa_hs_23_3O_c	
526	FAcoa_hs_24_0_c	
527	FAcoa_hs_24_12Z15Z18Z21Z3OH__R_c	
528	FAcoa_hs_24_12Z15Z18Z21Z3O_c	
529	FAcoa_hs_24_12Z15Z18Z21Z_c	
530	FAcoa_hs_24_15Z3OH__R_c	
531	FAcoa_hs_24_15Z3O_c	
532	FAcoa_hs_24_15Z_c	
533	FAcoa_hs_24_2E12Z15Z18Z21Z_c	
534	FAcoa_hs_24_2E15Z_c	
535	FAcoa_hs_24_2E9Z12Z15Z18Z21Z_c	
536	FAcoa_hs_24_2E9Z12Z15Z18Z_c	
537	FAcoa_hs_24_2E_c	
538	FAcoa_hs_24_3OH__R_c	
539	FAcoa_hs_24_3O_c	
540	FAcoa_hs_24_6Z9Z12Z15Z18Z21Z_c	
541	FAcoa_hs_24_6Z9Z12Z15Z18Z_c	
542	FAcoa_hs_24_9Z12Z15Z18Z21Z3OH__R_c	
543	FAcoa_hs_24_9Z12Z15Z18Z21Z3O_c	
544	FAcoa_hs_24_9Z12Z15Z18Z21Z_c	
545	FAcoa_hs_24_9Z12Z15Z18Z3OH__R_c	
546	FAcoa_hs_24_9Z12Z15Z18Z3O_c	
547	FAcoa_hs_24_9Z12Z15Z18Z_c	
548	FAcoa_hs_26_0_c	
549	FAcoa_hs_26_17Z3OH__R_c	
550	FAcoa_hs_26_17Z3O_c	
551	FAcoa_hs_26_17Z_c	
552	FAcoa_hs_26_2E17Z_c	
553	FAcoa_hs_26_2E_c	
554	FAcoa_hs_26_3OH__R_c	
555	FAcoa_hs_26_3O_c	
556	FAcoa_hs_3_2E_c	
557	FAcoa_hs_3_3OH__S_c	
558	FAcoa_hs_4_2E_c	
559	FAcoa_hs_4_3OH__R_c	
560	FAcoa_hs_5_0_c	
561	FAcoa_hs_6_0_c	
562	FAcoa_hs_6_2E_c	
563	FAcoa_hs_6_3OH__S_c	
564	FAcoa_hs_7_0_c	
565	FAcoa_hs_7_3OH__S_c	
566	FAcoa_hs_8_0_c	
567	FAcoa_hs_8_2E_c	
568	FAcoa_hs_8_3OH__S_c	
569	FAcoa_hs_9_0_c	
570	FAcoa_hs_9_3OH__S_c	
571	FAcoa_hs_c	
572	FAcrn_10_DC_c	
573	FAcrn_12_DC_c	
574	FAcrn_16_DC_c	
575	FAcrn_4_2M_c	
576	FAcrn_4_DC_c	
577	FAcrn_5_2E2M_c	
578	FAcrn_5_2EDC_c	
579	FAcrn_5_2M_c	
580	FAcrn_5_3M3OH__S_c	
581	FAcrn_5_DC_c	
582	FAcrn_6_DC_c	
583	FAcrn_7_DC_c	
584	FAcrn_8_DC_c	
585	FAcrn_hs_10_0_c	
586	FAcrn_hs_10_2E6Z_c	
587	FAcrn_hs_10_2E_c	
588	FAcrn_hs_10_3OH__S_c	
589	FAcrn_hs_11_0_c	
590	FAcrn_hs_12_0_c	
591	FAcrn_hs_12_2E_c	
592	FAcrn_hs_12_3OH__S_c	
593	FAcrn_hs_13_0_c	
594	FAcrn_hs_14_0_c	
595	FAcrn_hs_14_2E_c	
596	FAcrn_hs_14_3OH__S_c	
597	FAcrn_hs_14_5E8Z3OH__S_c	
598	FAcrn_hs_14_5E8Z_c	
599	FAcrn_hs_14_5Z_c	
600	FAcrn_hs_14_7Z3OH__S_c	
601	FAcrn_hs_14_7Z_c	
602	FAcrn_hs_14_9Z_c	
603	FAcrn_hs_15_0_c	
604	FAcrn_hs_16_0_c	
605	FAcrn_hs_16_2E_c	
606	FAcrn_hs_16_3OH__S_c	
607	FAcrn_hs_16_7E10Z3OH__S_c	
608	FAcrn_hs_16_7Z_c	
609	FAcrn_hs_16_9Z3OH__S_c	
