	genes	drugbank	pubchem.compound
10	ACAT2	DB01915;DB01992	
11	ACHE	DB00122;DB00358;DB00382;DB00411;DB00449;DB00483;DB00545;DB00674;DB00677;DB00733;DB00805;DB00843;DB00863;DB00898;DB00940;DB00944;DB00981;DB00989;DB01010;DB01122;DB01199;DB01245;DB01364;DB01400;DB01805;DB02166;DB02226;DB02343;DB02404;DB02673;DB02825;DB02845;DB03005;DB03128;DB03283;DB03348;DB03359;DB03740;DB03814;DB04021;DB04114;DB04556;DB04614;DB04615;DB04616;DB04617;DB04859;DB04864;DB04892;DB04924;DB06525;DB07555;DB07701;DB07756;DB07846;DB08167;DB08357;DB08615;DB08996;DB09511;DB09526;DB12816;DB13503;DB14006	122173976;129791;174;187;192706;2723754;3033887;3631;3792;4046;4456;45006123;4991;5039;5359318;5741;5831;5983;6603542;6789253;6918078;702;7550;77991;8246;8307;854026;9651
12	ACLY	DB11936	10472693
13	ACO1	DB06757	
14	ACP1	DB00173;DB04214	
15	ACSL1	DB00131;DB00171	5957
16	ACSL4	DB00159;DB00197;DB00412	446284;5281055;5591;77999
17	ACSS2	DB00131;DB00171;DB09395	517045;5957
18	ACTB	DB04216;DB12695	16741;5280343
19	ACTG1	DB09130;DB11638	107770
20	ADA	DB00194;DB00277;DB00552;DB00640;DB00974;DB00975;DB01223;DB01280;DB02096;DB02472;DB02616;DB02830;DB03000;DB03015;DB03220;DB03370;DB03572;DB04218;DB04440;DB05057;DB07711;DB07783;DB07785;DB07786;DB14598;DB14600	2153;3011155;3108;439693;6049;6093170;60961;65632
21	ADCY10	DB02587	47936
22	ADCY2	DB02587;DB06843;DB09121	47936
23	ADH5	DB00157;DB00898;DB01020;DB03017;DB03704;DB04153;DB09511;DB09526;DB11077;DB12612	122173976;174;27661;52938427;702
24	ADK	DB00131;DB00171;DB00640;DB00811;DB01048;DB07173;DB07280	37542;441300;468908;5957;60961
25	ADSS2	DB00128;DB00787;DB05540	2022
26	AGT	DB01593;DB09130;DB14487	11192
27	AHCY	DB03216;DB03273;DB03769;DB09130	
28	AK1	DB00300;DB00640;DB01717;DB09299;DB14126	11954236;464205;60961;71492247;9574768
29	AKR1A1	DB00157;DB00898;DB00997;DB02383;DB03461;DB06077;DB06207;DB08904;DB09130;DB09511;DB09526	122173976;174;31703;44241743;5312125;702
