genes	uniprot	hgnc.symbol	drugcentral
EPHX1	P07099	EPHX1	3630
FABP1	P07148	FABP1	3400
FABP5	Q01469	FABP5	3400
FASN	P49327	FASN	578;1547;1990;1996;2054;2350;4867
FDPS	P14324	FDPS	112;1404;1431;2048;2387;2868;3377;4074;4630
FKBP1A	P62942	FKBP1A	760;1118;2168;2446;2552;2621;2949;4161
FKBP3	Q00688	FKBP3	2446;4161
FKBP4	Q02790	FKBP4	760
FKBP5	Q13451	FKBP5	2446;2552
FYN	P06241	FYN	176;249;496;621;700;719;785;875;937;960;977;983;1030;1043;1058;1212;1364;1423;1457;1513;1567;1762;1800;1805;1821;1836;1893;1932;2044;2106;2274;2351;2459;2495;2536;2544;2561;2599;2600;2637;3018;4063;4118;4122;4138;4178;4187;4211;4344;4359;4392;4425;4706;4713;4794;4810;4903;5039;5118;5231;5252;5347;5459
G6PD	P11413	G6PD	782;795;1949;1950;2256;2266;2533;5324
GALE	Q14376	GALE	875;1071;1355
GAPDH	P04406	GAPDH	90
GART	P22102	GART	2073
GLO1	Q04760	GLO1	47;1440;2502;2534;2699;3514
GLUL	P15104	GLUL	2245;2251
GOT1	P17174	GOT1	1550
GOT2	P00505	GOT2	1550
GRIA1	P42261	GRIA1	761;1310;3201
GSK3A	P49840	GSK3A	4903;5231
GSR	P00390	GSR	512;1310;1622;1683;1763;1922
GSS	P48637	GSS	66
GSTO1	P78417	GSTO1	1071;1990;2377;4483
GSTP1	P09211	GSTP1	701;1071;3613
GUCY1B1	Q02153	GUCY1B3	4807;5439
HBA	P69905	HBA1	1395;1665;2266;4523;5356
HCK	P08631	HCK	785;1045;1282;1932;2459;2544;3533;4118;4178;4318;4359;4810;4903;5231;5252;5347
HEXA	P06865	HEXA	2332
HEXB	P07686	HEXB	2332
HNMT	P50135	HNMT	186
HPGDS	O60760	HPGDS	2531;2714
HPRT1	P00492	HPRT1	124;2632
HSP90AA1	P07900	HSP90AA1	1129;1239;1803;2266;2600;2832
HSPA8	P11142	HSPA8	91;1364
IARS1	P41252	IARS	1857
IDH1	O75874	IDH1	5251;5292
IDH2	P48735	IDH2	5251
IMPA1	P29218	IMPA1	4207;4512
IMPDH2	P12268	IMPDH2	1859;1860;2373;2632
INSR	P06213	INSR	1423;1548;1932;2459;2544;4187;4866;4901;4903;4960;4981;4985;5002;5003;5009;5057;5062;5233;5252;5345;5347;5459
JAK3	P52333	JAK3	785;1045;2459;2544;3533;4118;4187;4190;4225;4359;4713;4810;4866;4903;4941;5202;5231;5252;5297;5345;5346;5347;5419;5426
KARS1	Q15046	KARS	1423;3514
KCNN4	O15554	KCNN4	6;626;719;1947;2382
KRAS	P01116	KRAS	4185;4801;5414;5461
LAP3	P28838	LAP3	2787
LDHA	P00338	LDHA	92;1328
LDHB	P07195	LDHB	1328
LTA4H	P09960	LTA4H	484;2787;2862;4124
LYN	P07948	LYN	785;1045;1282;1423;1912;1932;2459;2544;4118;4178;4187;4359;4716;4810;4866;4903;5231;5252;5260;5341;5347;5431;5459
MAP2K1	Q02750	MAP2K1	785;2544;4178;4190;4225;4359;4802;4903;5046;5252;5290;5347;5388
MAP2K2	P36507	MAP2K2	785;2544;4178;4190;4225;4359;4802;4903;5046;5252;5290;5347;5388
MAP2K3	P46734	MAP2K3	2544;4187;4190;4359;4903;5231;5347
MAP2K6	P52564	MAP2K6	2544;3533;4118;4359;5231
MAPK1	P28482	MAPK1	43;318;867;1364;1457;1508;1650;2459;2525;2722;2767;2855;3032;3219;4673;5039
MAPK14	Q16539	MAPK14	318;568;785;875;1113;1364;1423;1457;1508;1805;1836;1893;1932;2459;2855;3032;4063;4318;4536;5039;5289
MAPK3	P27361	MAPK3	511;928;1364;1457;1893;2459;2632;2855;4063;4189;4392;4673;4733;5039
MAPKAPK2	P49137	MAPKAPK2	91
MDH1	P40925	MDH1	719;799;983;1800;1909;2495
MDH2	P40926	MDH2	2646
MIF	P14174	MIF	1364;2646;4894
MPI	P34949	MPI	228
NAMPT	P43490	NAMPT	854;2835;4973
NAPEPLD	Q6IQ20	NAPEPLD	1364;3032
NAPRT	Q6XQN6	NAPRT	54;74;171;861;1193;1440;1663;2036;2145;2416;2528;4664
NOS3	P29474	NOS3	626
NPEPPS	P55786	NPEPPS	2787
NQO2	P16083	NQO2	160;429;607;776;1423;1672;1932;2266;3584;4209
NRAS	P01111	NRAS	5414
NT5C2	P49902	NT5C2	2373
ODC1	P11926	ODC1	990
OXSR1	O95747	OXSR1	2544;4190;4903
P2RX1	P51575	P2RX1	91;3506
P2RX7	Q99572	P2RX7	5359
PAK2	Q13177	PAK2	4359;4903;5231;5252;5347
PCMT1	P22061	PCMT1	2414
PDE1A	P54750	PDE1A	2809;2828;5201
PDE2A	O00408	PDE2A	209;691;866;924;2056;2441;2809
PDE3A	Q14432	PDE3A	201;209;644;976;1014;1576;1809;2056;2620;2817
PDE3B	Q13370	PDE3B	201;644;1809;2056;2817
PDE4D	Q08499	PDE4D	1406;2056;2441;2693;3531;4829
PDE5A	O76074	PDE5A	568;924;1809;2056;2099;2441;2553;2809;3574;4141;4305;5005;5039
PDE9A	O76083	PDE9A	2441;2809
PDXK	O00764	PDXK	2836
PDXP	Q96GD0	PDXP	2836
PHOSPHO1	Q8TCT1	PHOSPHO1	1547
PI4K2A	Q9BTU6	PI4K2A	90
PIK3C3	Q8NEB9	PIK3C3	4878
PIP4K2B	P78356	PIP4K2B	2544;3533;4903;5231;5347
PIP4K2C	Q8TBX8	PIP4K2C	1045;1282;1423;1932;4118;5347
PIP5K1A	Q99755	PIP5K1A	2544;3533;4187;4359;4903;5231;5347
PIP5K1C	O60331	PIP5K1C	3533;4118
PLA2G4A	P47712	PLA2G4A	1225;2855
PLCG1	P19174	PLCG1	537
PLD1	Q13393	PLD1	2351
PNP	P00491	PNP	85;1708;5229
PNPO	Q9NVS9	PNPO	2836
PPIA	P62937	PPIA	760;4366
PPIB	P23284	PPIB	760
PREP	P48147	PREP	3514;4055
PRKAA1	Q13131	PRKAA1	2544;4178;4187;4359;4903;5231;5347;5375
PRKAB1	Q9Y478	PRKAB1	1725;2126
PRKACA	P17612	PRKACA	1132;3533;4938;5231
PRKACB	P22694	PRKACB	3533;5231
PRKCA	P17252	PRKCA	2544;3533;4226;4376;5231
PRKCB	P05771	PRKCB	3533;4226
PRKCI	P41743	PRKCI	3533
PRKD1	Q15139	PRKD1	1282;2544;4187;4226;4903;5252
PRKG1	Q13976	PRKG1	4903;5231;5347
PRMT1	Q99873	PRMT1	1207;2090;2414;2966;3275;4466
PRPS1	P60891	PRPS1	691;2818
PRUNE1	Q86TP1	PRUNE	924
PSAT1	Q9Y617	PSAT1	2836
PTGS2	P35354	PTGS2	43;47;52;74;107;171;284;331;401;484;518;542;547;568;574;629;719;824;833;865;880;1103;1113;1141;1145;1154;1178;1193;1219;1364;1407;1439;1440;1494;1509;1528;1529;1615;1618;1650;1663;1676;1710;1795;1800;1829;1834;1863;1883;1899;1925;1935;1954;2006;2013;2063;2165;2210;2213;2311;2397;2534;2546;2561;2595;2616;2652;2657;2698;2699;2799;2871;3514;3851;4728;5060;5240;5250
PTPN1	P18031	PTPN1	318;690;1066;2050;2666;2767;3178;3217;3514;4608
PTPN11	Q06124	PTPN11	558;1066;3178
PTPN6	P29350	PTPN6	558;1066;3178
RAC1	P63000	RAC1	269
RFK	Q969G6	RFK	2834
ROCK2	O75116	ROCK2	1132;2544;4178;4187;4190;4359;4713;4866;4938;5231;5269;5347;5426
RPS6KA3	P51812	RPS6KA3	2544;3533;4359;4903;5231;5347
RPS6KA4	O75676	RPS6KA4	1045;1282;2544;3533;4190;4903;5231;5347
RPS6KA5	O75582	RPS6KA5	1132;2544;3533;4190;4903;5231;5347
SCN4A	P35499	SCN4A	4;323;432;489;1097;1176;1540;1579;1700;1794;1999;2152;2167;2403
